Id;Id Interno;Nombre;Provincia;Localidad;Latitud;Longitud
NH0400;32;INTA - Balcarce (EMC);Buenos Aires;Balcarce;-37.75;-58.3
NH0216;33;INTA - Barrow (EMC);Buenos Aires;Tres Arroyos;-38.32;-60.25
NH0067;41;INTA - Bella Vista (EMC);Corrientes;Bella Vista;-28.43;-58.92
NH0343;34;INTA - Bordenave (EMC);Buenos Aires;Puan;-37.85;-63.02
NH0358;9;INTA - Castelar (EMC);Buenos Aires;Hurlingham;-34.61;-58.67
NH0070;39;INTA - Catamarca Sumalao (EMC);Catamarca;Valle Viejo;-28.48;-65.73
NH0423;58;INTA - Cerro Azul (EMC);Misiones;Leandro N Alem;-27.65;-55.43
NH0487;44;INTA - Colonia Benitez (EMC);Chaco;Colonia Benítez;-27.42;-58.93
NH0497;48;INTA - Conc. del Uruguay (EMC);Entre Rios;Uruguay;-32.49;-58.35
NH0496;49;INTA - Concordia (EMC);Entre Rios;Concordia;-31.38;-58.03
NH0460;40;INTA - Corrientes (EMC);Corrientes;Empedrado;-27.65;-58.77
NH0464;51;INTA - El Colorado (EMC);Formosa;Pirane;-26.3;-59.38
NH0444;68;INTA - Famailla (EMC);Tucuman;Famaillá;-27.05;-65.42
NH0037;54;INTA - Gral Pico (EMC);La Pampa;General Pico;-35.67;-63.75
NH0038;35;INTA - Gral Villegas (EMC);Buenos Aires;General Villegas;-34.92;-62.73
NH0421;36;INTA - Hilario Ascasubi (EMC);Buenos Aires;Villarino;-39.38;-62.62
NH0442;56;INTA - La Consulta (EMC);Mendoza;Puan;-33.73;-69.12
NH0550;67;INTA - La Maria S.Estero (EMC);Santiago del Estero;Silipica;-28.02;-64.23
NH0416;45;INTA - Las Breñas (EMC);Chaco;9 de Julio;-27.1;-61.1
NH0438;31;INTA - Manfredi (EMC);Córdoba;Río Segundo;-31.82;-63.77
NH0502;30;INTA - Marcos Juarez (EMC);Córdoba;Marcos Juarez;-32.68;-62.12
NH0485;57;INTA - Mendoza (EMC);Mendoza;Junin;-33.15;-68.47
NH0498;42;INTA - Mercedes Ctes (EMC);Corrientes;Mercedes;-29.17;-58.02
NH0472;63;INTA - Oliveros (EMC);Santa Fe;Iriondo;-32.55;-60.85
NH0114;50;INTA - Parana (EMC);Entre Rios;Paraná;-31.85;-60.54
NH0145;37;INTA - Pergamino (EMC);Buenos Aires;Pergamino;-33.93;-60.55
NH0098;64;INTA - Rafaela (EMC);Santa Fe;Vera;-31.18;-61.55
NH0448;55;INTA - Rama Caída (EMC);Mendoza;San Rafael;-34.67;-68.38
NH0437;65;INTA - Reconquista (EMC);Santa Fe;Reconquista;-29.18;-59.7
NH0415;46;INTA - Roque Saenz Peña (EMC);Chaco;Comandante Fernandez;-26.87;-60.45
NH0475;60;INTA - Salta (EMC);Salta;Cerrillos;-24.9;-65.5
NH0445;61;INTA - San Juan (EMC);San Juan;Angaco;-31.37;-68.32
NH0492;38;INTA - San Pedro (EMC);Buenos Aires;San Pedro;-33.74;-59.8
NH0557;47;INTA - Trelew (EMC);Chubut;Rawson;-43.23;-65.3
NH0439;62;INTA - Villa Mercedes (EMC);San Luis;General Pedernera;-33.72;-65.48
NH0990;43;INTA DELTA del Parana (EMC);Buenos Aires;Campana;-34.18;-58.86
A872971;672;Ituzaingo - EEA Corrientes;Corrientes;Ituzaingo;-27.54;-56.58
A872899;713;J J Castelli - EEA Sáenz Peña;Chaco;Castelli;-25.96;-60.56
A872965;720;Jaramillo - EEA Santa Cruz;Santa Cruz;Jaramillo;-47.2;-66.93
A872938;454;Junín - EEA Junin Mendoza;Mendoza;Junin;-33.12;-68.48
A872962;515;La Cigüeña - EEA Reconquista;Santa Fe;Fortin Olmos;-29.25;-61.02
A872874;284;La Colmena - EEA Paraná;Entre Rios;La Colmena;-31.55;-59.72
A872939;482;La Consulta - EEA Consulta;Mendoza;San Carlos;-33.77;-69.15
