id_estacion,nombre,provincia,lat,lon,altura
50531,OLAVARRIA-SMN,BUENOS AIRES,-36.88,-60.22,166
50339,ORAN-SMN,SALTA,-23.15,-64.32,357
50113,PARANA-SMN,ENTRE RIOS,-31.78,-60.48,78
50307,PASO DE INDIOS-SMN,CHUBUT,-43.82,-68.88,460
50346,PASO DE LOS LIBRES-SMN,CORRIENTES,-29.68,-57.15,70
50456,PEHUAJO-SMN,BUENOS AIRES,-35.87,-61.9,87
50272,PERITO MORENO-SMN,SANTA CRUZ,-46.52,-71.02,429
50206,PIGUE-SMN,BUENOS AIRES,-37.6,-62.38,304
50111,PILAR-SMN,CORDOBA,-31.67,-63.88,338
50362,POSADAS-SMN,MISIONES,-27.37,-55.97,133
50280,PUERTO DESEADO-SMN,SANTA CRUZ,-47.73,-65.92,80
50177,PUNTA INDIO-SMN,BUENOS AIRES,-35.37,-57.28,22
50309,RECONQUISTA-SMN,SANTA FE,-29.18,-59.7,53
50489,RESISTENCIA-SMN,CHACO,-27.45,-59.05,52
50229,RIO COLORADO-SMN,RIO NEGRO,-39.02,-64.08,79
50138,RIO CUARTO-SMN,CORDOBA,-33.12,-64.23,421
50293,RIOGALLEGOS-SMN,SANTA CRUZ,-51.62,-69.28,20
50296,RIO GRANDE-SMN,TIERRA DEL FUEGO,-53.8,-67.75,22
50006,RIVADAVIA-SMN,SALTA,-24.17,-62.9,205
50034,ROQUE SAENZ PEÑA-SMN,CHACO,-26.82,-60.45,92
50133,ROSARIO-SMN,SANTA FE,-32.92,-60.78,25
50012,SALTA-SMN,SALTA,-24.85,-65.48,1221
50241,SAN ANTONIO OESTE-SMN,RIO NEGRO,-40.73,-64.95,7
50143,SAN CARLOS-SMN,MENDOZA,-33.77,-69.03,940
50553,SAN FERNANDO-SMN,BUENOS AIRES,-34.45,-58.58,3
50495,SAN JUAN-SMN,SAN JUAN,-31.57,-68.42,598
50139,SAN LUIS-SMN,SAN LUIS,-33.27,-66.35,713
50370,SAN MARTIN-SMN,MENDOZA,-33.08,-68.42,653
50154,SAN MIGUEL-SMN,BUENOS AIRES,-34.55,-58.73,26
50325,SAN RAFAEL-SMN,MENDOZA,-34.58,-68.4,748
50289,SANTA CRUZ-SMN,SANTA CRUZ,-50.02,-68.57,113
50192,SANTA ROSA-SMN,LA PAMPA,-36.57,-64.27,191
50572,SANTA ROSA DE CONLARA-SMN,SAN LUIS,-32.67,-65.32,620
50547,SANTA TERESITA-SMN,BUENOS AIRES,-36.55,-56.7,4
50062,SANTIAGO DEL ESTERO-SMN,SANTIAGO DEL ESTERO,-27.77,-64.3,199
50451,SAUCE VIEJO-SMN,SANTA FE,-31.7,-60.82,18
50311,TANDIL-SMN,BUENOS AIRES,-37.23,-59.25,175
50326,TARTAGAL-SMN,SALTA,-22.65,-63.82,450
50065,TINOGASTA-SMN,CATAMARCA,-28.07,-67.57,1201
50558,TOLHUIN-SMN,TIERRA DEL FUEGO,-54.53,-67.22,105
50258,TRELEW-SMN,CHUBUT,-43.2,-65.26,43
50185,TRENQUE LAUQUEN-SMN,BUENOS AIRES,-35.97,-62.74,95
50490,TRES ARROYOS-SMN,BUENOS AIRES,-38.33,-60.25,115
50017,TUCUMAN-SMN,TUCUMAN,-26.85,-65.1,450
50298,USHUAIA-SMN,TIERRA DEL FUEGO,-54.8,-68.32,14
50308,USPALLATA-SMN,MENDOZA,-32.6,-69.33,1891
50551,VENADO TUERTO-SMN,SANTA FE,-33.75,-61.95,65
50188,VICTORICA-SMN,LA PAMPA,-36.22,-65.43,312
50501,VIEDMA-SMN,RIO NEGRO,-40.85,-63.02,7
50117,VILLA DOLORES-SMN,CORDOBA,-31.95,-65.13,569
50013,VILLA GESELL-SMN,BUENOS AIRES,-37.25,-57.0,8
50082,VILLA MARIA DEL RIO SECO-SMN,CORDOBA,-29.9,-63.68,341
50156,VILLA ORTUZAR-SMN,CIUDAD AUTONOMA DE BUENOS AIRES,-34.58,-58.48,25
50335,VILLA REYNOLDS-SMN,SAN LUIS,-33.73,-65.38,486
50522,YACIRETA-SMN,CORRIENTES,-27.57,-56.68,72
50075,MERCEDES-SMN,CORRIENTES,-29.23,-58.08,107
50573,RAFAELA-SMN,SANTA FE,-31.27,-61.5,99
50574,SUNCHALES-SMN,SANTA FE,-30.97,-61.33,92
50446,ANGUIL-INTA,LA PAMPA,-36.5,-63.98,165
50492,SAN PEDRO-INTA,BUENOS AIRES,-33.68,-59.68,28
50415,ROQUE SAENZ PEÑA-INTA,CHACO,-26.87,-60.45,90
50437,RECONQUISTA-INTA,SANTA FE,-29.25,-59.73,42
50145,PERGAMINO-INTA,BUENOS AIRES,-33.93,-60.55,65
50472,OLIVEROS-INTA,SANTA FE,-32.55,-60.85,26
50098,RAFAELA-INTA,SANTA FE,-31.18,-61.55,100
50416,LAS BREÑAS-INTA,CHACO,-27.08,-61.12,102
50550,LA MARIA-INTA,SANTIAGO DEL ESTERO,-28.23,-64.15,169
50502,MARCOS JUAREZ-INTA,CORDOBA,-32.68,-62.12,110
50421,HILARIO ASCASUBI-INTA,BUENOS AIRES,-39.38,-62.62,22
50038,GENERAL VILLEGAS-INTA,BUENOS AIRES,-34.92,-62.73,117
50444,FAMAILLA-INTA,TUCUMAN,-27.05,-65.42,363
50067,BELLAVISTA-INTA,CORRIENTES,-28.43,-58.92,70
50400,BALCARCE-INTA,BUENOS AIRES,-37.75,-58.3,130
50216,BARROW-INTA,BUENOS AIRES,-38.32,-60.25,120
50358,CASTELAR-INTA,BUENOS AIRES,-34.67,-58.65,22
50487,COLONIA BENITEZ-INTA,CHACO,-27.42,-58.93,54
50498,MERCEDES-INTA,CORRIENTES,-29.17,-58.02,100
50454,CHACRAS DE CORIA,MENDOZA,-32.98,-68.87,902
50163,CIPOLETTI-SMN,RIO NEGRO,-38.95,-67.97,270
50080,CURUZU CUATIA-SMN,CORRIENTES,-29.78,-57.98,61
50478,DON TORCUATO-SMN,BUENOS AIRES,-34.48,-58.62,17
50001,LA QUIACA-SMN,JUJUY,-22.1,-65.6,3442
50989,CAPILLA DEL MONTE-INTA,CORDOBA,-30.87,-64.55,972
50423,CERRO AZUL-INTA,MISIONES,-27.65,-55.43,270
50497,CONCEPCION DEL URUGUAY-INTA,ENTRE RIOS,-32.48,-58.23,3
50496,CONCORDIA-INTA,ENTRE RIOS,-31.36,-58.12,21
50464,EL COLORADO-INTA,FORMOSA,-26.3,-59.37,86
50442,LA CONSULTA-INTA,MENDOZA,-33.73,-69.12,1050
50910,LAS ROSAS-INTA,SANTA FE,-32.48,-61.57,98
50438,MANFREDI-INTA,CORDOBA,-31.82,-63.77,294
50413,25 de Mayo - EEA Pergamino,BUENOS AIRES,-35.48,-60.13,85
50682,5000,BUENOS AIRES,-85.0,-55.0,0
50683,5001,BUENOS AIRES,-85.0,-60.0,0
50704,993 - LAB,SIN ASIGNAR,-84.0,-70.0,0
50705,994 - LAB,SIN ASIGNAR,-84.0,-65.0,0
50707,996 - ENSAYO-CITEDEF-INTA,SIN ASIGNAR,-34.6,-58.67,22
50708,997 - LAB,SIN ASIGNAR,-84.0,-50.0,0
50709,998 - LAB,SIN ASIGNAR,-84.0,-45.0,0
50018,999 - LAB,SIN ASIGNAR,-84.0,-40.0,22
50706,A872995-CITEDEF-INTA,BUENOS AIRES,-34.55,-58.51,18
50516,Abra Pampa - EEA Abra Pampa,JUJUY,-22.8,-65.83,3463
50236,Alfonso - EEA Pergamino,BUENOS AIRES,-33.91,-60.84,80
50393,Andalgala - EEA Catamarca,CATAMARCA,-27.61,-66.33,983
50403,Andresito - EEA Montecarlo,MISIONES,-25.62,-54.07,261
50233,Anguil -EEA Anguil,LA PAMPA,-36.54,-63.99,165
50468,Aparicio - EEA Barrow,BUENOS AIRES,-38.67,-60.93,119
50237,Arrecifes - EEA Pergamino,BUENOS AIRES,-34.05,-60.14,36
50404,B de Irigoyen - EEA Montecarlo,MISIONES,-26.28,-53.67,815
50242,Balcarce - EEA Balcarce,BUENOS AIRES,-37.76,-58.3,130
50251,Bandera - EEA Quimilí,SANTIAGO DEL ESTERO,-28.89,-62.27,98
50269,Bariloche - EEA Bariloche,RIO NEGRO,-41.12,-71.25,796
50474,Barreal - EEA San Juan,SAN JUAN,-31.62,-69.47,30
50383,Basail - EEA Col Benitez,CHACO,-27.9,-59.3,55
50491,Bella Vista - EEA Bella Vista,CORRIENTES,-28.45,-58.99,70
50425,Bme de las Casas -EEA Colorado,FORMOSA,-25.45,-59.5,116
50518,Bordenave - EEA Bordenave,BUENOS AIRES,-37.75,-63.08,202
50427,Caa Cati - EEA Corrientes,CORRIENTES,-27.75,-57.62,74
50296,Calchaqui - EEA Reconquista,SANTA FE,-29.88,-60.24,70
50484,Capilla de Siton - ICyA CIRN,CORDOBA,-30.57,-63.65,212
50664,Capilla del Monte (EMC),CORDOBA,-30.87,-64.55,0
50678,Casbas - EEA C. Naredo,SIN ASIGNAR,-36.86,-62.45,100
50079,Castelar - ICyA CIRN,BUENOS AIRES,-34.61,-58.67,22
50380,Catuna - EEA La Rioja,LA RIOJA,-30.96,-66.17,497
50431,Caucete - EEA San Juan,SAN JUAN,-31.7,-68.29,543
50489,Cañada Ombu - EEA Reconquista,SANTA FE,-28.36,-60.15,58
50293,Ceres - EEA Rafaela,SANTA FE,-29.87,-61.96,2
50382,Cerro Azul - EEA Cerro Azul,MISIONES,-27.66,-55.44,292
50472,Chascomus - EEA Cuenca Salado,BUENOS AIRES,-35.74,-58.05,28
50377,Col Popular - EEA Col Benitez,CHACO,-27.27,-59.14,82
50700,Col. Tabay - EEA Bella Vista,CORRIENTES,-28.18,-58.16,10
50495,Colan Conhué - EEA Esquel,CHUBUT,-43.23,-69.92,844
50272,Concepción - EEA Conc. Uruguay,ENTRE RIOS,-32.49,-58.35,17
50244,Coronel Suarez - EEA C. Naredo,BUENOS AIRES,-37.29,-62.04,237
50478,Dean Funes - EEA Manfredi,CORDOBA,-30.34,-64.32,701
50502,Du Graty - EEA SÃ¡enz PeÃ±a,CHACO,-27.7,-60.91,89
50703,El Calafate - EEA Rio Gallegos,SANTA CRUZ,-50.31,-72.32,200
50424,El Colorado - EEA El Colorado,FORMOSA,-26.33,-59.35,106
50378,El Portezuelo - EEA La Rioja,LA RIOJA,-30.84,-66.7,820
50303,Esperanza - EEA Santa Cruz,SANTA CRUZ,-51.1,-70.5,541
50417,Esquina - EEA Bella Vista,CORRIENTES,-30.04,-59.53,53
50348,Famailla - EEA Famailla,TUCUMAN,-27.02,-65.38,380
50248,Federal - EEA Concordia,ENTRE RIOS,-30.93,-58.77,65
50238,Ferre - EEA Pergamino,BUENOS AIRES,-34.1,-61.14,103
50721,Gob. Gregores - EEA Santa Cruz,SANTA CRUZ,-48.81,-70.14,353
50408,Goya - EEA Bella Vista,CORRIENTES,-29.18,-59.09,84
50674,Gral. Conesa - EEA Valle Inf.,RIO NEGRO,-40.21,-64.19,100
50268,Gral. Roca - EEA Alto Valle,RIO NEGRO,-39.03,-67.74,242
50274,Gualjaina - EEA Esquel,CHUBUT,-42.73,-70.5,501
50711,Guardia Mitre - EEA V Inferior,RIO NEGRO,-40.43,-63.68,30
50722,Guer Aike - EEA Santa Cruz,SANTA CRUZ,-51.61,-69.66,137
50488,Hornillos - IPAF NOA,JUJUY,-23.66,-65.43,2241
50716,Hughes - EEA Oliveros,SANTA FE,-33.85,-61.33,80
50234,Huinca Renanco - EEA Anguil,CORDOBA,-34.77,-64.37,189
50667,Ing. Jacobacci - EEA Bariloche,RIO NEGRO,-41.33,-69.55,30
50059,INTA - Alto Valle (EMC),RIO NEGRO,-39.01,-67.4,242
50053,INTA - Anguil (EMC),LA PAMPA,-36.5,-63.98,165
50032,INTA - Balcarce (EMC),BUENOS AIRES,-37.75,-58.3,130
50033,INTA - Barrow (EMC),BUENOS AIRES,-38.32,-60.25,120
50041,INTA - Bella Vista (EMC),CORRIENTES,-28.43,-58.92,70
50034,INTA - Bordenave (EMC),BUENOS AIRES,-37.85,-63.02,212
50009,INTA - Castelar (EMC),BUENOS AIRES,-34.61,-58.67,22
50039,INTA - Catamarca Sumalao (EMC),CATAMARCA,-28.48,-65.73,525
50058,INTA - Cerro Azul (EMC),MISIONES,-27.65,-55.43,283
50044,INTA - Colonia Benitez (EMC),CHACO,-27.42,-58.93,54
50048,INTA - Conc. del Uruguay (EMC),ENTRE RIOS,-32.49,-58.35,25
50049,INTA - Concordia (EMC),ENTRE RIOS,-31.38,-58.03,48
50040,INTA - Corrientes (EMC),CORRIENTES,-27.65,-58.77,57
50051,INTA - El Colorado (EMC),FORMOSA,-26.3,-59.38,78
50068,INTA - Famailla (EMC),TUCUMAN,-27.05,-65.42,363
50054,INTA - Gral Pico (EMC),LA PAMPA,-35.67,-63.75,143
50035,INTA - Gral Villegas (EMC),BUENOS AIRES,-34.92,-62.73,117
50036,INTA - Hilario Ascasubi (EMC),BUENOS AIRES,-39.38,-62.62,22
50056,INTA - La Consulta (EMC),MENDOZA,-33.73,-69.12,740
50067,INTA - La Maria S.Estero (EMC),SANTIAGO DEL ESTERO,-28.02,-64.23,169
50045,INTA - Las Breñas (EMC),CHACO,-27.1,-61.1,102
50031,INTA - Manfredi (EMC),CORDOBA,-31.82,-63.77,292
50030,INTA - Marcos Juarez (EMC),CORDOBA,-32.68,-62.12,110
50057,INTA - Mendoza (EMC),MENDOZA,-33.15,-68.47,653
50042,INTA - Mercedes Ctes (EMC),CORRIENTES,-29.17,-58.02,100
50063,INTA - Oliveros (EMC),SANTA FE,-32.55,-60.85,26
50050,INTA - Parana (EMC),ENTRE RIOS,-31.85,-60.54,110
50037,INTA - Pergamino (EMC),BUENOS AIRES,-33.93,-60.55,65
50064,INTA - Rafaela (EMC),SANTA FE,-31.18,-61.55,100
50055,INTA - Rama CaÃ­da (EMC),MENDOZA,-34.67,-68.38,692
50065,INTA - Reconquista (EMC),SANTA FE,-29.18,-59.7,42
50046,INTA - Roque Saenz Peña (EMC),CHACO,-26.87,-60.45,90
50060,INTA - Salta (EMC),SALTA,-24.9,-65.5,1250
50061,INTA - San Juan (EMC),SAN JUAN,-31.37,-68.32,618
50038,INTA - San Pedro (EMC),BUENOS AIRES,-33.74,-59.8,28
50047,INTA - Trelew (EMC),CHUBUT,-43.23,-65.3,10
50062,INTA - Villa Mercedes (EMC),SAN LUIS,-33.72,-65.48,515
50043,INTA DELTA del Parana (EMC),BUENOS AIRES,-34.18,-58.86,1
50672,Ituzaingo - EEA Corrientes,CORRIENTES,-27.54,-56.58,20
50713,J J Castelli - EEA Saenz Peña,CHACO,-25.96,-60.56,0
50720,Jaramillo - EEA Santa Cruz,SANTA CRUZ,-47.2,-66.93,185
50454,Junin - EEA Junin Mendoza,MENDOZA,-33.12,-68.48,654
