5028319560524  7.4 -0.7  0.009999-99.9-99.9-99.9-99.9 5.2 59-9.9-99-99.9 -99-99.9 4.7-9.9
5028319560525  7.4  0.5  0.009999-99.9-99.9-99.9-99.9 2.3 26-9.9-99-99.9 -99-99.9 3.0-9.9
5028319560526  5.4 -2.4  1.219999-99.9-99.9-99.9-99.9 6.6 76-9.9-99-99.9 -99-99.9 5.5-9.9
5028319560527  3.4 -2.6  0.009999-99.9-99.9-99.9-99.9 0.5  5-9.9-99-99.9 -99-99.9 1.9-9.9
5028319560528  4.4 -6.9  0.009999-99.9-99.9-99.9-99.9 7.4 86-9.9-99-99.9 -99-99.9 5.8-9.9
5028319560529  7.4 -5.0  0.009999-99.9-99.9-99.9-99.9 6.8 79-9.9-99-99.9 -99-99.9 5.4-9.9
5028319560530 11.9  4.6  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.6-9.9
5028319560531 15.4  2.0  0.009999-99.9-99.9-99.9-99.9 3.5 41-9.9-99-99.9 -99-99.9 3.5-9.9
5028319560601 12.6  7.1  0.009999-99.9-99.9-99.9-99.9 5.2 61-9.9-99-99.9 -99-99.9 4.4-9.9
5028319560602 11.9  3.4  0.009999-99.9-99.9-99.9-99.9 6.3 74-9.9-99-99.9 -99-99.9 5.0-9.9
5028319560603 10.4  1.5  0.009999-99.9-99.9-99.9-99.9 1.7 20-9.9-99-99.9 -99-99.9 2.4-9.9
5028319560604 14.4  1.8  0.009999-99.9-99.9-99.9-99.9 1.3 15-9.9-99-99.9 -99-99.9 2.2-9.9
5028319560605 11.6  1.0  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.5-9.9
5028319560606 13.9  1.1  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.5-9.9
5028319560607  8.4 -5.0  1.419999-99.9-99.9-99.9-99.9 1.5 18-9.9-99-99.9 -99-99.9 2.3-9.9
5028319560608  1.0 -6.4  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.5-9.9
5028319560609  4.4 -2.8  0.009999-99.9-99.9-99.9-99.9 7.0 84-9.9-99-99.9 -99-99.9 5.2-9.9
5028319560610  5.1 -3.5  1.819999-99.9-99.9-99.9-99.9 0.4  4-9.9-99-99.9 -99-99.9 1.6-9.9
5028319560611  6.4 -2.2  1.019999-99.9-99.9-99.9-99.9 3.3 39-9.9-99-99.9 -99-99.9 3.1-9.9
5028319560612  7.4 -7.6  0.009999-99.9-99.9-99.9-99.9 0.4  4-9.9-99-99.9 -99-99.9 1.6-9.9
5028319560613  9.2  1.4  0.009999-99.9-99.9-99.9-99.9 3.5 42-9.9-99-99.9 -99-99.9 3.2-9.9
5028319560614  9.1  1.8  0.009999-99.9-99.9-99.9-99.9 6.8 82-9.9-99-99.9 -99-99.9 5.0-9.9
5028319560615  8.0 -1.6  0.009999-99.9-99.9-99.9-99.9 4.7 57-9.9-99-99.9 -99-99.9 3.9-9.9
5028319560616  7.6  0.8  0.009999-99.9-99.9-99.9-99.9 1.4 17-9.9-99-99.9 -99-99.9 2.1-9.9
5028319560617 10.4  0.5  0.009999-99.9-99.9-99.9-99.9 2.5 30-9.9-99-99.9 -99-99.9 2.7-9.9
5028319560618 11.1  5.0  0.009999-99.9-99.9-99.9-99.9 0.5  6-9.9-99-99.9 -99-99.9 1.7-9.9
5028319560619 14.5  9.5  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.4-9.9
5028319560620 15.9  8.0  0.009999-99.9-99.9-99.9-99.9 6.7 81-9.9-99-99.9 -99-99.9 4.9-9.9
5028319560621 12.9  5.3  0.009999-99.9-99.9-99.9-99.9 3.5 42-9.9-99-99.9 -99-99.9 3.2-9.9
5028319560622  9.9  4.6  0.009999-99.9-99.9-99.9-99.9 1.0 12-9.9-99-99.9 -99-99.9 1.9-9.9
5028319560623  8.7  3.4  0.009999-99.9-99.9-99.9-99.9 4.4 53-9.9-99-99.9 -99-99.9 3.7-9.9
5028319560624  7.4  1.0  0.009999-99.9-99.9-99.9-99.9 5.2 63-9.9-99-99.9 -99-99.9 4.1-9.9
5028319560625  6.2  1.8  0.819999-99.9-99.9-99.9-99.9 1.9 23-9.9-99-99.9 -99-99.9 2.4-9.9
5028319560626  1.8 -4.0  0.009999-99.9-99.9-99.9-99.9 6.2 75-9.9-99-99.9 -99-99.9 4.7-9.9
5028319560627  4.3 -4.4  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.4-9.9
5028319560628  4.8 -7.6  0.009999-99.9-99.9-99.9-99.9 5.6 67-9.9-99-99.9 -99-99.9 4.3-9.9
5028319560629  6.4 -2.9  0.009999-99.9-99.9-99.9-99.9 1.2 14-9.9-99-99.9 -99-99.9 2.0-9.9
5028319560630  6.4 -2.7  0.009999-99.9-99.9-99.9-99.9 0.3  3-9.9-99-99.9 -99-99.9 1.6-9.9
5028319560701  7.9 -2.6  0.009999-99.9-99.9-99.9-99.9 3.1 37-9.9-99-99.9 -99-99.9 3.1-9.9
5028319560702 10.7 -1.2  0.009999-99.9-99.9-99.9-99.9 0.6  7-9.9-99-99.9 -99-99.9 1.8-9.9
5028319560703 10.7  4.4  0.009999-99.9-99.9-99.9-99.9 3.5 42-9.9-99-99.9 -99-99.9 3.3-9.9
5028319560704  9.4  1.0  0.009999-99.9-99.9-99.9-99.9 6.2 74-9.9-99-99.9 -99-99.9 4.8-9.9
5028319560705  9.4  1.4  0.009999-99.9-99.9-99.9-99.9 6.1 72-9.9-99-99.9 -99-99.9 4.8-9.9
5028319560706 12.5 -1.8  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.5-9.9
5028319560707 12.4  8.4  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.5-9.9
5028319560708 12.9  4.6  0.009999-99.9-99.9-99.9-99.9 6.9 81-9.9-99-99.9 -99-99.9 5.3-9.9
5028319560709 15.9  4.5  0.009999-99.9-99.9-99.9-99.9 1.7 20-9.9-99-99.9 -99-99.9 2.5-9.9
5028319560710 15.8  7.8  0.009999-99.9-99.9-99.9-99.9 5.9 69-9.9-99-99.9 -99-99.9 4.8-9.9
5028319560711 11.9  3.6  0.009999-99.9-99.9-99.9-99.9 7.3 85-9.9-99-99.9 -99-99.9 5.7-9.9
5028319560712 12.9  3.6  0.009999-99.9-99.9-99.9-99.9 4.2 49-9.9-99-99.9 -99-99.9 4.0-9.9
5028319560713  8.9 -5.0  0.009999-99.9-99.9-99.9-99.9 3.7 43-9.9-99-99.9 -99-99.9 3.7-9.9
5028319560714 12.5  4.4  0.009999-99.9-99.9-99.9-99.9 0.4  4-9.9-99-99.9 -99-99.9 1.8-9.9
5028319560715 10.2  5.5  0.009999-99.9-99.9-99.9-99.9 1.8 20-9.9-99-99.9 -99-99.9 2.6-9.9
5028319560716  6.7  1.0  0.009999-99.9-99.9-99.9-99.9 7.3 84-9.9-99-99.9 -99-99.9 5.9-9.9
5028319560717  3.6 -5.7  0.009999-99.9-99.9-99.9-99.9 2.7 31-9.9-99-99.9 -99-99.9 3.3-9.9
5028319560718  6.3 -6.6  0.009999-99.9-99.9-99.9-99.9 7.1 81-9.9-99-99.9 -99-99.9 5.9-9.9
5028319560719  7.3 -4.0  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.7-9.9
5028319560720  9.4 -0.7  0.009999-99.9-99.9-99.9-99.9 2.6 29-9.9-99-99.9 -99-99.9 3.3-9.9
5028319560721  4.3 -5.7  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.8-9.9
5028319560722  9.8  2.0  0.009999-99.9-99.9-99.9-99.9 2.6 29-9.9-99-99.9 -99-99.9 3.4-9.9
5028319560723  6.4 -7.2  0.009999-99.9-99.9-99.9-99.9 8.2 92-9.9-99-99.9 -99-99.9 6.9-9.9
5028319560724  7.4 -0.4  0.009999-99.9-99.9-99.9-99.9 2.5 27-9.9-99-99.9 -99-99.9 3.4-9.9
5028319560725  5.9 -5.2  0.009999-99.9-99.9-99.9-99.9 8.7 96-9.9-99-99.9 -99-99.9 7.4-9.9
5028319560726  6.4 -7.4  0.009999-99.9-99.9-99.9-99.9 8.6 95-9.9-99-99.9 -99-99.9 7.4-9.9
5028319560727  5.4 -6.0  0.009999-99.9-99.9-99.9-99.9 6.2 68-9.9-99-99.9 -99-99.9 5.9-9.9
