5047719611008 25.8 17.5 42.519900-99.9-99.9-99.9-99.9-9.9 9919.9 73 17.4  11  8.8-9.9-9.9
5047719611009 22.0 16.0  0.009900-99.9-99.9-99.9-99.9-9.9 9917.3 81 15.2  17 13.6-9.9-9.9
5047719611010 20.8 14.2  0.009900-99.9-99.9-99.9-99.9-9.9 9919.3 92 16.9  13 10.4-9.9-9.9
5047719611011 24.0 17.5  0.009900-99.9-99.9-99.9-99.9-9.9 9920.9 86 18.2   9  7.2-9.9-9.9
5047719611012 25.0 13.6  0.009900-99.9-99.9-99.9-99.9-9.9 9916.5 70 14.5   9  7.2-9.9-9.9
5047719611013 24.8 14.2  0.009900-99.9-99.9-99.9-99.9-9.9 9916.5 68 14.5  11  8.8-9.9-9.9
5047719611014 23.0 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 9915.4 75 13.4  14 11.2-9.9-9.9
5047719611015 18.9 14.4  8.519900-99.9-99.9-99.9-99.9-9.9 9914.8 72 12.8  21 16.8-9.9-9.9
5047719611016 19.0 13.0 17.019900-99.9-99.9-99.9-99.9-9.9 9915.5 93 13.5  11  8.8-9.9-9.9
5047719611017 20.6 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.1 76 12.1  14 11.2-9.9-9.9
5047719611018 26.0 14.8  0.009900-99.9-99.9-99.9-99.9-9.9 9914.9 64 12.9  11  8.8-9.9-9.9
5047719611019 27.2 12.5 10.519900-99.9-99.9-99.9-99.9-9.9 9915.3 61 13.3  11  8.8-9.9-9.9
5047719611020 20.3  9.0  0.009900-99.9-99.9-99.9-99.9-9.9 9912.4 78 10.1  19 15.2-9.9-9.9
5047719611021 19.0  7.0  0.009900-99.9-99.9-99.9-99.9-9.9 9911.7 70  9.3   9  7.2-9.9-9.9
5047719611022 21.5  7.8  0.009900-99.9-99.9-99.9-99.9-9.9 9913.1 67 11.0  15 12.0-9.9-9.9
5047719611023 24.5  9.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.2 62 12.2   9  7.2-9.9-9.9
5047719611024 29.0 12.0  0.009900-99.9-99.9-99.9-99.9-9.9 9920.8 68 18.1   7  5.6-9.9-9.9
5047719611025 29.0 13.5  0.009900-99.9-99.9-99.9-99.9-9.9 9916.3 59 14.3   7  5.6-9.9-9.9
5047719611026 31.5 13.8  0.009900-99.9-99.9-99.9-99.9-9.9 9917.2 56 15.1   7  5.6-9.9-9.9
5047719611027 33.0 13.8  0.009900-99.9-99.9-99.9-99.9-9.9 9922.7 61 19.5   9  7.2-9.9-9.9
5047719611028 33.0 17.6  0.009900-99.9-99.9-99.9-99.9-9.9 9921.1 55 18.4  16 12.8-9.9-9.9
5047719611029 26.0 18.5  7.519900-99.9-99.9-99.9-99.9-9.9 9922.3 90 19.2   9  7.2-9.9-9.9
5047719611030 26.0 18.2  0.009900-99.9-99.9-99.9-99.9-9.9 9921.6 83 18.7   9  7.2-9.9-9.9
5047719611031 27.9 18.8  4.219900-99.9-99.9-99.9-99.9-9.9 9922.0 86 19.0   7  5.6-9.9-9.9
5047719611101 33.5 16.3  0.009900-99.9-99.9-99.9-99.9-9.9 9921.8 77 18.9   7  5.6-9.9-9.9
5047719611102 29.8 14.8  0.009900-99.9-99.9-99.9-99.9-9.9 9922.2 69 19.2   7  5.6-9.9-9.9
5047719611103 32.0 17.0 15.019900-99.9-99.9-99.9-99.9-9.9 9924.2 68 20.6   9  7.2-9.9-9.9
5047719611104 24.5 14.0  1.019900-99.9-99.9-99.9-99.9-9.9 9912.5 73 10.3  30 24.0-9.9-9.9
5047719611105 19.0  9.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.4 65  7.5  12  9.6-9.9-9.9
5047719611106 23.8  7.6  0.009900-99.9-99.9-99.9-99.9-9.9 9912.9 59 10.7   6  4.8-9.9-9.9
5047719611107 28.0 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9915.9 61 13.9   7  5.6-9.9-9.9
5047719611108 29.5 15.0 11.519900-99.9-99.9-99.9-99.9-9.9 9916.5 56 14.5  16 12.8-9.9-9.9
5047719611109 23.0 15.5  0.009900-99.9-99.9-99.9-99.9-9.9 9917.3 77 15.2  15 12.0-9.9-9.9
5047719611110 24.5 10.8  0.009900-99.9-99.9-99.9-99.9-9.9 9915.2 64 13.2   9  7.2-9.9-9.9
5047719611111 25.0 13.2  0.009900-99.9-99.9-99.9-99.9-9.9 9913.9 62 11.9   9  7.2-9.9-9.9
5047719611112 27.5 11.7  0.009900-99.9-99.9-99.9-99.9-9.9 9914.2 54 12.2  14 11.2-9.9-9.9
5047719611113 27.5 13.4  0.009900-99.9-99.9-99.9-99.9-9.9 9916.5 66 14.5   6  4.8-9.9-9.9
5047719611114 30.0 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.3 48 12.3   4  3.2-9.9-9.9
5047719611115 34.0 14.2  0.009900-99.9-99.9-99.9-99.9-9.9 9916.4 48 14.4   9  7.2-9.9-9.9
5047719611116 33.0 18.0  0.009900-99.9-99.9-99.9-99.9-9.9 9917.6 48 15.5  17 13.6-9.9-9.9
5047719611117 33.5 19.0 20.519900-99.9-99.9-99.9-99.9-9.9 9920.5 52 17.9  15 12.0-9.9-9.9
5047719611118 26.4 16.5 48.519900-99.9-99.9-99.9-99.9-9.9 9920.4 93 17.8  11  8.8-9.9-9.9
5047719611119 24.5 17.2  0.009900-99.9-99.9-99.9-99.9-9.9 9919.5 82 17.1  13 10.4-9.9-9.9
5047719611120 25.5 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 9919.5 75 17.1   9  7.2-9.9-9.9
