5041919700408 23.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.5 64 10.3  16 12.8-9.9-9.9
5041919700409 29.4-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9917.0 69 15.0  13 10.4-9.9-9.9
5041919700410 29.2-99.9  2.519900-99.9-99.9-99.9-99.9-9.9 9913.5 50 11.4  20 16.0-9.9-9.9
5041919700411 18.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.1 78  9.8  16 12.8-9.9-9.9
5041919700412 18.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.8 87 10.6  14 11.2-9.9-9.9
5041919700413 20.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.1 55  3.9  10  8.0-9.9-9.9
5041919700414 20.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.8 65  6.7   9  7.2-9.9-9.9
5041919700415 20.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.0 61  1.9   6  4.8-9.9-9.9
5041919700416 26.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9913.0 56 10.9  13 10.4-9.9-9.9
5041919700417 29.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.7 49  9.3  11  8.8-9.9-9.9
5041919700418 26.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.1 49  8.5   6  4.8-9.9-9.9
5041919700419 28.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.2 54  9.9   3  2.4-9.9-9.9
5041919700420 27.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9913.7 68 11.6   2  1.6-9.9-9.9
5041919700421 27.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.3 63  8.8  14 11.2-9.9-9.9
5041919700422 25.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.6 62 10.4  16 12.8-9.9-9.9
5041919700423 28.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9913.8 64 11.8   9  7.2-9.9-9.9
5041919700424 28.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.6 61  9.2   8  6.4-9.9-9.9
5041919700425 26.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.8 53  8.1  16 12.8-9.9-9.9
5041919700426 18.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.6 56  3.0   7  5.6-9.9-9.9
5041919700427 23.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.1 57  5.6  11  8.8-9.9-9.9
5041919700428 23.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.4 62  6.1   6  4.8-9.9-9.9
5041919700429 28.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.5 51  9.0  11  8.8-9.9-9.9
5041919700430 21.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.6 64  6.4   3  2.4-9.9-9.9
5041919700501 24.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.5 58 10.3  28 22.4-9.9-9.9
5041919700502 25.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.0 53  7.0  11  8.8-9.9-9.9
5041919700503 24.4-99.9  7.519900-99.9-99.9-99.9-99.9-9.9 9917.2 79 15.1   9  7.2-9.9-9.9
5041919700504 17.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.2 62  4.1  16 12.8-9.9-9.9
5041919700505 14.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.1 64  0.0  13 10.4-9.9-9.9
5041919700506 18.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.9 60  3.6   9  7.2-9.9-9.9
5041919700507 22.4-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.3 61  7.4   0  0.0-9.9-9.9
5041919700508 27.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.7 47  8.0  28 22.4-9.9-9.9
5041919700509 21.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.1 55  0.0  12  9.6-9.9-9.9
5041919700510 16.4-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.8 66  3.4   6  4.8-9.9-9.9
5041919700511 17.6-99.9  2.019900-99.9-99.9-99.9-99.9-9.9 99 6.4 63  0.6   5  4.0-9.9-9.9
5041919700512 13.2-99.9  7.519900-99.9-99.9-99.9-99.9-9.9 9912.5 95 10.3  11  8.8-9.9-9.9
5041919700513 18.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.4 91 10.1   3  2.4-9.9-9.9
5041919700514 19.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.3 77  7.4   9  7.2-9.9-9.9
5041919700515 17.6-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.6 75  4.8   1  0.8-9.9-9.9
5041919700516 16.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.6 91  7.8  16 12.8-9.9-9.9
5041919700517 12.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.4 80  2.7   9  7.2-9.9-9.9
5041919700518 11.2-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.0 70  1.9   0  0.0-9.9-9.9
