5027019580408 17.8  8.4  0.009900  6.2-99.9-99.9-99.9 2.9 26 4.2 37 -5.0  31 24.8 6.9 5.6
5027019580409 20.4  9.8  0.009900  7.6-99.9-99.9-99.9 3.1 28 4.7 36 -3.6  36 28.8 7.0 6.6
5027019580410 15.4  7.3  0.009900  7.0-99.9-99.9-99.9 0.4  4 5.2 60 -2.2  27 21.6 4.1 4.2
5027019580411 11.3  5.5  0.009900  3.0-99.9-99.9-99.9 4.7 43 4.8 59 -3.3  33 26.4 8.5 3.9
5027019580412 14.5  3.2  0.009900  1.4-99.9-99.9-99.9 0.7  6 5.0 51 -2.7  35 28.0 4.3 4.3
5027019580413 21.2 11.3  0.009900  9.5-99.9-99.9-99.9 4.7 43 5.7 42 -1.0  30 24.0 8.3 5.5
5027019580414 22.5  9.8  0.009900  8.6-99.9-99.9-99.9 7.8 72 6.3 47  0.4  37 29.611.3 6.1
5027019580415 18.9 11.1  0.009900 10.0-99.9-99.9-99.9 8.5 79 6.9 60  1.7  22 17.611.9 3.6
5027019580416 15.2  6.8  0.009900 -0.4-99.9-99.9-99.9 7.8 73 6.4 67  0.6  17 13.611.1 2.3
5027019580417 19.8  5.1  0.009900  3.7-99.9-99.9-99.9 3.7 35 7.8 76  3.4   6  4.8 7.0 1.4
5027019580418 22.6 10.4  0.009900  7.9-99.9-99.9-99.9 2.5 24 8.4 59  4.5  19 15.2 5.7 3.4
5027019580419 19.4 12.0  0.009900 10.0-99.9-99.9-99.9 6.4 61 5.5 43 -1.4  54 43.2 9.4 8.7
5027019580420 16.7  8.9  0.009900  6.8-99.9-99.9-99.9 6.2 59 6.5 62  0.9  20 16.0 9.1 2.9
5027019580421 22.2 10.8  0.009900  9.8-99.9-99.9-99.9 6.9 66 9.1 40  5.6  36 28.8 9.6 4.7
5027019580422 18.7  9.4  0.009900  7.8-99.9-99.9-99.9 6.4 61 4.9 45 -3.0  28 22.4 9.1 4.8
5027019580423 18.3  9.6  0.009900  7.2-99.9-99.9-99.9 5.3 51 5.1 40 -2.5  43 34.4 7.9 6.7
5027019580424 19.6 10.3  0.009900  8.0-99.9-99.9-99.9 6.1 59 4.1 37 -5.4  44 35.2 8.6 7.8
5027019580425 18.1  8.9  0.009900  7.4-99.9-99.9-99.9 1.8 18 4.8 40 -3.3  38 30.4 4.6 6.1
5027019580426 16.5  7.1  0.009900  5.4-99.9-99.9-99.9 8.8 86 5.1 47 -2.5  56 44.810.8 7.3
5027019580427 15.0  9.2  0.009900  7.8-99.9-99.9-99.9 7.8 77 3.5 35 -7.4  67 53.6 9.810.2
5027019580428 14.5  5.1  0.009900  3.0-99.9-99.9-99.9 7.1 70 3.6 43 -7.1  40 32.0 9.1 5.7
5027019580429 19.0  6.1  0.009900  4.1-99.9-99.9-99.9 0.0  0 5.3 48 -1.9  22 17.6 2.8 3.8
5027019580430 15.6  2.8  0.009900  0.8-99.9-99.9-99.9 5.0 50 4.0 58 -5.7  33 26.4 7.1 4.4
5027019580501 14.2  3.1  0.009900  1.2-99.9-99.9-99.9 8.3 83 3.5 39 -7.4  32 25.6 9.8 4.5
5027019580502 13.6  5.4  0.009900  3.3-99.9-99.9-99.9 5.2 52 3.7 44 -6.7  27 21.6 7.1 4.0
5027019580503 21.8  6.2  0.009900  5.0-99.9-99.9-99.9 0.0  0 6.8 49  1.5  54 43.2 2.7 7.1
5027019580504 22.9 15.1  0.009900 11.8-99.9-99.9-99.9 0.0  0 7.3 42  2.5  33 26.4 2.6 6.3
5027019580505 21.9  7.4  0.009900  5.8-99.9-99.9-99.9 0.6  6 7.3 87  2.5   6  4.8 3.1 1.7
5027019580506 10.3  2.4  0.009900  7.4-99.9-99.9-99.9 0.0  0 6.8 96  1.5  30 24.0 2.6 1.8
5027019580507  7.8  1.7  0.009900  0.1-99.9-99.9-99.9 0.0  0 6.5 90  0.9  38 30.4 2.5 1.7
5027019580508 10.7  4.5  0.009900  3.9-99.9-99.9-99.9 3.7 38 6.5 87  0.9  14 11.2 5.4 1.3
5027019580509  9.4  2.6  0.009900  0.4-99.9-99.9-99.9 5.5 57 4.9 69 -3.0  25 20.0 6.8 2.3
5027019580510 12.2  4.3  0.009900  0.5-99.9-99.9-99.9 5.1 53 4.2 53 -5.0  31 24.8 6.4 3.8
5027019580511  8.2  0.7  0.009900 -1.0-99.9-99.9-99.9 8.4 88 4.8 84 -3.3   7  5.6 8.9 0.9
5027019580512 13.0  0.3  0.009900 -0.8-99.9-99.9-99.9 0.0  0 4.7 52 -3.6  26 20.8 2.4 2.8
5027019580513 17.5  9.3  0.009900  7.6-99.9-99.9-99.9 1.7 18 5.3 46 -1.9  18 14.4 3.6 3.2
5027019580514 16.5  8.8  0.009900  6.9-99.9-99.9-99.9 5.1 54 5.8 56 -0.7  32 25.6 6.1 4.5
5027019580515 11.4  4.6  0.009900  2.7-99.9-99.9-99.9 0.0  0 6.7 81  1.3   9  7.2 2.3 1.2
5027019580516 10.3  6.5  0.009900  6.3-99.9-99.9-99.9 3.4 36 6.2 79  0.2  40 32.0 4.7 3.4
5027019580517 10.5  3.4  0.009900  2.2-99.9-99.9-99.9 8.6 92 4.8 65 -3.3  27 21.6 8.5 2.8
5027019580518  7.1  1.3  0.009900 -0.7-99.9-99.9-99.9 1.1 12 5.2 82 -2.2  12  9.6 3.0 1.0
5027019580519  8.1  4.1  0.009900  3.4-99.9-99.9-99.9 1.2 13 5.7 85 -1.0  11  8.8 3.0 1.1
5027019580520  7.9  2.3  0.009900  0.1-99.9-99.9-99.9 2.3 25 4.4 66 -4.4  28 22.4 3.8 2.6
5027019580521  8.2  2.9  0.009900  1.2-99.9-99.9-99.9 1.8 20 5.3 74 -1.9  25 20.0 3.4 2.0
5027019580522 10.9  3.3  0.009900  3.1-99.9-99.9-99.9 3.9 43 4.5 59 -4.1  33 26.4 4.8 3.5
5027019580523  8.7  3.3  0.009900  4.1-99.9-99.9-99.9 6.4 70 4.4 63 -4.4  33 26.4 6.5 3.2
5027019580524 12.1  2.7  0.009900  1.9-99.9-99.9-99.9 5.4 59 4.2 53 -5.0  29 23.2 5.8 3.4
5027019580525  8.8  3.3  0.009900  1.2-99.9-99.9-99.9 8.2 91 4.9 69 -3.0  23 18.4 7.6 2.2
5027019580526 12.3  2.6  0.009900 -1.9-99.9-99.9-99.9 8.3 92 4.0 55 -5.7   6  4.8 7.6 1.4
