5057120001207-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5057120001208 10.4-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5057120010220 16.8  4.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5057120010221 16.0  4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5057120010222 14.5  8.0  0.009999-99.9-99.9-99.9-99.9 5.9 42-9.9-99-99.9 -99-99.913.7-9.9
5057120010223 13.5  3.0  0.009999-99.9-99.9-99.9-99.9 5.4 39-9.9-99-99.9 -99-99.913.0-9.9
5057120010224 16.8  2.0  0.419999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 5.9-9.9
5057120010225 20.3  6.0  0.009999-99.9-99.9-99.9-99.9 1.6 11-9.9-99-99.9 -99-99.9 7.8-9.9
5057120010226 20.3  6.4  0.009999-99.9-99.9-99.9-99.9 2.4 17-9.9-99-99.9 -99-99.9 8.8-9.9
5057120010227 15.8  3.0  0.009999-99.9-99.9-99.9-99.9 8.6 63-9.9-99-99.9 -99-99.916.7-9.9
5057120010228 15.8  1.0  0.009999-99.9-99.9-99.9-99.910.3 76-9.9-99-99.9 -99-99.918.7-9.9
5057120010301 16.8 -1.4  1.019999-99.9-99.9-99.9-99.9 7.4 55-9.9-99-99.9 -99-99.915.0-9.9
5057120010302 12.6  3.5  0.009999-99.9-99.9-99.9-99.9 9.4 70-9.9-99-99.9 -99-99.917.3-9.9
5057120010303 16.4 -1.8  0.009999-99.9-99.9-99.9-99.9 7.1 53-9.9-99-99.9 -99-99.914.3-9.9
5057120010304 12.3  3.6  2.519999-99.9-99.9-99.9-99.9 7.8 59-9.9-99-99.9 -99-99.915.1-9.9
5057120010305 10.4  4.0  0.009999-99.9-99.9-99.9-99.9 6.9 52-9.9-99-99.9 -99-99.913.8-9.9
5057120010306 13.8  0.0  0.009999-99.9-99.9-99.9-99.9 4.8 36-9.9-99-99.9 -99-99.911.1-9.9
5057120010307 15.8  8.5  0.009999-99.9-99.9-99.9-99.9 8.0 61-9.9-99-99.9 -99-99.914.9-9.9
5057120010308 14.8  1.0  0.009999-99.9-99.9-99.9-99.911.3 87-9.9-99-99.9 -99-99.918.9-9.9
5057120010309 10.4  0.0  0.009999-99.9-99.9-99.9-99.911.2 87-9.9-99-99.9 -99-99.918.6-9.9
5057120010310 10.8  0.6  0.009999-99.9-99.9-99.9-99.910.9 85-9.9-99-99.9 -99-99.918.1-9.9
5057120010311 12.3 -4.0  0.009999-99.9-99.9-99.9-99.911.3 89-9.9-99-99.9 -99-99.918.5-9.9
5057120010312 12.8 -3.4  0.009999-99.9-99.9-99.9-99.910.2 80-9.9-99-99.9 -99-99.916.9-9.9
5057120010313 19.3 -1.0  0.009999-99.9-99.9-99.9-99.9 9.9 78-9.9-99-99.9 -99-99.916.4-9.9
5057120010314 11.3  4.0  0.009999-99.9-99.9-99.9-99.9 8.1 64-9.9-99-99.9 -99-99.914.2-9.9
5057120010315 16.8  2.0  0.009999-99.9-99.9-99.9-99.9 7.5 60-9.9-99-99.9 -99-99.913.4-9.9
5057120010316 17.3  8.0  0.009999-99.9-99.9-99.9-99.9 4.7 37-9.9-99-99.9 -99-99.9 9.9-9.9
5057120010317 10.8  3.0  0.419999-99.9-99.9-99.9-99.910.3 83-9.9-99-99.9 -99-99.916.3-9.9
5057120010318 10.8  1.8  0.009999-99.9-99.9-99.9-99.9 8.7 71-9.9-99-99.9 -99-99.914.4-9.9
5057120010319 12.3  2.0  0.009999-99.9-99.9-99.9-99.9 9.8 80-9.9-99-99.9 -99-99.915.4-9.9
5057120010320 12.3 -4.0  0.009999-99.9-99.9-99.9-99.910.6 87-9.9-99-99.9 -99-99.916.2-9.9
5057120010321 13.8 -1.5  0.009999-99.9-99.9-99.9-99.9 9.9 82-9.9-99-99.9 -99-99.915.3-9.9
5057120010322 14.8  1.5  0.009999-99.9-99.9-99.9-99.9 7.3 60-9.9-99-99.9 -99-99.912.2-9.9
5057120010323 17.3  0.0  0.009999-99.9-99.9-99.9-99.9 6.7 56-9.9-99-99.9 -99-99.911.5-9.9
5057120010324 19.4  5.0  0.009999-99.9-99.9-99.9-99.910.1 85-9.9-99-99.9 -99-99.915.1-9.9
5057120010325 17.3  9.5  0.009999-99.9-99.9-99.9-99.9 4.1 34-9.9-99-99.9 -99-99.9 8.4-9.9
5057120010326 16.8  0.8  0.009999-99.9-99.9-99.9-99.9 4.8 40-9.9-99-99.9 -99-99.9 9.0-9.9
5057120010327 16.3  2.0  0.009999-99.9-99.9-99.9-99.910.0 85-9.9-99-99.9 -99-99.914.4-9.9
5057120010328 18.6  6.0  0.009999-99.9-99.9-99.9-99.9 6.2 53-9.9-99-99.9 -99-99.910.3-9.9
5057120010329 19.8  4.0  0.009999-99.9-99.9-99.9-99.9 8.9 77-9.9-99-99.9 -99-99.913.1-9.9
5057120010330 18.8  1.2  0.009999-99.9-99.9-99.9-99.9 7.1 61-9.9-99-99.9 -99-99.911.0-9.9
5057120010331 15.3  5.0  3.519999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.8-9.9
5057120010401  6.8  0.8  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.7-9.9
5057120010402  8.8 -2.0  0.009999-99.9-99.9-99.9-99.9 6.1 53-9.9-99-99.9 -99-99.9 9.6-9.9
5057120010403 11.0 -2.4  0.009999-99.9-99.9-99.9-99.9 2.6 23-9.9-99-99.9 -99-99.9 6.1-9.9
5057120010404 14.8  2.0  0.009999-99.9-99.9-99.9-99.9 8.3 74-9.9-99-99.9 -99-99.911.6-9.9
5057120010405 18.3  3.4  0.009999-99.9-99.9-99.9-99.9 7.0 62-9.9-99-99.9 -99-99.910.1-9.9
5057120010406 19.4 10.2  0.009999-99.9-99.9-99.9-99.9 6.4 57-9.9-99-99.9 -99-99.9 9.4-9.9
5057120010407 17.3  3.0  0.009999-99.9-99.9-99.9-99.9 7.9 71-9.9-99-99.9 -99-99.910.7-9.9
5057120010408 20.3  2.0  0.009999-99.9-99.9-99.9-99.9 6.7 61-9.9-99-99.9 -99-99.9 9.5-9.9
5057120010409 17.8  3.4  0.009999-99.9-99.9-99.9-99.9 9.3 85-9.9-99-99.9 -99-99.911.8-9.9
5057120010410  9.8 -1.0  0.009999-99.9-99.9-99.9-99.9 8.2 75-9.9-99-99.9 -99-99.910.6-9.9
5057120010411 11.8  3.2  0.009999-99.9-99.9-99.9-99.9 2.0 18-9.9-99-99.9 -99-99.9 4.9-9.9
5057120010412 16.6  5.5  0.009999-99.9-99.9-99.9-99.9 8.9 83-9.9-99-99.9 -99-99.911.0-9.9
5057120010413 14.3  5.0  0.009999-99.9-99.9-99.9-99.9 9.0 84-9.9-99-99.9 -99-99.911.0-9.9
5057120010414 11.4 -0.4  0.009999-99.9-99.9-99.9-99.9 2.8 26-9.9-99-99.9 -99-99.9 5.4-9.9
5057120010415 15.8  4.0  0.009999-99.9-99.9-99.9-99.9 1.7 16-9.9-99-99.9 -99-99.9 4.4-9.9
5057120010416 16.3  2.2  0.009999-99.9-99.9-99.9-99.9 4.4 42-9.9-99-99.9 -99-99.9 6.7-9.9
5057120010417 13.8 -1.2  0.009999-99.9-99.9-99.9-99.9 6.0 57-9.9-99-99.9 -99-99.9 7.9-9.9
5057120010418 11.3 -4.0  0.009999-99.9-99.9-99.9-99.9 6.7 64-9.9-99-99.9 -99-99.9 8.3-9.9
5057120010419 15.8 -0.2  0.219999-99.9-99.9-99.9-99.9 6.2 60-9.9-99-99.9 -99-99.9 7.9-9.9
5057120010420 15.3  0.2  0.009999-99.9-99.9-99.9-99.9 8.5 83-9.9-99-99.9 -99-99.9 9.6-9.9
5057120010421 12.3 -2.2  0.009999-99.9-99.9-99.9-99.9 4.5 44-9.9-99-99.9 -99-99.9 6.3-9.9
5057120010422 10.8  1.2  0.009999-99.9-99.9-99.9-99.9 5.1 50-9.9-99-99.9 -99-99.9 6.7-9.9
5057120010423 12.3  4.4  0.009999-99.9-99.9-99.9-99.9 7.8 77-9.9-99-99.9 -99-99.9 8.7-9.9
5057120010424 14.8  5.0  0.819999-99.9-99.9-99.9-99.9 6.6 66-9.9-99-99.9 -99-99.9 7.7-9.9
5057120010425  8.8 -2.0  1.019999-99.9-99.9-99.9-99.9 6.6 66-9.9-99-99.9 -99-99.9 7.5-9.9
5057120010426  6.6  0.0  0.009999-99.9-99.9-99.9-99.9 3.5 35-9.9-99-99.9 -99-99.9 5.1-9.9
5057120010427  9.3 -0.4  0.009999-99.9-99.9-99.9-99.9 7.5 76-9.9-99-99.9 -99-99.9 8.0-9.9
5057120010428 13.8 -5.0  0.009999-99.9-99.9-99.9-99.9 0.9  9-9.9-99-99.9 -99-99.9 3.0-9.9
5057120010429 17.8  6.4  0.009999-99.9-99.9-99.9-99.9 1.8 18-9.9-99-99.9 -99-99.9 3.6-9.9
5057120010430 15.8  6.0  0.009999-99.9-99.9-99.9-99.9 7.4 76-9.9-99-99.9 -99-99.9 7.6-9.9
5057120010501  8.3 -5.4  0.009999-99.9-99.9-99.9-99.9 5.6 58-9.9-99-99.9 -99-99.9 6.2-9.9
5057120010502  7.8 -7.6  0.009999-99.9-99.9-99.9-99.9 8.4 88-9.9-99-99.9 -99-99.9 8.2-9.9
5057120010503 17.3 -6.0  0.009999-99.9-99.9-99.9-99.9 1.3 13-9.9-99-99.9 -99-99.9 3.0-9.9
5057120010504 17.0  9.0  0.009999-99.9-99.9-99.9-99.9 1.3 13-9.9-99-99.9 -99-99.9 3.0-9.9
5057120010505 11.8  0.8  0.009999-99.9-99.9-99.9-99.9 6.0 64-9.9-99-99.9 -99-99.9 6.2-9.9
5057120010506  9.3  0.0  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.1-9.9
5057120010507  8.8 -5.0  0.009999-99.9-99.9-99.9-99.9 0.5  5-9.9-99-99.9 -99-99.9 2.3-9.9
5057120010508  7.8  4.0  0.009999-99.9-99.9-99.9-99.9 0.1  1-9.9-99-99.9 -99-99.9 2.1-9.9
5057120010509  8.8 -4.8  0.009999-99.9-99.9-99.9-99.9 5.9 64-9.9-99-99.9 -99-99.9 5.8-9.9
5057120010510  7.8 -7.8  0.009999-99.9-99.9-99.9-99.9 8.2 89-9.9-99-99.9 -99-99.9 7.2-9.9
5057120010511  5.8 -8.2  0.009999-99.9-99.9-99.9-99.9 6.3 69-9.9-99-99.9 -99-99.9 5.9-9.9
5057120010512  5.3 -9.0  0.009999-99.9-99.9-99.9-99.9 5.4 59-9.9-99-99.9 -99-99.9 5.2-9.9
5057120010513  4.8 -8.5  0.009999-99.9-99.9-99.9-99.9 7.9 88-9.9-99-99.9 -99-99.9 6.8-9.9
5057120010514  3.4 -5.0  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.8-9.9
5057120010515  4.8  0.5  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.8-9.9
5057120010516  3.8 -2.0  0.009999-99.9-99.9-99.9-99.9 0.5  5-9.9-99-99.9 -99-99.9 2.0-9.9
5057120010517  7.3 -6.0  0.009999-99.9-99.9-99.9-99.9 2.3 26-9.9-99-99.9 -99-99.9 3.1-9.9
5057120010518  9.3 -4.5  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.7-9.9
5057120010519  8.3  2.5  0.009999-99.9-99.9-99.9-99.9 5.3 60-9.9-99-99.9 -99-99.9 4.7-9.9
5057120010520  9.4 -4.6  0.009999-99.9-99.9-99.9-99.9 2.0 23-9.9-99-99.9 -99-99.9 2.8-9.9
5057120010521  7.8 -2.4  0.009999-99.9-99.9-99.9-99.9 6.2 71-9.9-99-99.9 -99-99.9 5.1-9.9
5057120010522  6.4 -4.8  0.009999-99.9-99.9-99.9-99.9 0.8  9-9.9-99-99.9 -99-99.9 2.0-9.9
5057120010523  6.3 -4.0  1.019999-99.9-99.9-99.9-99.9 0.5  5-9.9-99-99.9 -99-99.9 1.8-9.9
5057120010524  5.3 -4.0  4.019999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.5-9.9
5057120010525  4.8 -2.0  0.009999-99.9-99.9-99.9-99.9 5.3 62-9.9-99-99.9 -99-99.9 4.4-9.9
5057120010526  4.8 -4.8  0.009999-99.9-99.9-99.9-99.9 6.9 81-9.9-99-99.9 -99-99.9 5.2-9.9
5057120010527  3.8-10.0  0.009999-99.9-99.9-99.9-99.9 6.6 78-9.9-99-99.9 -99-99.9 5.0-9.9
5057120010528  1.8-10.0  0.009999-99.9-99.9-99.9-99.9 1.8 21-9.9-99-99.9 -99-99.9 2.4-9.9
5057120010529  5.3 -8.2  0.009999-99.9-99.9-99.9-99.9 5.4 64-9.9-99-99.9 -99-99.9 4.3-9.9
5057120010530  4.3 -8.0  0.009999-99.9-99.9-99.9-99.9 8.1 97-9.9-99-99.9 -99-99.9 5.7-9.9
5057120010531  8.4 -6.2  0.009999-99.9-99.9-99.9-99.9 6.2 74-9.9-99-99.9 -99-99.9 4.6-9.9
5057120010601  8.4 -1.2  0.009999-99.9-99.9-99.9-99.9 3.4 41-9.9-99-99.9 -99-99.9 3.2-9.9
5057120010602  2.3 -2.8  2.019999-99.9-99.9-99.9-99.9 1.4 17-9.9-99-99.9 -99-99.9 2.1-9.9
5057120010603  3.3 -5.5  1.019999-99.9-99.9-99.9-99.9 5.9 71-9.9-99-99.9 -99-99.9 4.3-9.9
5057120010604  3.3 -8.0  0.009999-99.9-99.9-99.9-99.9 5.1 62-9.9-99-99.9 -99-99.9 3.9-9.9
5057120010605 -2.2-13.5  0.009999-99.9-99.9-99.9-99.9 1.0 12-9.9-99-99.9 -99-99.9 1.8-9.9
5057120010606 -1.2-10.0  0.009999-99.9-99.9-99.9-99.9 2.7 33-9.9-99-99.9 -99-99.9 2.7-9.9
5057120010607  4.8 -6.8  0.009999-99.9-99.9-99.9-99.9 4.6 56-9.9-99-99.9 -99-99.9 3.6-9.9
5057120010608  6.3 -7.8  1.019999-99.9-99.9-99.9-99.9 6.8 84-9.9-99-99.9 -99-99.9 4.7-9.9
5057120010609  5.3 -7.0  0.009999-99.9-99.9-99.9-99.9 6.0 74-9.9-99-99.9 -99-99.9 4.2-9.9
5057120010610  5.3 -2.4  0.009999-99.9-99.9-99.9-99.9 2.1 26-9.9-99-99.9 -99-99.9 2.3-9.9
5057120010611  3.8 -4.8  1.519999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.3-9.9
5057120010612  2.3 -2.2  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.3-9.9
5057120010613  1.3 -1.8  0.319999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.3-9.9
5057120010614  3.3 -2.0  0.009999-99.9-99.9-99.9-99.9 0.2  2-9.9-99-99.9 -99-99.9 1.3-9.9
5057120010615  2.3 -2.5  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.3-9.9
5057120010616  0.8 -0.8  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.3-9.9
5057120010617 -0.5 -2.4  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.3-9.9
5057120010618 10.3 -3.2  0.009999-99.9-99.9-99.9-99.9 7.8 97-9.9-99-99.9 -99-99.9 5.0-9.9
5057120010619  9.3 -1.0  0.009999-99.9-99.9-99.9-99.9 6.6 82-9.9-99-99.9 -99-99.9 4.4-9.9
5057120010620  5.0 -4.6  0.009999-99.9-99.9-99.9-99.9 5.4 67-9.9-99-99.9 -99-99.9 3.8-9.9
5057120010621  6.3 -5.0  0.009999-99.9-99.9-99.9-99.9 6.6 82-9.9-99-99.9 -99-99.9 4.4-9.9
5057120010622  3.3 -8.2  0.009999-99.9-99.9-99.9-99.9 4.5 56-9.9-99-99.9 -99-99.9 3.4-9.9
5057120010623  1.8 -8.6  0.009999-99.9-99.9-99.9-99.9 1.4 17-9.9-99-99.9 -99-99.9 1.9-9.9
