5029320170726-99.9  2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 75-99.9  11  8.8-9.9-9.9
5029320170727-99.9  0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 67-99.9   6  4.8-9.9-9.9
5029320170731-99.9  5.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 49-99.9   7  5.6-9.9-9.9
5029320170801-99.9  5.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 45-99.9  28 22.4-9.9-9.9
5029320170802-99.9  1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 62-99.9  16 12.8-9.9-9.9
5029320170803-99.9  1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 61-99.9  27 21.6-9.9-9.9
5029320170807-99.9  0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 95-99.9   4  3.2-9.9-9.9
5029320170808-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 82-99.9   8  6.4-9.9-9.9
5029320170809-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 73-99.9   8  6.4-9.9-9.9
5029320170810-99.9  1.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 45-99.9  23 18.4-9.9-9.9
5029320170814-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 73-99.9  32 25.6-9.9-9.9
5029320170817-99.9 -1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 75-99.9   5  4.0-9.9-9.9
5029320170822-99.9  2.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 65-99.9  33 26.4-9.9-9.9
5029320170823-99.9 -6.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 67-99.9  15 12.0-9.9-9.9
5029320170828-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 48-99.9  20 16.0-9.9-9.9
5029320170829-99.9  2.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 57-99.9  17 13.6-9.9-9.9
5029320170830-99.9  2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 51-99.9  14 11.2-9.9-9.9
5029320170831-99.9  1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 47-99.9  14 11.2-9.9-9.9
5029320170904-99.9  1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 49-99.9  18 14.4-9.9-9.9
5029320170905-99.9  2.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 70-99.9  26 20.8-9.9-9.9
5029320170906-99.9 -2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 48-99.9  14 11.2-9.9-9.9
5029320170907-99.9  2.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 74-99.9   7  5.6-9.9-9.9
5029320170911-99.9  3.7  2.019999-99.9-99.9-99.9-99.9-9.9 99-9.9 46-99.9  41 32.8-9.9-9.9
5029320170912-99.9  4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 67-99.9  34 27.2-9.9-9.9
5029320170913-99.9 -1.5  4.019999-99.9-99.9-99.9-99.9-9.9 99-9.9 65-99.9  14 11.2-9.9-9.9
5029320170914-99.9 -0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 68-99.9  38 30.4-9.9-9.9
5029320170918-99.9  2.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 93-99.9   9  7.2-9.9-9.9
5029320170919-99.9  0.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 92-99.9   6  4.8-9.9-9.9
5029320170920-99.9 -0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 48-99.9  19 15.2-9.9-9.9
5029320170921-99.9  3.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 54-99.9  36 28.8-9.9-9.9
5029320170926-99.9  1.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 48-99.9  21 16.8-9.9-9.9
5029320170927-99.9  3.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 51-99.9  31 24.8-9.9-9.9
5029320170928-99.9  6.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 49-99.9  16 12.8-9.9-9.9
5029320171002-99.9 -4.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 57-99.9  30 24.0-9.9-9.9
5029320171003-99.9  0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 44-99.9  33 26.4-9.9-9.9
5029320171004-99.9 -2.2  1.019999-99.9-99.9-99.9-99.9-9.9 99-9.9 50-99.9  12  9.6-9.9-9.9
5029320171005-99.9  1.2  1.019999-99.9-99.9-99.9-99.9-9.9 99-9.9 75-99.9  35 28.0-9.9-9.9
5029320171009-99.9  0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 65-99.9  25 20.0-9.9-9.9
5029320171010-99.9 -0.6  0.319999-99.9-99.9-99.9-99.9-9.9 99-9.9 62-99.9  28 22.4-9.9-9.9
5029320171011-99.9  3.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 43-99.9  38 30.4-9.9-9.9
5029320171012-99.9  5.8  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 43-99.9  31 24.8-9.9-9.9
