5026619590406  9.5  4.0  0.009900-99.9-99.9-99.9-99.9 2.6 23 3.5 48 -7.4  28 22.4 6.9 3.9
5026619590407 14.0 -0.5  0.519900-99.9-99.9-99.9-99.9 7.4 66 3.5 44 -7.4  24 19.212.0 3.3
5026619590408 18.5  9.0  0.009900-99.9-99.9-99.9-99.9 5.8 52 8.0 72  3.8  11  8.810.2 2.2
5026619590409 15.8  9.5  0.009900-99.9-99.9-99.9-99.9 7.6 68 7.8 76  3.4  15 12.012.0 2.4
5026619590410 21.5  8.0  0.009900-99.9-99.9-99.9-99.9 4.0 36 6.0 47 -0.2  19 15.2 8.1 3.7
5026619590411 19.0 11.0  0.009900-99.9-99.9-99.9-99.9 5.3 48 4.4 37 -4.4  25 20.0 9.3 5.0
5026619590412 13.8  4.0  0.009900-99.9-99.9-99.9-99.9 8.5 77 4.2 49 -5.0  20 16.012.6 2.9
5026619590413 10.8  3.0  0.009900-99.9-99.9-99.9-99.9 9.1 83 4.8 63 -3.3   9  7.213.0 1.5
5026619590414 11.0  1.0  0.009900-99.9-99.9-99.9-99.9 9.5 87 5.1 64 -2.5  11  8.813.3 1.4
5026619590415 18.0  2.0  0.009900-99.9-99.9-99.9-99.9 2.9 27 6.5 59  0.9  33 26.4 6.5 3.6
5026619590416 19.6  9.5  0.009900-99.9-99.9-99.9-99.9 0.7  6 7.4 64  2.7   4  3.2 4.2 1.7
5026619590417 17.8 11.4  0.009900-99.9-99.9-99.9-99.9 0.0  0 6.3 51  0.4  28 22.4 3.5 4.8
5026619590418 17.8  9.5  0.009900-99.9-99.9-99.9-99.9 7.1 67 4.4 42 -4.4  25 20.010.4 4.5
5026619590419 14.5  5.2  0.009900-99.9-99.9-99.9-99.9 6.6 62 3.8 42 -6.4  28 22.4 9.8 4.2
5026619590420 12.8  6.0  3.119900-99.9-99.9-99.9-99.9 7.4 70 4.8 56 -3.3  41 32.810.5 4.8
5026619590421  8.5  3.2  0.009910-99.9-99.9-99.9-99.9 0.0  0 5.0 73 -2.7  25 20.0 3.3 2.5
