5044119681130 34.5  8.1  0.009900-99.9-99.9-99.9-99.9 7.5 5112.8 46 10.6  30 24.020.5 7.5
5044119681201 34.6 10.1  0.009900-99.9-99.9-99.9-99.9 7.0 4812.8 37 10.6  35 28.019.7 8.4
5044119681202 33.1 11.4  3.019900-99.9-99.9-99.9-99.9 6.7 4615.9 47 13.9  21 16.819.2 6.0
5044119681203 36.6 17.2  0.009900-99.9-99.9-99.9-99.9 6.2 4219.8 65 17.3  35 28.018.4 8.3
5044119681204 23.1 14.7  0.009900-99.9-99.9-99.9-99.9 5.7 3918.1 80 15.9  15 12.017.6 3.8
5044119681205 20.4  9.9  0.009900-99.9-99.9-99.9-99.9 6.4 4412.9 66 10.7  46 36.818.8 5.4
5044119681206 29.1  4.1  4.019900-99.9-99.9-99.9-99.9 6.2 4216.4 55 14.4  15 12.018.5 3.5
5044119681207 27.7 14.9  4.719900-99.9-99.9-99.9-99.9 1.5 1018.9 80 16.6  22 17.610.6 3.8
5044119681208 26.1 12.5  0.009900-99.9-99.9-99.9-99.9 6.6 4515.2 61 13.2  37 29.619.2 6.2
5044119681209 31.7 12.6 10.819900-99.9-99.9-99.9-99.9 4.4 3015.2 50 13.2  69 55.215.510.5
5044119681210 25.4 14.9  0.009900-99.9-99.9-99.9-99.9 3.3 2215.9 77 13.9  22 17.613.7 4.6
5044119681211 31.4 12.5 23.519900-99.9-99.9-99.9-99.9 4.0 2722.8 87 19.6  19 15.214.9 3.6
5044119681212 21.1 14.6  0.009900-99.9-99.9-99.9-99.9 5.1 3512.4 62 10.1  25 20.016.7 5.3
5044119681213 27.2  7.6  0.009900-99.9-99.9-99.9-99.9 7.0 4713.4 51 11.3  20 16.019.9 4.9
5044119681214 24.7 10.3 24.519900-99.9-99.9-99.9-99.9 2.5 1721.5 94 18.7  25 20.012.4 2.2
5044119681215 21.4 13.2  6.019900-99.9-99.9-99.9-99.9 5.7 3915.3 84 13.3  62 49.617.8 6.1
5044119681216 17.4 10.5  0.009900-99.9-99.9-99.9-99.9 4.6 3112.6 78 10.4  31 24.815.9 3.9
5044119681217 27.3  7.6  0.009900-99.9-99.9-99.9-99.9 7.3 4915.2 58 13.2  22 17.620.5 4.6
5044119681218 25.1 14.9  0.009900-99.9-99.9-99.9-99.9 0.0  018.3 79 16.1  23 18.4 8.2 3.1
5044119681219 28.6 13.0  6.919900-99.9-99.9-99.9-99.9 2.8 1920.7 82 18.1  31 24.812.9 3.8
5044119681220 25.3 14.1  0.009900-99.9-99.9-99.9-99.9 6.3 4315.3 75 13.3  41 32.818.8 6.7
5044119681221 24.3  7.8  0.009900-99.9-99.9-99.9-99.9 6.3 4311.7 57  9.3  39 31.218.8 6.1
5044119681222 28.0  9.3 18.219900-99.9-99.9-99.9-99.9 5.7 3916.1 73 14.1  31 24.817.8 5.0
5044119681223 17.8  9.9  0.009900-99.9-99.9-99.9-99.9 6.0 4113.2 76 11.1  30 24.018.3 3.8
5044119681224 23.2  6.1  0.009900-99.9-99.9-99.9-99.9 7.6 5111.8 54  9.4  30 24.021.0 5.1
5044119681225 30.1 13.9  0.009900-99.9-99.9-99.9-99.9 7.1 4814.6 50 12.6  40 32.020.1 8.3
5044119681226 28.1 15.1  4.819900-99.9-99.9-99.9-99.9 3.4 2316.9 66 14.9  12  9.613.9 4.1
5044119681227 19.9 12.3  0.009900-99.9-99.9-99.9-99.9 7.3 4915.9 88 13.9  26 20.820.5 4.0
5044119681228 28.7  7.0 44.619900-99.9-99.9-99.9-99.9 3.4 2315.5 80 13.5  19 15.213.9 3.7
5044119681229 26.9 16.1  1.919900-99.9-99.9-99.9-99.9 1.7 1220.6 84 18.0  22 17.611.0 3.5
5044119681230 23.0 16.2  0.219900-99.9-99.9-99.9-99.9 0.0  020.3 92 17.7  27 21.6 8.1 2.5
5044119681231 22.1 13.4  8.019900-99.9-99.9-99.9-99.9 3.0 2017.2 87 15.1   9  7.213.2 2.8
5044119690101 19.6 11.6  0.009900-99.9-99.9-99.9-99.9 4.5 3114.7 78 12.7  19 15.215.7 3.3
5044119690102 28.5  7.9  0.009900-99.9-99.9-99.9-99.9 6.5 4414.6 59 12.6  38 30.419.1 5.9
5044119690103 29.6 16.2  0.009900-99.9-99.9-99.9-99.9 7.0 4814.3 54 12.3  52 41.619.910.2
5044119690104 29.6 10.4  0.009900-99.9-99.9-99.9-99.9 5.0 3415.4 64 13.4  33 26.416.5 5.9
5044119690105 26.1 10.0  0.009900-99.9-99.9-99.9-99.9 4.0 2714.1 65 12.1  38 30.414.8 5.5
5044119690106 24.4 10.9  0.009900-99.9-99.9-99.9-99.9 8.0 5514.6 62 12.6  41 32.821.5 6.1
5044119690107 20.7  7.9  0.009900-99.9-99.9-99.9-99.9 6.0 4112.8 66 10.6  25 20.018.1 3.9
5044119690108 26.1  8.4  1.519900-99.9-99.9-99.9-99.9 4.7 3213.8 71 11.8  77 61.615.9 7.8
5044119690109 18.0  4.9 15.519900-99.9-99.9-99.9-99.9 3.6 2511.9 81  9.5  44 35.214.1 3.1
5044119690110 16.5  6.9  0.419900-99.9-99.9-99.9-99.9 4.5 3112.0 77  9.7  36 28.815.6 3.1
5044119690111 30.2  8.4  0.009900-99.9-99.9-99.9-99.9 6.0 4113.9 60 11.9  56 44.818.1 8.2
5044119690112 34.9  6.4  0.009900-99.9-99.9-99.9-99.9 6.8 4714.5 49 12.5  19 15.219.4 5.5
5044119690113 35.4 17.7  0.009900-99.9-99.9-99.9-99.9 7.0 4817.7 59 15.6  41 32.819.7 9.7
5044119690114 21.4 13.5  0.009900-99.9-99.9-99.9-99.9 5.8 4015.4 81 13.4  25 20.017.7 4.3
5044119690115 24.1  5.7  0.009900-99.9-99.9-99.9-99.9 7.6 5213.9 66 11.9  27 21.620.6 4.1
5044119690116 30.1  7.4  0.009900-99.9-99.9-99.9-99.9 7.3 5015.9 63 13.9  28 22.420.1 5.2
5044119690117 28.1 16.3  6.719900-99.9-99.9-99.9-99.9 0.0  020.7 84 18.1  16 12.8 7.9 2.9
5044119690118 25.1 14.9  0.009900-99.9-99.9-99.9-99.9 6.4 4419.1 80 16.8   8  6.418.5 3.7
5044119690119 29.1 12.4  0.009900-99.9-99.9-99.9-99.9 6.0 4222.5 81 19.4  24 19.217.8 3.7
5044119690120 32.0 11.4  0.009900-99.9-99.9-99.9-99.9 3.3 2319.8 59 17.3  20 16.013.3 4.0
5044119690121 33.6 19.0  0.009900-99.9-99.9-99.9-99.9 7.4 5218.4 62 16.2  28 22.420.1 7.8
5044119690122 36.7 11.4  1.419900-99.9-99.9-99.9-99.9 5.6 3918.3 56 16.1  25 20.017.1 6.1
5044119690123 24.1 16.4  0.319900-99.9-99.9-99.9-99.9 4.0 2818.1 77 15.9  35 28.014.4 4.8
5044119690124 24.1  8.9  0.009900-99.9-99.9-99.9-99.9 6.1 4316.4 76 14.4  11  8.817.8 3.2
