5046519610806 16.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.3 35 -4.7   6  4.8-9.9-9.9
5046519610807 16.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.3 48 -1.9   6  4.8-9.9-9.9
5046519610808 12.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.8 61 -0.7   2  1.6-9.9-9.9
5046519610809 15.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.8 60 -0.7   7  5.6-9.9-9.9
5046519610810 18.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.9 53 -0.5  11  8.8-9.9-9.9
5046519610811 17.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.1 32 -5.4  15 12.0-9.9-9.9
5046519610812 11.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.4 37 -7.8   8  6.4-9.9-9.9
5046519610813 19.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.0 27 -9.4   6  4.8-9.9-9.9
5046519610814 20.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.7 28 -6.7  16 12.8-9.9-9.9
5046519610815 18.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.8 31 -3.3   9  7.2-9.9-9.9
5046519610816 20.4-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.7 32 -3.6   6  4.8-9.9-9.9
5046519610817 24.3-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.0 32 -5.7  11  8.8-9.9-9.9
5046519610818 20.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.4 24 -7.8   7  5.6-9.9-9.9
5046519610819 20.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.0 31 -9.4  16 12.8-9.9-9.9
5046519610820 22.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.3 32 -1.9  11  8.8-9.9-9.9
5046519610821 20.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.2 26 -5.0   9  7.2-9.9-9.9
5046519610822 14.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.6 37 -3.8  15 12.0-9.9-9.9
5046519610823 15.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 3.6 37 -7.1  13 10.4-9.9-9.9
5046519610824  8.0-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 2.9 37 -9.8   9  7.2-9.9-9.9
5046519610825 11.0-99.9  0.009901-99.9-99.9-99.9-99.9-9.9 99 3.9 49 -6.0  30 24.0-9.9-9.9
5046519610826  4.0-99.9  0.009901-99.9-99.9-99.9-99.9-9.9 99 5.6 85 -1.2   1  0.8-9.9-9.9
5046519610827  6.5-99.9  0.009901-99.9-99.9-99.9-99.9-9.9 99 4.3 55 -4.7  15 12.0-9.9-9.9
5046519610828  6.5-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.1 57 -5.4  15 12.0-9.9-9.9
5046519610829  7.5-99.9  0.009901-99.9-99.9-99.9-99.9-9.9 99 3.8 51 -6.4  11  8.8-9.9-9.9
5046519610830  5.0-99.9  0.009901-99.9-99.9-99.9-99.9-9.9 99 4.9 66 -3.0  11  8.8-9.9-9.9
