5055119890723 13.6  8.2  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.4-9.9
5055119890724 15.6  2.9  0.009999-99.9-99.9-99.9-99.9 9.3 90-9.9-99-99.9 -99-99.912.7-9.9
5055119890725 12.6 -0.8  0.009999-99.9-99.9-99.9-99.9 2.5 24-9.9-99-99.9 -99-99.9 5.9-9.9
5055119890726 16.1  1.1  8.019999-99.9-99.9-99.9-99.9 8.0 77-9.9-99-99.9 -99-99.911.6-9.9
5055119890727 14.4  6.7  6.019999-99.9-99.9-99.9-99.9 6.3 61-9.9-99-99.9 -99-99.910.0-9.9
5055119890728 14.2  0.8  0.009999-99.9-99.9-99.9-99.9 3.5 33-9.9-99-99.9 -99-99.9 7.0-9.9
5055119890729 13.6  5.4  0.009999-99.9-99.9-99.9-99.9 0.7  6-9.9-99-99.9 -99-99.9 4.2-9.9
5055119890730 13.8  2.2  0.009999-99.9-99.9-99.9-99.9 8.0 76-9.9-99-99.9 -99-99.911.8-9.9
5055119890731 18.8  0.6  0.009999-99.9-99.9-99.9-99.9 6.8 65-9.9-99-99.9 -99-99.910.7-9.9
5055119890801 21.6  4.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5055119890802 23.0  3.9  0.009999-99.9-99.9-99.9-99.9 7.0 66-9.9-99-99.9 -99-99.911.0-9.9
5055119890803 22.8 12.0  6.019999-99.9-99.9-99.9-99.9 3.6 34-9.9-99-99.9 -99-99.9 7.5-9.9
5055119890804 17.5  6.1  0.009999-99.9-99.9-99.9-99.9 9.3 88-9.9-99-99.9 -99-99.913.7-9.9
5055119890805 22.1  2.0  0.009999-99.9-99.9-99.9-99.9 9.0 85-9.9-99-99.9 -99-99.913.4-9.9
5055119890806 21.1  3.1  0.009999-99.9-99.9-99.9-99.9 9.0 85-9.9-99-99.9 -99-99.913.6-9.9
5055119890807 20.1  3.6  0.009999-99.9-99.9-99.9-99.9 4.0 37-9.9-99-99.9 -99-99.9 8.1-9.9
5055119890808 15.1  7.6  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.8-9.9
5055119890809 14.1  9.7  0.009999-99.9-99.9-99.9-99.9 0.1  0-9.9-99-99.9 -99-99.9 3.9-9.9
5055119890810 17.0  9.7  0.009999-99.9-99.9-99.9-99.9 1.0  9-9.9-99-99.9 -99-99.9 5.0-9.9
5055119890811 19.1  9.0  0.009999-99.9-99.9-99.9-99.9 1.0  9-9.9-99-99.9 -99-99.9 5.0-9.9
5055119890812 21.0  8.4  0.009999-99.9-99.9-99.9-99.9 2.5 23-9.9-99-99.9 -99-99.9 6.8-9.9
5055119890813 20.9  5.4  0.009999-99.9-99.9-99.9-99.9 4.5 41-9.9-99-99.9 -99-99.9 9.0-9.9
5055119890814 24.8  6.7  0.009999-99.9-99.9-99.9-99.9 9.1 84-9.9-99-99.9 -99-99.914.4-9.9
5055119890815 26.1  6.9  0.009999-99.9-99.9-99.9-99.9 8.5 78-9.9-99-99.9 -99-99.913.8-9.9
5055119890816 23.1  9.3  0.009999-99.9-99.9-99.9-99.9 7.5 69-9.9-99-99.9 -99-99.912.8-9.9
5055119890817 20.1  3.1  0.009999-99.9-99.9-99.9-99.9 6.5 59-9.9-99-99.9 -99-99.911.6-9.9
5055119890818 23.6  8.0  0.009999-99.9-99.9-99.9-99.9 7.0 64-9.9-99-99.9 -99-99.912.4-9.9
5055119890819 16.8  9.2  0.009999-99.9-99.9-99.9-99.9 1.0  9-9.9-99-99.9 -99-99.9 5.4-9.9
5055119890820 11.8  5.1 11.819999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 4.3-9.9
5055119890821  9.4  5.8  1.319999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 4.3-9.9
5055119890822  9.6  2.8  0.219999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 4.3-9.9
5055119890823 17.6  2.6  0.519999-99.9-99.9-99.9-99.9 5.5 49-9.9-99-99.9 -99-99.911.0-9.9
5055119890824 19.1  5.7  0.009999-99.9-99.9-99.9-99.9 9.0 81-9.9-99-99.9 -99-99.915.4-9.9
5055119890825 18.1  1.7  0.009999-99.9-99.9-99.9-99.9 7.5 67-9.9-99-99.9 -99-99.913.6-9.9
5055119890826 16.6  4.0  0.009999-99.9-99.9-99.9-99.9 4.0 35-9.9-99-99.9 -99-99.9 9.3-9.9
5055119890827 14.6  0.0  0.009999-99.9-99.9-99.9-99.9 9.5 84-9.9-99-99.9 -99-99.916.2-9.9
5055119890828 20.6 -1.0  0.009999-99.9-99.9-99.9-99.9 9.5 84-9.9-99-99.9 -99-99.916.4-9.9
5055119890829 22.6  7.3  0.009999-99.9-99.9-99.9-99.9 2.0 17-9.9-99-99.9 -99-99.9 7.0-9.9
5055119890830 16.8  7.6  0.009999-99.9-99.9-99.9-99.9 4.5 39-9.9-99-99.9 -99-99.910.2-9.9
5055119890831 16.1  4.2  0.009999-99.9-99.9-99.9-99.910.0 88-9.9-99-99.9 -99-99.917.4-9.9
5055119890901 18.6  1.2  0.009999-99.9-99.9-99.9-99.910.0 87-9.9-99-99.9 -99-99.917.4-9.9
5055119890902 20.6  3.1  0.009999-99.9-99.9-99.9-99.9 9.0 78-9.9-99-99.9 -99-99.916.2-9.9
5055119890903 24.1  6.9  0.009999-99.9-99.9-99.9-99.9 8.5 74-9.9-99-99.9 -99-99.915.8-9.9
5055119890904 17.6  9.5  0.009999-99.9-99.9-99.9-99.9 3.0 26-9.9-99-99.9 -99-99.9 8.8-9.9
5055119890905 13.6  4.7  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 4.9-9.9
5055119890906 17.8 -3.0  0.009999-99.9-99.9-99.9-99.910.0 86-9.9-99-99.9 -99-99.918.0-9.9
5055119890907 19.2 -1.6  0.009999-99.9-99.9-99.9-99.9 9.5 82-9.9-99-99.9 -99-99.917.6-9.9
