5036619600214 35.5 22.6  0.009900-99.9-99.9-99.9-99.9 7.8 6028.8 70 23.4   7  5.620.7 5.3
5036619600215 30.6 24.8 63.719900-99.9-99.9-99.9-99.9 7.1 5527.0 73 22.4  13 10.419.4 5.3
5036619600216 31.4 20.3  0.009900-99.9-99.9-99.9-99.9 8.5 6625.3 74 21.3   2  1.621.8 4.7
5036619600217 26.7 18.2 98.419900-99.9-99.9-99.9-99.9 0.0  022.4 95 19.3   4  3.2 7.2 2.0
5036619600218 28.2 16.6  0.009900-99.9-99.9-99.9-99.9 6.7 5221.2 76 18.4   2  1.618.6 3.7
5036619600219 30.2 21.8  0.009900-99.9-99.9-99.9-99.9 8.0 6224.8 72 21.0   4  3.220.8 4.6
5036619600220 31.3 20.6  0.009900-99.9-99.9-99.9-99.9 8.4 6524.9 71 21.0   4  3.221.4 4.7
5036619600221 32.2 21.4  0.009900-99.9-99.9-99.9-99.910.3 8023.3 64 20.0   2  1.624.5 5.2
5036619600222 34.0 20.8  0.009900-99.9-99.9-99.9-99.910.7 8424.7 68 20.9   6  4.825.1 5.7
5036619600223 33.6 21.4  0.009900-99.9-99.9-99.9-99.9 6.8 5325.1 67 21.2   4  3.218.5 4.5
5036619600224 32.2 21.6  1.519900-99.9-99.9-99.9-99.9 6.8 5324.9 71 21.0   9  7.218.4 4.7
5036619600225 32.7 20.8  0.009900-99.9-99.9-99.9-99.9 9.7 7620.9 58 18.2   9  7.223.3 5.7
5036619600226 28.4 19.6  0.619900-99.9-99.9-99.9-99.9 7.3 58-9.9 81-99.9   6  4.819.2-9.9
5036619600227 32.6 20.7  6.419900-99.9-99.9-99.9-99.9 7.4 5926.4 79 22.0   7  5.619.3 4.6
5036619600228 32.0 19.0 16.219900-99.9-99.9-99.9-99.9 8.7 6923.6 79 20.2   9  7.221.4 4.9
5036619600229 29.4 17.6  0.009900-99.9-99.9-99.9-99.9 9.9 7920.4 71 17.8   4  3.223.3 4.6
5036619600301 28.8 17.9  1.319900-99.9-99.9-99.9-99.9 5.8 4622.6 79 19.5   6  4.816.4 3.6
5036619600302 29.5 18.3 10.119900-99.9-99.9-99.9-99.9 6.1 4921.7 80 18.8  11  8.816.9 4.1
5036619600303 29.4 17.9  0.009900-99.9-99.9-99.9-99.910.0 8022.6 74 19.5   7  5.623.2 4.7
5036619600304 31.0 18.4  0.009900-99.9-99.9-99.9-99.910.7 8624.8 75 21.0   6  4.824.3 5.0
5036619600305 33.0 19.0  0.009900-99.9-99.9-99.9-99.9 8.5 6825.2 71 21.2   4  3.220.6 4.5
5036619600306 32.4 19.8  0.009900-99.9-99.9-99.9-99.9 9.3 7524.9 78 21.0   9  7.221.9 5.0
5036619600307 29.3 19.5 23.519900-99.9-99.9-99.9-99.9 1.5 1222.5 76 19.4   6  4.8 9.1 2.7
5036619600308 24.0 17.9 35.919900-99.9-99.9-99.9-99.9 1.8 1520.7 90 18.1   9  7.2 9.5 2.3
5036619600309 25.7 17.4  5.719900-99.9-99.9-99.9-99.9 4.8 3921.1 87 18.4   6  4.814.3 3.0
5036619600310 27.0 17.2  0.009900-99.9-99.9-99.9-99.9 9.0 7320.3 78 17.7   4  3.221.0 3.9
5036619600311 27.2 14.3  0.009900-99.9-99.9-99.9-99.9 8.6 7019.1 73 16.8   3  2.420.3 3.6
5036619600312 26.6 16.4  0.009900-99.9-99.9-99.9-99.9 9.0 7317.6 67 15.5   4  3.220.9 3.9
5036619600313 28.3 15.3  0.009900-99.9-99.9-99.9-99.9 9.4 7718.6 67 16.4   6  4.821.4 4.1
5036619600314 28.7 14.7  0.009900-99.9-99.9-99.9-99.9-9.9 7819.2 71 16.9   4  3.221.6 3.9
5036619600315 29.5 16.3  0.009900-99.9-99.9-99.9-99.9 8.4 6919.1 66 16.8   6  4.819.7 4.0
5036619600316 30.3 19.3  0.319900-99.9-99.9-99.9-99.9 5.8 4822.3 77 19.2   4  3.215.5 3.5
5036619600317 24.0 17.6 12.419900-99.9-99.9-99.9-99.9 0.0  020.7 98 18.1   9  7.2 6.3 1.8
5036619600318 19.0 16.0 35.019900-99.9-99.9-99.9-99.9 0.0  018.9100 16.6   9  7.2 6.2 1.3
5036619600319 23.6 15.6  0.009900-99.9-99.9-99.9-99.9 2.1 1718.9 85 16.6   4  3.2 9.5 2.0
5036619600320 27.3 12.8  0.009900-99.9-99.9-99.9-99.9 7.6 6319.5 78 17.1   4  3.218.0 3.1
5036619600321 28.5 15.4  2.019900-99.9-99.9-99.9-99.9 4.9 4120.9 74 18.2   4  3.213.7 2.8
5036619600322 26.8 19.2 17.119900-99.9-99.9-99.9-99.9 2.4 2023.3 81 20.0   4  3.2 9.8 2.3
5036619600323 23.0 16.8  1.219900-99.9-99.9-99.9-99.9 0.0  019.7 99 17.3   4  3.2 6.0 1.6
5036619600324 24.5 17.9  0.919900-99.9-99.9-99.9-99.9 0.0  021.6 88 18.7   2  1.6 6.0 1.5
5036619600325 24.5 18.9  0.009900-99.9-99.9-99.9-99.9 0.4  322.3 89 19.2   6  4.8 6.6 1.7
5036619600326 31.5 18.6  0.009900-99.9-99.9-99.9-99.9 7.7 6525.3 82 21.3   1  0.817.6 3.5
5036619600327 32.0 20.0  0.009900-99.9-99.9-99.9-99.9 7.1 6027.0 77 22.4   6  4.816.6 3.7
5036619600328 27.5 19.1 21.219900-99.9-99.9-99.9-99.9 2.2 1923.8 90 20.3  12  9.6 9.2 2.5
5036619600329 19.1 15.5  2.819900-99.9-99.9-99.9-99.9 0.0  018.3 96 16.1   2  1.6 5.8 1.2
5036619600330 23.0 16.6  0.009900-99.9-99.9-99.9-99.9 0.2  220.7 89 18.1   6  4.8 6.1 1.5
5036619600331 26.0 18.3  0.009900-99.9-99.9-99.9-99.9 4.8 4121.3 84 18.5   6  4.812.9 2.7
5036619600401 28.5 15.2  0.009900-99.9-99.9-99.9-99.9 8.0 6819.3 74 16.9   4  3.217.5 3.2
5036619600402 28.6 16.4  0.009900-99.9-99.9-99.9-99.9 7.8 6721.9 78 19.0   4  3.217.2 3.2
5036619600403 23.0 14.4 17.419900-99.9-99.9-99.9-99.9 0.2  217.3 90 15.2  12  9.6 5.9 1.9
5036619600404 24.8 10.9  0.009900-99.9-99.9-99.9-99.9 9.4 8114.3 73 12.3   6  4.819.3 3.1
5036619600405 27.5 12.4  0.009900-99.9-99.9-99.9-99.910.2 8817.8 78 15.7   1  0.820.4 3.1
5036619600406 28.3 13.9  0.009900-99.9-99.9-99.9-99.9 9.8 8420.3 77 17.7   4  3.219.7 3.2
5036619600407 29.3 16.3  0.009900-99.9-99.9-99.9-99.9 9.4 8121.4 75 18.6   4  3.219.0 3.4
5036619600408 23.4 16.6  8.619900-99.9-99.9-99.9-99.9 0.7  621.4 88 18.6   6  4.8 6.4 1.4
5036619600409 20.8 13.8  1.119900-99.9-99.9-99.9-99.9 0.0  016.0100 14.0   9  7.2 5.4 1.6
5036619600410 17.0 13.4  0.009900-99.9-99.9-99.9-99.9 0.0  015.6 93 13.6   7  5.6 5.3 1.2
5036619600411 22.5 13.8  0.009900-99.9-99.9-99.9-99.9 1.5 1316.4 84 14.4   9  7.2 7.4 1.9
5036619600412 23.4 13.8  0.009900-99.9-99.9-99.9-99.9 2.8 2419.1 86 16.8   8  6.4 9.2 1.7
5036619600413 26.4 16.7  0.009900-99.9-99.9-99.9-99.9 3.5 3120.3 82 17.7   7  5.610.1 2.3
5036619600414 25.5 16.9  0.009900-99.9-99.9-99.9-99.9 0.9  821.7 88 18.8   4  3.2 6.4 1.5
5036619600415 26.6 17.7 38.719900-99.9-99.9-99.9-99.9 3.4 3022.2 86 19.2   8  6.4 9.9 2.2
5036619600416 20.1 14.4  0.319900-99.9-99.9-99.9-99.9 0.0  014.9 86 12.9   7  5.6 5.1 1.6
5036619600417 22.4  8.3  0.009900-99.9-99.9-99.9-99.9 8.8 7813.9 75 11.9   4  3.217.1 2.2
5036619600418 24.4 11.4  0.009900-99.9-99.9-99.9-99.9 9.6 8515.3 74 13.3   4  3.218.1 2.5
5036619600419 26.4 11.2  0.009900-99.9-99.9-99.9-99.9 9.2 8117.1 77 15.0   6  4.817.5 2.6
5036619600420 29.0 12.7  0.009900-99.9-99.9-99.9-99.9 9.7 8617.4 70 15.3   9  7.218.1 3.2
5036619600421 28.6 13.0  0.009900-99.9-99.9-99.9-99.9 9.4 8417.0 72 15.0   7  5.617.6 3.0
5036619600422 28.4 13.8  0.009900-99.9-99.9-99.9-99.9 9.4 8417.9 70 15.8   7  5.617.5 3.0
5036619600423 28.7 14.2  0.009900-99.9-99.9-99.9-99.910.2 9118.3 73 16.1   4  3.218.4 2.9
5036619600424 27.5 13.6  0.009900-99.9-99.9-99.9-99.9 9.3 8318.8 79 16.5   6  4.817.1 2.7
5036619600425 25.0 15.3  0.009900-99.9-99.9-99.9-99.9 6.6 5918.2 73 16.0   5  4.013.5 2.3
5036619600426 22.2 14.3  1.819900-99.9-99.9-99.9-99.9 0.0  015.6 92 13.6   3  2.4 4.8 1.4
5036619600427 22.0 13.9  0.009900-99.9-99.9-99.9-99.9 3.2 2917.0 85 15.0   4  3.2 8.9 1.6
5036619600428 25.6 14.0 11.319900-99.9-99.9-99.9-99.9 1.9 1720.0 82 17.5   3  2.4 7.2 1.4
5036619600429 20.8 14.9  3.219900-99.9-99.9-99.9-99.9 0.0  017.5100 15.4   4  3.2 4.7 1.2
5036619600430 19.8 13.6  0.009900-99.9-99.9-99.9-99.9 3.0 2716.3 83 14.3  11  8.8 8.5 1.6
5036619600501 21.5 11.1  0.009900-99.9-99.9-99.9-99.9 8.7 7914.7 80 12.7   7  5.615.7 2.1
5036619600502 23.4 12.3  0.009900-99.9-99.9-99.9-99.9 4.8 4417.2 78 15.1   9  7.210.7 1.8
5036619600503 24.3 14.5  0.009900-99.9-99.9-99.9-99.9 6.7 6116.4 79 14.4   6  4.813.0 2.2
5036619600504 25.4 11.8  0.009900-99.9-99.9-99.9-99.9 8.7 7915.7 74 13.7   7  5.615.4 2.3
5036619600505 26.5 11.2  0.009900-99.9-99.9-99.9-99.9 8.5 7816.6 74 14.6   7  5.615.1 2.3
5036619600506 26.8 13.8  0.009900-99.9-99.9-99.9-99.9 8.9 8218.1 79 15.9   6  4.815.5 2.4
5036619600507 26.4 13.1  1.519900-99.9-99.9-99.9-99.9 8.1 7418.0 77 15.8   6  4.814.4 2.2
5036619600508 21.2 12.1 23.319900-99.9-99.9-99.9-99.9 0.0  015.4100 13.4  11  8.8 4.4 1.4
5036619600509 12.1  8.2  0.419900-99.9-99.9-99.9-99.9 0.0  010.6 87  7.8   4  3.2 4.4 0.9
5036619600510 11.0  9.0  0.009900-99.9-99.9-99.9-99.9 0.0  0 9.9 83  6.8  11  8.8 4.3 1.2
5036619600511 16.4  8.8  0.009900-99.9-99.9-99.9-99.9 1.4 1311.0 78  8.4  12  9.6 6.0 1.6
5036619600512 13.8 10.5  1.519900-99.9-99.9-99.9-99.9 0.0  011.9 86  9.5   6  4.8 4.3 1.0
5036619600513 18.2 10.7  0.009900-99.9-99.9-99.9-99.9 0.9  814.1 91 12.1   4  3.2 5.3 1.0
5036619600514 21.5  7.3  0.009900-99.9-99.9-99.9-99.9 8.8 8212.6 81 10.4   7  5.614.8 1.7
