5012919610323-99.9  2.5  0.009900-99.9-99.9-99.9-99.910.0 83 5.2 42 -2.2  19 15.220.2-9.9
5012919610324-99.9  4.5  0.009900-99.9-99.9-99.9-99.9 9.7 81 2.7 20-10.7  17 13.619.7-9.9
5012919610325-99.9  3.5  0.009900-99.9-99.9-99.9-99.9 7.7 65 2.4 20-12.2  19 15.216.7-9.9
5012919610326-99.9  2.5  0.009900-99.9-99.9-99.9-99.910.5 88 5.9 49 -0.5  16 12.820.6-9.9
5012919610327-99.9  3.5  0.009900-99.9-99.9-99.9-99.910.4 88 2.0 15-14.4  17 13.620.3-9.9
5012919610328-99.9  3.5  0.009900-99.9-99.9-99.9-99.9 9.5 80 2.6 19-11.2  21 16.818.9-9.9
5012919610329-99.9  3.1  0.009900-99.9-99.9-99.9-99.910.5 89 2.3 18-12.7  19 15.220.2-9.9
5012919610330-99.9  4.0  0.009900-99.9-99.9-99.9-99.910.8 92 2.5 17-11.7  19 15.220.5-9.9
5012919610331-99.9  6.5  0.009900-99.9-99.9-99.9-99.9 8.6 73 3.0 23 -9.4  27 21.617.3-9.9
5012919610401-99.9  6.5  0.009900-99.9-99.9-99.9-99.910.5 90 1.0  7-22.5  27 21.619.9-9.9
5012919610402-99.9  2.5  0.009900-99.9-99.9-99.9-99.9 9.9 85 1.5-99-17.9  30 24.018.9-9.9
5012919610403-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5012919610404-99.9 -4.5  0.009900-99.9-99.9-99.9-99.9 0.6  5 2.9 36 -9.8  21 16.8 6.0-9.9
5012919610405-99.9 -0.7  0.009900-99.9-99.9-99.9-99.9 9.0 78 2.3 25-12.7  16 12.817.3-9.9
5012919610406-99.9 -1.0  0.009900-99.9-99.9-99.9-99.910.3 89 2.3 26-12.7  19 15.219.0-9.9
5012919610407-99.9 -1.0  0.009900-99.9-99.9-99.9-99.9 8.5 74 1.6 15-17.1  21 16.816.4-9.9
5012919610408-99.9 -1.0  0.009900-99.9-99.9-99.9-99.910.0 87 2.7 31-10.7  16 12.818.3-9.9
5012919610409-99.9  1.7  0.009900-99.9-99.9-99.9-99.910.0 87 2.4 26-12.2  16 12.818.2-9.9
5012919610410-99.9  1.7  0.009900-99.9-99.9-99.9-99.910.0 88 1.8-99-15.7  19 15.218.1-9.9
5012919610411-99.9 -1.0  0.009900-99.9-99.9-99.9-99.910.0 88 1.6 24-17.1  24 19.218.0-9.9
5012919610412-99.9  2.3  0.009900-99.9-99.9-99.9-99.9 7.1 63 2.0 18-14.4  27 21.614.1-9.9
5012919610413-99.9  6.5  0.009900-99.9-99.9-99.9-99.9 1.1 10 1.2  9-20.5  18 14.4 6.2-9.9
5012919610414-99.9 -1.0  0.009900-99.9-99.9-99.9-99.910.0 89 1.8 23-15.7  11  8.817.6-9.9
5012919610415-99.9 -0.5  0.009900-99.9-99.9-99.9-99.9 9.9 88 1.0 10-22.5  19 15.217.4-9.9
5012919610416-99.9  2.0  0.009900-99.9-99.9-99.9-99.9 9.9 88 1.8 16-15.7  19 15.217.2-9.9
5012919610417-99.9  1.4  0.009900-99.9-99.9-99.9-99.9 9.7 87-9.9-99-99.9 -99-99.916.9-9.9
5012919610418-99.9  2.3  0.009900-99.9-99.9-99.9-99.9 9.7 87-9.9-99-99.9 -99-99.916.7-9.9
5012919610419-99.9 -0.3  0.009900-99.9-99.9-99.9-99.9 9.5 85-9.9-99-99.9 -99-99.916.4-9.9
5012919610420-99.9  1.2  0.009900-99.9-99.9-99.9-99.9 7.1 64-9.9-99-99.9 -99-99.913.3-9.9
5012919610421-99.9  5.0  0.009900-99.9-99.9-99.9-99.9 9.6 87-9.9-99-99.9 -99-99.916.3-9.9
5012919610422-99.9  6.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 1.5 14-17.9  16 12.8-9.9-9.9
