5050119670713 13.4 -0.5  0.009900 -3.3-99.9-99.9-99.9-9.9 99 5.3 54 -1.9  12  9.6-9.9-9.9
5050119670714 19.3  7.2  0.009900  4.0-99.9-99.9-99.9-9.9 99 6.9 44  1.7  32 25.6-9.9-9.9
5050119670715 15.7  7.8  0.009900  5.0-99.9-99.9-99.9-9.9 9911.7 83  9.3   8  6.4-9.9-9.9
5050119670716 12.9  7.5 11.219900  4.9-99.9-99.9-99.9-9.9 9912.7 93 10.5  16 12.8-9.9-9.9
5050119670717 12.4  9.3  0.009900  8.0-99.9-99.9-99.9-9.9 9912.4 98 10.1   4  3.2-9.9-9.9
5050119670718 11.1  1.9  0.009900 -0.3-99.9-99.9-99.9-9.9 99 8.6 83  4.8  12  9.6-9.9-9.9
5050119670719  9.2  1.3  0.009900 -0.9-99.9-99.9-99.9-9.9 99 8.3 93  4.3   9  7.2-9.9-9.9
5050119670720  6.8 -1.1  1.219900 -3.1-99.9-99.9-99.9-9.9 99 7.8 96  3.4   6  4.8-9.9-9.9
5050119670721  8.5 -1.2  0.009900 -2.9-99.9-99.9-99.9-9.9 99 6.8 94  1.5   7  5.6-9.9-9.9
5050119670722 14.7 -1.1  0.009900 -3.6-99.9-99.9-99.9-9.9 99 7.6 59  3.0  25 20.0-9.9-9.9
5050119670723 16.3  9.3  4.819900  7.7-99.9-99.9-99.9-9.9 99 9.3 65  5.9  14 11.2-9.9-9.9
5050119670724 12.9  7.9  0.009900  7.9-99.9-99.9-99.9-9.9 99 9.9 79  6.8   7  5.6-9.9-9.9
5050119670725 10.2  3.1  0.009900  1.6-99.9-99.9-99.9-9.9 99 7.8 86  3.4   9  7.2-9.9-9.9
5050119670726 10.7  1.7  0.009900  0.2-99.9-99.9-99.9-9.9 99 7.8 82  3.4   7  5.6-9.9-9.9
5050119670727 11.8 -0.3  0.009900 -0.9-99.9-99.9-99.9-9.9 99 6.7 80  1.3   5  4.0-9.9-9.9
5050119670728 12.0 -0.1  0.009900 -2.8-99.9-99.9-99.9-9.9 99 6.0 68 -0.2  19 15.2-9.9-9.9
5050119670729 10.8 -3.0  0.009900 -6.0-99.9-99.9-99.9-9.9 99 5.0 61 -2.7  20 16.0-9.9-9.9
5050119670730 14.6  1.8  0.009900 -0.7-99.9-99.9-99.9-9.9 99 5.8 61 -0.7  15 12.0-9.9-9.9
5050119670731 16.6 -2.0  0.009900 -4.4-99.9-99.9-99.9-9.9 99 6.4 67  0.6   5  4.0-9.9-9.9
5050119670801 16.4  0.8  0.009900 -2.1-99.9-99.9-99.9-9.9 99 6.4 59  0.6  19 15.2-9.9-9.9
5050119670802 18.8 -1.5  0.009900 -3.9-99.9-99.9-99.9-9.9 99 5.9 57 -0.5  19 15.2-9.9-9.9
5050119670803 11.7  0.6  0.009900 -2.5-99.9-99.9-99.9-9.9 99 5.6 66 -1.2   7  5.6-9.9-9.9
5050119670804 15.7 -3.4  0.009900 -5.2-99.9-99.9-99.9-9.9 99 5.3 54 -1.9  14 11.2-9.9-9.9
5050119670805 19.2  5.2  0.009900  2.1-99.9-99.9-99.9-9.9 99 7.9 53  3.6  27 21.6-9.9-9.9
5050119670806 16.5  7.1  0.009900  5.1-99.9-99.9-99.9-9.9 99 8.3 60  4.3  28 22.4-9.9-9.9
5050119670807 16.1  1.0  0.009900 -1.1-99.9-99.9-99.9-9.9 99 6.3 61  0.4  16 12.8-9.9-9.9
5050119670808 11.8  0.8  0.009900 -2.7-99.9-99.9-99.9-9.9 99 4.0 49 -5.7  11  8.8-9.9-9.9
5050119670809 16.3 -3.8  0.009900 -5.8-99.9-99.9-99.9-9.9 99 4.4 48 -4.4  10  8.0-9.9-9.9
5050119670810 16.4  0.0  0.009900 -3.0-99.9-99.9-99.9-9.9 99 6.3 62  0.4   9  7.2-9.9-9.9
5050119670811 16.6  1.3  0.009900 -0.7-99.9-99.9-99.9-9.9 99 5.3 43 -1.9  26 20.8-9.9-9.9
5050119670812 16.6  3.3  0.009900  1.9-99.9-99.9-99.9-9.9 99 4.4 32 -4.4  28 22.4-9.9-9.9
5050119670813 18.6  1.0  0.009900  0.7-99.9-99.9-99.9-9.9 99 5.0 51 -2.7  20 16.0-9.9-9.9
5050119670814 10.0  5.2  0.009900  4.0-99.9-99.9-99.9-9.9 99 6.7 66  1.3  31 24.8-9.9-9.9
5050119670815 19.1  0.0  0.009900 -1.8-99.9-99.9-99.9-9.9 99 4.7 40 -3.6  24 19.2-9.9-9.9
5050119670816 12.5  2.3  0.009900 -0.2-99.9-99.9-99.9-9.9 99 4.4 36 -4.4  19 15.2-9.9-9.9
5050119670817 16.4  2.3  0.009900  0.3-99.9-99.9-99.9-9.9 99 6.0 56 -0.2  13 10.4-9.9-9.9
5050119670818 13.4 -2.1  0.009900 -5.2-99.9-99.9-99.9-9.9 99 6.0 70 -0.2   8  6.4-9.9-9.9
5050119670819 14.5  1.3  0.009900  0.1-99.9-99.9-99.9-9.9 99 5.9 57 -0.5   8  6.4-9.9-9.9
5050119670820 11.4 -4.5 11.219900 -5.1-99.9-99.9-99.9-9.9 99 7.1 81  2.1   6  4.8-9.9-9.9
5050119670821 10.0  1.9  0.009900  1.2-99.9-99.9-99.9-9.9 99 7.9 80  3.6  12  9.6-9.9-9.9
5050119670822  7.8  2.9  5.119900  1.7-99.9-99.9-99.9-9.9 99 6.8 76  1.5  17 13.6-9.9-9.9
5050119670823 11.5 -2.0  0.009900 -3.6-99.9-99.9-99.9-9.9 99 6.2 70  0.2  14 11.2-9.9-9.9
5050119670824 19.5  1.7  0.009900 -0.9-99.9-99.9-99.9-9.9 99 7.7 63  3.2  12  9.6-9.9-9.9
5050119670825 12.0  2.9  0.009900  0.4-99.9-99.9-99.9-9.9 9910.2 91  7.3  20 16.0-9.9-9.9
5050119670826 12.3  7.2  0.009900  6.2-99.9-99.9-99.9-9.9 9910.0 85  7.0   3  2.4-9.9-9.9
5050119670827 12.3  0.1  0.009900 -0.9-99.9-99.9-99.9-9.9 99 6.8 75  1.5   9  7.2-9.9-9.9
5050119670828 17.0 -0.9  0.009900 -3.0-99.9-99.9-99.9-9.9 99 6.8 56  1.5  15 12.0-9.9-9.9
5050119670829 16.4  7.2  0.009900  4.2-99.9-99.9-99.9-9.9 99 4.3 32 -4.7  31 24.8-9.9-9.9
5050119670830 13.6  1.1  0.009900 -0.7-99.9-99.9-99.9-9.9 99 4.7 49 -3.6  22 17.6-9.9-9.9
5050119670831 17.8  1.5  0.009900 -1.1-99.9-99.9-99.9-9.9 99 5.0 44 -2.7  19 15.2-9.9-9.9
5050119670901-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670902-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670903-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670904-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670905-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670906-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670907-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670908-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670909-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670910-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670911-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670912-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670913-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670914-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670915-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670916-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670917-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670918-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670919-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670920-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670921-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670922-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670923-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670924-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670925-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670926-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670927-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670928-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5050119670929-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
