5015819780501-99.9-99.9  7.219900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819780610 12.5 -8.8  5.519900-99.9-99.9-99.9-99.9-9.9 99 4.1 57 -5.4  15 12.0-9.9-9.9
5015819780611 12.0  2.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.8 78  1.5  18 14.4-9.9-9.9
5015819780612 12.0  4.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.7 74  3.2  28 22.4-9.9-9.9
5015819780613 12.5  0.9  7.219900-99.9-99.9-99.9-99.9-9.9 99 7.2 71  2.3   8  6.4-9.9-9.9
5015819780614 13.5  0.7  7.519900-99.9-99.9-99.9-99.9-9.9 99 9.1 92  5.6  19 15.2-9.9-9.9
5015819780615 12.0  2.2 36.019900-99.9-99.9-99.9-99.9-9.9 99 8.0 68  3.8  44 35.2-9.9-9.9
5015819780616 10.5  4.9 24.019900-99.9-99.9-99.9-99.9-9.9 99 8.6 85  4.8  16 12.8-9.9-9.9
5015819780617  9.5  0.2 11.019900-99.9-99.9-99.9-99.9-9.9 99 7.0 90  1.9  18 14.4-9.9-9.9
5015819780618  5.5 -0.1  4.619901-99.9-99.9-99.9-99.9-9.9 99 6.3 92  0.4  26 20.8-9.9-9.9
5015819780619  6.7 -0.9  4.819900-99.9-99.9-99.9-99.9-9.9 99 6.8 89  1.5   3  2.4-9.9-9.9
5015819780620  7.0  2.0  2.019900-99.9-99.9-99.9-99.9-9.9 99 8.2 95  4.1   0  0.0-9.9-9.9
5015819780621 11.9  2.5  1.619900-99.9-99.9-99.9-99.9-9.9 99 8.9 97  5.3   3  2.4-9.9-9.9
5015819780622  7.5  0.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.0 93  1.9   0  0.0-9.9-9.9
5015819780623 10.2 -0.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.9 83  1.7   0  0.0-9.9-9.9
5015819780624  2.5 -3.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.2 92  0.2   0  0.0-9.9-9.9
5015819780625  1.2 -2.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.3 91 -1.9   0  0.0-9.9-9.9
5015819780626  8.5 -2.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.2 89  0.2   0  0.0-9.9-9.9
5015819780627  9.2 -1.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.4 86  0.6   8  6.4-9.9-9.9
5015819780628  6.5 -7.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.9 90 -3.0   3  2.4-9.9-9.9
5015819780629  5.8 -4.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.7 93  1.3   1  0.8-9.9-9.9
5015819780630  6.0  1.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.2 91  2.3   3  2.4-9.9-9.9
5015819780701  6.0 -2.5  5.519900-99.9-99.9-99.9-99.9-9.9 99 7.4 94  2.7   0  0.0-9.9-9.9
5015819780702  7.2 -0.1  9.819900-99.9-99.9-99.9-99.9-9.9 99 8.8100  5.1  11  8.8-9.9-9.9
5015819780703  5.2  1.9 31.519900-99.9-99.9-99.9-99.9-9.9 99 7.0 93  1.9   0  0.0-9.9-9.9
5015819780704  6.0  1.7 11.019900-99.9-99.9-99.9-99.9-9.9 99 7.9 97  3.6   0  0.0-9.9-9.9
5015819780705  7.5  2.0  0.219900-99.9-99.9-99.9-99.9-9.9 99 8.4 97  4.5   0  0.0-9.9-9.9
5015819780706  8.5  1.5  3.219900-99.9-99.9-99.9-99.9-9.9 99 7.8 92  3.4   0  0.0-9.9-9.9
5015819780707  9.5  1.1  3.219900-99.9-99.9-99.9-99.9-9.9 99 9.6 95  6.4  15 12.0-9.9-9.9
5015819780708 13.5  8.1  4.419900-99.9-99.9-99.9-99.9-9.9 9910.7 86  8.0   5  4.0-9.9-9.9
5015819780709 13.5  7.1 35.519900-99.9-99.9-99.9-99.9-9.9 9911.6 95  9.2  26 20.8-9.9-9.9
5015819780710 11.0  6.7  7.219900-99.9-99.9-99.9-99.9-9.9 99 8.7 77  5.0  29 23.2-9.9-9.9
5015819780711 11.5  4.2 40.319900-99.9-99.9-99.9-99.9-9.9 9910.5 86  7.7  26 20.8-9.9-9.9
