5026319590303 26.5  9.0  0.009900  8.5-99.9-99.9-99.9-9.9 99 6.8 47  1.5  14 11.2-9.9-9.9
5026319590304 20.0  9.2  0.009900  9.2-99.9-99.9-99.9-9.9 99 8.6 74  4.8  30 24.0-9.9-9.9
5026319590305 30.0  6.0  0.009900  5.5-99.9-99.9-99.9-9.9 99 6.6 36  1.1  21 16.8-9.9-9.9
5026319590306 30.0 15.9  0.009900 15.0-99.9-99.9-99.9-9.9 99 6.2 39  0.2  31 24.8-9.9-9.9
5026319590307 22.0 11.0  0.519900-99.9-99.9-99.9-99.9-9.9 99 8.2 63  4.1  19 15.2-9.9-9.9
5026319590308 16.0  5.0  6.019900-99.9-99.9-99.9-99.9-9.9 99 6.6 73  1.1  38 30.4-9.9-9.9
5026319590309 16.0  4.0  0.009900  3.5-99.9-99.9-99.9-9.9 99 6.6 70  1.1  31 24.8-9.9-9.9
5026319590310 17.0  4.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.9 75  3.6  23 18.4-9.9-9.9
5026319590311 16.0 11.0  0.009900 10.5-99.9-99.9-99.9-9.9 9911.2 86  8.6  31 24.8-9.9-9.9
5026319590312 19.0 11.0  0.009900 10.0-99.9-99.9-99.9-9.9 9910.4 82  7.5  17 13.6-9.9-9.9
5026319590313 19.0 11.2  0.009900 10.5-99.9-99.9-99.9-9.9 9910.5 70  7.7  37 29.6-9.9-9.9
5026319590314 18.0  9.0  1.019900-99.9-99.9-99.9-99.9-9.9 9910.6 80  7.8  16 12.8-9.9-9.9
5026319590315 20.4 10.8  6.219900 10.0-99.9-99.9-99.9-9.9 99 7.4 57  2.7  16 12.8-9.9-9.9
5026319590316 15.0  6.0  0.009900  5.5-99.9-99.9-99.9-9.9 99 7.5 80  2.9  31 24.8-9.9-9.9
5026319590317 17.0  3.0  0.009900  2.5-99.9-99.9-99.9-9.9 99 9.3 79  5.9   4  3.2-9.9-9.9
5026319590318 18.0  9.0  0.009900  8.5-99.9-99.9-99.9-9.9 9911.2 84  8.6  21 16.8-9.9-9.9
5026319590319 22.9 10.0  0.009900  9.3-99.9-99.9-99.9-9.9 9911.3 76  8.8  11  8.8-9.9-9.9
5026319590320 20.0  8.0  0.009900  7.0-99.9-99.9-99.9-9.9 9910.4 80  7.5  22 17.6-9.9-9.9
5026319590321 21.0  9.8  0.009900  9.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9  44 35.2-9.9-9.9
5026319590322 31.0 15.9  0.009900 15.5-99.9-99.9-99.9-9.9 99 8.2 41  4.1   0  0.0-9.9-9.9
5026319590323 26.0 13.9  0.009900 13.5-99.9-99.9-99.9-9.9 9911.2 89  8.6  11  8.8-9.9-9.9
5026319590324 20.0  9.0  5.019900-99.9-99.9-99.9-99.9-9.9 99 8.5 75  4.6   6  4.8-9.9-9.9
5026319590325 18.0  9.8  0.009900 12.5-99.9-99.9-99.9-9.9 99 8.6 76  4.8  19 15.2-9.9-9.9
5026319590326 22.0  9.0  0.009900  8.5-99.9-99.9-99.9-9.9 99 7.6 55  3.0  16 12.8-9.9-9.9
5026319590327 25.0 11.0  0.009900 10.0-99.9-99.9-99.9-9.9 99 7.5 43  2.9  24 19.2-9.9-9.9
5026319590328 24.6 10.0  0.009900  9.5-99.9-99.9-99.9-9.9 99 4.9 35 -3.0  38 30.4-9.9-9.9
5026319590329 24.0-99.9  0.009900  5.0-99.9-99.9-99.9-9.9 99 7.3 58  2.5  27 21.6-9.9-9.9
5026319590330 19.0 10.0  0.009900  9.0-99.9-99.9-99.9-9.9 99 7.3 59  2.5   8  6.4-9.9-9.9
5026319590331 21.0 12.8  0.009900 13.0-99.9-99.9-99.9-9.9 9910.9186  8.2  23 18.4-9.9-9.9
5026319590401 16.0  7.0  0.009900  6.5-99.9-99.9-99.9-9.9 99 4.5 48 -4.1  30 24.0-9.9-9.9
5026319590402 19.0  3.0  0.009900  2.5-99.9-99.9-99.9-9.9 99 3.6 33 -7.1  27 21.6-9.9-9.9
5026319590403 19.0  4.0  0.009900  3.5-99.9-99.9-99.9-9.9 99 6.8 58  1.5   8  6.4-9.9-9.9
5026319590404 15.0  3.9  0.009900  8.5-99.9-99.9-99.9-9.9 99 5.7 71 -1.0  24 19.2-9.9-9.9
5026319590405 15.0  1.4  0.009900  0.0-99.9-99.9-99.9-9.9 99 5.8 69 -0.7  16 12.8-9.9-9.9
5026319590406 11.0  2.0  0.009900  1.2-99.9-99.9-99.9-9.9 99 5.7 81 -1.0  11  8.8-9.9-9.9
5026319590407 12.0 -1.0  0.009900 -2.5-99.9-99.9-99.9-9.9 99 6.5 82  0.9  30 24.0-9.9-9.9
5026319590408 18.0 10.0  0.009900  9.0-99.9-99.9-99.9-9.9 99 9.5 88  6.2  22 17.6-9.9-9.9
5026319590409 15.0 10.0  0.009900  9.0-99.9-99.9-99.9-9.9 99 8.4 80  4.5  16 12.8-9.9-9.9
5026319590410 22.0  6.0  0.009900  5.1-99.9-99.9-99.9-9.9 99 6.1 50  0.0  17 13.6-9.9-9.9
5026319590411 20.0  9.0  0.009900  8.0-99.9-99.9-99.9-9.9 99 5.0 44 -2.7  23 18.4-9.9-9.9
5026319590412 16.0  7.9  0.009900  6.9-99.9-99.9-99.9-9.9 99 6.8 69  1.5   0  0.0-9.9-9.9
5026319590413 11.0  2.0  0.009900  1.0-99.9-99.9-99.9-9.9 99 4.6 61 -3.8  19 15.2-9.9-9.9
5026319590414 17.0  1.0  0.009900 -0.2-99.9-99.9-99.9-9.9 99 4.7 53 -3.6  13 10.4-9.9-9.9
5026319590415 14.0 10.0  0.009900  9.5-99.9-99.9-99.9-9.9 99 9.1 86  5.6  44 35.2-9.9-9.9
5026319590416 16.0 10.0  0.009900  9.0-99.9-99.9-99.9-9.9 99 9.1 84  5.6  23 18.4-9.9-9.9
5026319590417 16.0 11.9  0.009900 10.0-99.9-99.9-99.9-9.9 99 9.5 86  6.2  35 28.0-9.9-9.9
5026319590418 16.0  9.9  0.009900  9.2-99.9-99.9-99.9-9.9 99 8.5 76  4.6  33 26.4-9.9-9.9
5026319590419 12.0  5.0  0.009900  2.6-99.9-99.9-99.9-9.9 99 5.1 60 -2.5   0  0.0-9.9-9.9
5026319590420 15.0  6.9  0.009900  7.0-99.9-99.9-99.9-9.9 99 5.7 64 -1.0  38 30.4-9.9-9.9
5026319590421  9.0  4.0  0.419900  3.5-99.9-99.9-99.9-9.9 99 6.2 87  0.2  19 15.2-9.9-9.9
5026319590422 12.0  1.0  7.019900 -0.5-99.9-99.9-99.9-9.9 99 6.8 86  1.5   8  6.4-9.9-9.9
5026319590423  8.0  4.0 24.519900  3.8-99.9-99.9-99.9-9.9 99 6.6 87  1.1  34 27.2-9.9-9.9
5026319590424  9.0  5.9  0.919900  4.0-99.9-99.9-99.9-9.9 99 6.8 87  1.5  31 24.8-9.9-9.9
5026319590425 10.0  4.9  0.009900  4.0-99.9-99.9-99.9-9.9 99 5.1 70 -2.5  10  8.0-9.9-9.9
5026319590426 14.0  1.5  0.009900 -2.0-99.9-99.9-99.9-9.9 99 5.2 63 -2.2   5  4.0-9.9-9.9
5026319590427 20.0  8.0  7.019900  7.5-99.9-99.9-99.9-9.9 99 6.8 64  1.5   0  0.0-9.9-9.9
5026319590428 20.6  8.0  0.009900  7.3-99.9-99.9-99.9-9.9 99 8.4 65  4.5  11  8.8-9.9-9.9
5026319590429 18.5  4.9 15.019900  3.5-99.9-99.9-99.9-9.9 99 6.4 90  0.6  27 21.6-9.9-9.9
5026319590430  9.0  2.0  0.009900  1.0-99.9-99.9-99.9-9.9 99 5.8 88 -0.7   8  6.4-9.9-9.9
5026319590501 14.0  4.0  0.009900  3.0-99.9-99.9-99.9-9.9 99 6.2 73  0.2  22 17.6-9.9-9.9
5026319590502 11.0-99.9  0.009900  1.0-99.9-99.9-99.9-9.9 99 6.0 82 -0.2  30 24.0-9.9-9.9
5026319590503-99.9  2.0  0.009900  1.0-99.9-99.9-99.9-9.9 99 6.7 81  1.3  22 17.6-9.9-9.9
5026319590504 15.0  4.0  0.009900  3.0-99.9-99.9-99.9-9.9 99 5.3 65 -1.9   8  6.4-9.9-9.9
5026319590505 16.0  4.0  0.009900  3.5-99.9-99.9-99.9-9.9 99 7.0 65  1.9  34 27.2-9.9-9.9
5026319590506  2.0-99.9  0.009900 10.5-99.9-99.9-99.9-9.9 99 8.0 64  3.8  11  8.8-9.9-9.9
5026319590507 13.0  4.0  0.009900  3.0-99.9-99.9-99.9-9.9 99 5.1 67 -2.5  30 24.0-9.9-9.9
5026319590508 11.0  2.0  0.009900  1.3-99.9-99.9-99.9-9.9 99 5.4 76 -1.7   9  7.2-9.9-9.9
5026319590509 10.0  1.0  3.019900 -0.2-99.9-99.9-99.9-9.9 99 4.8 69 -3.3  17 13.6-9.9-9.9
5026319590510 10.0  4.0  0.619900  2.8-99.9-99.9-99.9-9.9 99 5.6 79 -1.2   0  0.0-9.9-9.9
5026319590511  9.0  2.0  0.009900  0.8-99.9-99.9-99.9-9.9 99 5.8 86 -0.7  14 11.2-9.9-9.9
5026319590512  8.0  5.0  0.009900  4.1-99.9-99.9-99.9-9.9 99 6.0 84 -0.2  52 41.6-9.9-9.9
5026319590513 18.0  9.0  0.009900  7.5-99.9-99.9-99.9-9.9 99 7.2 76  2.3  16 12.8-9.9-9.9
5026319590514 20.0  8.0  0.009900  6.3-99.9-99.9-99.9-9.9 99 6.8 66  1.5  11  8.8-9.9-9.9
5026319590515 16.0  1.0  0.009900  0.5-99.9-99.9-99.9-9.9 99 4.2 61 -5.0  11  8.8-9.9-9.9
5026319590516 12.0  1.0  0.009900  0.0-99.9-99.9-99.9-9.9 99 5.7 79 -1.0  19 15.2-9.9-9.9
5026319590517  8.0-99.9  0.009900 -1.0-99.9-99.9-99.9-9.9 99 4.6 69 -3.8  16 12.8-9.9-9.9
5026319590518 12.0  1.0  0.009900 -1.0-99.9-99.9-99.9-9.9 99 4.8 69 -3.3  22 17.6-9.9-9.9
5026319590519 14.0  1.0  0.009900  0.0-99.9-99.9-99.9-9.9 99 5.1 75 -2.5   0  0.0-9.9-9.9
5026319590520 13.0 -0.2  0.319900 -1.5-99.9-99.9-99.9-9.9 99 5.5 76 -1.4  20 16.0-9.9-9.9
5026319590521 11.0  6.0  0.419900  5.0-99.9-99.9-99.9-9.9 99 6.9 85  1.7  23 18.4-9.9-9.9
5026319590522 15.0  4.0  0.009900  4.0-99.9-99.9-99.9-9.9 99 6.4 76  0.6   6  4.8-9.9-9.9
5026319590523 18.0  7.0  0.009900  5.0-99.9-99.9-99.9-9.9 99 7.9 65  3.6   1  0.8-9.9-9.9
5026319590524 18.0-99.9  0.009900  8.5-99.9-99.9-99.9-9.9 99 4.5 40 -4.1  24 19.2-9.9-9.9
5026319590525 18.0 10.0  0.009900  9.0-99.9-99.9-99.9-9.9 99 6.6 59  1.1   7  5.6-9.9-9.9
5026319590526 20.0  9.0  0.009900  7.9-99.9-99.9-99.9-9.9 99 6.6 52  1.1  22 17.6-9.9-9.9
5026319590527 15.0  5.0  0.009900  4.3-99.9-99.9-99.9-9.9 99 5.5 62 -1.4  23 18.4-9.9-9.9
5026319590528 13.0  2.0  0.009900  1.0-99.9-99.9-99.9-9.9 99 4.2 64 -5.0  11  8.8-9.9-9.9
5026319590529 13.0-99.9  0.009900 -1.2-99.9-99.9-99.9-9.9 99 5.5 77 -1.4   8  6.4-9.9-9.9
5026319590530 17.0  6.0  0.009900  5.0-99.9-99.9-99.9-9.9 99 7.8 75  3.4   9  7.2-9.9-9.9
5026319590531 20.0  6.0  0.009900  5.0-99.9-99.9-99.9-9.9 99 5.9 49 -0.5  24 19.2-9.9-9.9
5026319590601 14.0-99.9  0.009900  0.5-99.9-99.9-99.9-9.9 99 5.9 81 -0.5  22 17.6-9.9-9.9
5026319590602 15.8 -0.1  0.009900 -1.2-99.9-99.9-99.9-9.9 99 4.8 52 -3.3   9  7.2-9.9-9.9
5026319590603 12.4  6.0  1.319900  8.5-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590604 12.0-99.9  0.009900  4.2-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590605-99.9  2.0  0.009900  1.0-99.9-99.9-99.9-9.9 99 5.3 66 -1.9  16 12.8-9.9-9.9
5026319590606 13.0  4.0  0.119900  3.2-99.9-99.9-99.9-9.9 99 7.0 83  1.9   1  0.8-9.9-9.9
5026319590607 11.5  4.0  8.019900  3.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590608  8.0  4.0  1.019900  2.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590609 14.5  3.0  0.009900  2.2-99.9-99.9-99.9-9.9 99 6.2 77  0.2   8  6.4-9.9-9.9
5026319590610 17.0  4.0  0.009900  2.8-99.9-99.9-99.9-9.9 99 7.9 79  3.6   5  4.0-9.9-9.9
5026319590611 15.0-99.9  0.009900  4.0-99.9-99.9-99.9-9.9 99 5.2 71 -2.2  19 15.2-9.9-9.9
5026319590612 10.0 -2.0  0.009900 -3.0-99.9-99.9-99.9-9.9 99 5.5 81 -1.4  30 24.0-9.9-9.9
5026319590613 14.0  4.0  0.009900  2.8-99.9-99.9-99.9-9.9 99 4.4 52 -4.4  30 24.0-9.9-9.9
5026319590614 12.0  1.0  0.009900 -0.5-99.9-99.9-99.9-9.9 99 4.6 62 -3.8   0  0.0-9.9-9.9
5026319590615 12.0  5.0  0.009900  3.6-99.9-99.9-99.9-9.9 99 6.4 80  0.6   8  6.4-9.9-9.9
5026319590616  8.0-99.9  0.009900  4.1-99.9-99.9-99.9-9.9 99 6.8 89  1.5   1  0.8-9.9-9.9
5026319590617 13.5-99.9  0.009900  3.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590618 10.0  5.0  0.009900  4.0-99.9-99.9-99.9-9.9 99 6.3 82  0.4  23 18.4-9.9-9.9
5026319590619 11.0  2.0  0.009900  1.0-99.9-99.9-99.9-9.9 99 6.6 83  1.1  20 16.0-9.9-9.9
5026319590620 11.0 -3.0  2.019900 -3.7-99.9-99.9-99.9-9.9 99 5.6 75 -1.2  11  8.8-9.9-9.9
5026319590621  8.0  1.0  0.009900  0.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590622  9.0 -3.0  0.009900 -4.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590623 10.0 -4.0  0.009900 -5.0-99.9-99.9-99.9-9.9 99 5.3 89 -1.9  33 26.4-9.9-9.9
5026319590624  9.0  5.0  0.009900  4.1-99.9-99.9-99.9-9.9 99 6.6 83  1.1  56 44.8-9.9-9.9
5026319590625 11.5-99.9  0.009900  3.0-99.9-99.9-99.9-9.9 99 5.5 79 -1.4   3  2.4-9.9-9.9
5026319590626  9.0  2.0  0.009900  1.0-99.9-99.9-99.9-9.9 99 5.8 84 -0.7   1  0.8-9.9-9.9
5026319590627 15.0 -1.5  2.019900 -2.3-99.9-99.9-99.9-9.9 99 4.4 67 -4.4   3  2.4-9.9-9.9
5026319590628 12.0 -2.0  0.009900 -3.0-99.9-99.9-99.9-9.9 99 6.4 88  0.6   8  6.4-9.9-9.9
5026319590629  9.0  4.0  0.009900  2.5-99.9-99.9-99.9-9.9 99 6.1 86  0.0  38 30.4-9.9-9.9
5026319590630 12.0  5.0  0.009900  3.5-99.9-99.9-99.9-9.9 99 7.4 88  2.7  16 12.8-9.9-9.9
5026319590701-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590702-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590703-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590704-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590705-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590706-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590707-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590708-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590709-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590710-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590711-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590712-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590713-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590714-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590715-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590716-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590717-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590718-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590719-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590720-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590721-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590722-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590723-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590724-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590725-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590726-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590727-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590728-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590729-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590730-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590731-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026319590801 14.0  1.0  0.009900 -1.0-99.9-99.9-99.9-9.9 99 5.0 70 -2.7   0  0.0-9.9-9.9
