5004419730819 20.5 15.0  0.009900 14.1-99.9-99.9-99.9 0.0  0 6.1 34  0.0  38 30.4 4.7 7.4
5004419730820 17.5  8.5  0.009900  7.6-99.9-99.9-99.9 2.2 20 6.7 44  1.3  10  8.0 7.6 2.5
5004419730821 16.6  9.1  0.009900  8.4-99.9-99.9-99.9 0.6  5 5.7 38 -1.0   4  3.2 5.5 2.0
5004419730822 22.7  2.3  0.009900  1.7-99.9-99.9-99.9 8.0 71 7.1 49  2.1  19 15.215.2 3.4
5004419730823 24.7 10.5  0.009900  9.6-99.9-99.9-99.9 9.8 8710.0 51  7.0  14 11.217.7 3.5
5004419730824 20.3  5.5  0.009900  4.9-99.9-99.9-99.9 6.3 5610.5 63  7.7  19 15.213.2 2.6
5004419730825 17.4  9.3  0.009900  8.6-99.9-99.9-99.9 0.0  0 5.2 38 -2.2   9  7.2 4.9 2.8
5004419730826 21.9  3.1  0.009900  2.3-99.9-99.9-99.9 8.1 71 5.4 32 -1.7  15 12.015.7 3.4
5004419730827 25.0  7.0  0.009900  6.5-99.9-99.9-99.9 9.3 82 6.1 35  0.0  20 16.017.4 4.6
5004419730828 24.9  7.0  0.009900  6.4-99.9-99.9-99.9 9.2 81 6.2 35  0.2   7  5.617.4 2.9
5004419730829 22.4 13.3  0.009900 12.5-99.9-99.9-99.9 7.8 68 6.6 31  1.1  25 20.015.6 5.6
5004419730830 24.6 11.4  0.009900 10.5-99.9-99.9-99.9 8.2 72 6.3 33  0.4   9  7.216.2 3.5
5004419730831 28.9 13.3  0.009900 12.8-99.9-99.9-99.9 7.3 64 7.1 30  2.1  28 22.415.1 6.8
5004419730901 29.6 13.5  0.009900 12.0-99.9-99.9-99.9 6.8 59 8.3 30  4.3  27 21.614.5 6.5
5004419730902 30.9 17.4  0.009900 16.0-99.9-99.9-99.9 6.8 59 6.7 22  1.3  34 27.214.6 8.8
5004419730903 30.1 11.1  0.009900  9.7-99.9-99.9-99.9 9.3 81 7.9 36  3.6   2  1.618.2 2.8
5004419730904 26.7  7.7  0.009900  6.5-99.9-99.9-99.9 5.8 50 8.6 42  4.8   9  7.213.4 3.2
5004419730905 24.9  6.9  0.009900  5.0-99.9-99.9-99.9 5.1 44 7.0 36  1.9   7  5.612.5 2.9
5004419730906 19.3 13.5  0.009900 12.6-99.9-99.9-99.9 5.0 43 6.0 34 -0.2  38 30.412.4 7.2
5004419730907 20.8 12.0  0.009900 11.2-99.9-99.9-99.9 3.5 30 4.1 21 -5.4  46 36.810.4 9.3
5004419730908 23.9 12.4  0.009900 11.0-99.9-99.9-99.9 5.3 45 4.0 20 -5.7  19 15.213.0 5.5
5004419730909 29.2  8.9  0.009900  7.2-99.9-99.9-99.9 6.5 55 5.1 22 -2.5  20 16.014.8 5.6
5004419730910 31.9 11.3  0.009900 10.3-99.9-99.9-99.9 6.3 54 6.9 27  1.7  17 13.614.6 5.4
5004419730911 33.3 12.0  0.009900 11.3-99.9-99.9-99.9 6.0 5110.1 37  7.1   1  0.814.2 2.8
