5032519560224 28.6-99.9  0.009999-99.9-99.9-99.9-99.910.8 83-9.9-99-99.9 -99-99.923.9-9.9
5032519560225 31.5-99.9  0.009999-99.9-99.9-99.9-99.9 9.0 69-9.9-99-99.9 -99-99.920.9-9.9
5032519560226 34.5-99.9 12.219999-99.9-99.9-99.9-99.911.4 88-9.9-99-99.9 -99-99.924.6-9.9
5032519560227 28.3-99.9  0.219999-99.9-99.9-99.9-99.9 9.6 74-9.9-99-99.9 -99-99.921.6-9.9
5032519560228 27.0-99.9  0.009999-99.9-99.9-99.9-99.911.5 89-9.9-99-99.9 -99-99.924.5-9.9
5032519560229 29.2-99.9  0.009999-99.9-99.9-99.9-99.911.5 89-9.9-99-99.9 -99-99.924.4-9.9
5032519560301 34.0-99.9  0.009999-99.9-99.9-99.9-99.911.3 88-9.9-99-99.9 -99-99.924.0-9.9
5032519560302 34.6-99.9  0.009999-99.9-99.9-99.9-99.9 9.7 76-9.9-99-99.9 -99-99.921.5-9.9
5032519560303 32.0-99.9 13.219999-99.9-99.9-99.9-99.9 7.7 60-9.9-99-99.9 -99-99.918.2-9.9
5032519560304 30.2-99.9  0.009999-99.9-99.9-99.9-99.911.3 89-9.9-99-99.9 -99-99.923.7-9.9
5032519560305 33.3-99.9  0.319999-99.9-99.9-99.9-99.9 9.0 71-9.9-99-99.9 -99-99.920.1-9.9
5032519560306 27.4-99.9  0.009999-99.9-99.9-99.9-99.910.8 85-9.9-99-99.9 -99-99.922.6-9.9
5032519560307 27.4-99.9  0.009999-99.9-99.9-99.9-99.911.2 89-9.9-99-99.9 -99-99.923.2-9.9
5032519560308 32.0-99.9  0.009999-99.9-99.9-99.9-99.911.0 88-9.9-99-99.9 -99-99.922.9-9.9
5032519560309 31.0-99.9  0.009999-99.9-99.9-99.9-99.910.0 80-9.9-99-99.9 -99-99.921.2-9.9
5032519560310 26.7-99.9  1.619999-99.9-99.9-99.9-99.9 7.4 59-9.9-99-99.9 -99-99.917.1-9.9
5032519560311 21.8-99.9  0.219999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 6.1-9.9
5032519560312 21.4-99.9  0.009999-99.9-99.9-99.9-99.910.2 82-9.9-99-99.9 -99-99.921.1-9.9
5032519560313 28.2-99.9  0.009999-99.9-99.9-99.9-99.9 8.5 69-9.9-99-99.9 -99-99.918.6-9.9
5032519560314 31.0-99.9  0.009999-99.9-99.9-99.9-99.9 9.9 80-9.9-99-99.9 -99-99.920.4-9.9
5032519560315 29.6-99.9  0.009999-99.9-99.9-99.9-99.9 9.8 80-9.9-99-99.9 -99-99.920.3-9.9
5032519560316 24.2-99.9  0.009999-99.9-99.9-99.9-99.9 9.9 81-9.9-99-99.9 -99-99.920.3-9.9
5032519560317 23.4-99.9  0.009999-99.9-99.9-99.9-99.910.3 84-9.9-99-99.9 -99-99.920.7-9.9
5032519560318 30.5-99.9  0.009999-99.9-99.9-99.9-99.9 9.5 78-9.9-99-99.9 -99-99.919.5-9.9
5032519560319 31.8-99.9  0.719999-99.9-99.9-99.9-99.9 9.0 74-9.9-99-99.9 -99-99.918.6-9.9
5032519560320 28.6-99.9  0.009999-99.9-99.9-99.9-99.9 5.0 41-9.9-99-99.9 -99-99.912.8-9.9
5032519560321 30.2-99.9  4.519999-99.9-99.9-99.9-99.9 9.8 81-9.9-99-99.9 -99-99.919.5-9.9
5032519560322 22.2-99.9  0.319999-99.9-99.9-99.9-99.9 1.0  8-9.9-99-99.9 -99-99.9 6.9-9.9
5032519560323 22.6-99.9  0.009999-99.9-99.9-99.9-99.910.1 84-9.9-99-99.9 -99-99.919.7-9.9
5032519560324 24.3-99.9  0.009999-99.9-99.9-99.9-99.9 6.1 51-9.9-99-99.9 -99-99.914.0-9.9
5032519560325 25.6-99.9  0.009999-99.9-99.9-99.9-99.9 5.3 44-9.9-99-99.9 -99-99.912.7-9.9
5032519560326 18.2-99.9  0.009999-99.9-99.9-99.9-99.9 4.7 39-9.9-99-99.9 -99-99.911.8-9.9
5032519560327 21.3-99.9  0.009999-99.9-99.9-99.9-99.9 6.2 52-9.9-99-99.9 -99-99.913.8-9.9
5032519560328 26.2-99.9  0.009999-99.9-99.9-99.9-99.9 9.3 79-9.9-99-99.9 -99-99.918.1-9.9
5032519560329 28.0-99.9 13.919999-99.9-99.9-99.9-99.9 9.7 82-9.9-99-99.9 -99-99.918.4-9.9
5032519560330 19.9-99.9  2.519999-99.9-99.9-99.9-99.9 1.5 12-9.9-99-99.9 -99-99.9 7.1-9.9
5032519560331 18.0-99.9  0.009999-99.9-99.9-99.9-99.910.3 88-9.9-99-99.9 -99-99.919.0-9.9
5032519560401 21.3-99.9  0.009999-99.9-99.9-99.9-99.9 4.5 38-9.9-99-99.9 -99-99.911.0-9.9
5032519560402 21.4-99.9  0.009999-99.9-99.9-99.9-99.9 7.3 62-9.9-99-99.9 -99-99.914.7-9.9
5032519560403 18.3-99.9  0.009999-99.9-99.9-99.9-99.9 5.2 44-9.9-99-99.9 -99-99.911.8-9.9
