5285020171029 11.4  2.7  4.019999-99.9-99.9-99.9-99.9-9.9 99 7.9 83  3.5 -99-99.9-9.9-9.9
5285020171030 15.2  4.2  0.819999-99.9-99.9-99.9-99.9-9.9 99 9.3 83  5.9 -99-99.9-9.9-9.9
5285020171031 10.7  5.7  4.019999-99.9-99.9-99.9-99.9-9.9 9910.8100  8.0 -99-99.9-9.9-9.9
5285020171101 18.7  6.6  0.819999-99.9-99.9-99.9-99.9-9.9 9910.0 83  6.9 -99-99.9-9.9-9.9
5285020171102 18.4  3.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.7 77  6.4 -99-99.9-9.9-9.9
5285020171103 20.2  2.2  0.219999-99.9-99.9-99.9-99.9-9.9 99 8.6 69  4.8 -99-99.9-9.9-9.9
5285020171104 19.3  2.8 17.019999-99.9-99.9-99.9-99.9-9.9 99 9.7 77  6.4 -99-99.9-9.9-9.9
5285020171105 16.8  7.3  1.019999-99.9-99.9-99.9-99.9-9.9 9912.3 98  9.8 -99-99.9-9.9-9.9
5285020171106 22.7  8.4  0.219999-99.9-99.9-99.9-99.9-9.9 9912.4 78 10.1 -99-99.9-9.9-9.9
5285020171107 20.9  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 9912.0 76  9.5 -99-99.9-9.9-9.9
5285020171108 22.5  1.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 57  3.5 -99-99.9-9.9-9.9
5285020171109 20.1  2.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 69  7.1 -99-99.9-9.9-9.9
5285020171110 23.6  2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.3 50  4.1 -99-99.9-9.9-9.9
5285020171111 27.0  3.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 52  5.3 -99-99.9-9.9-9.9
5285020171112 22.7 12.6  0.009999-99.9-99.9-99.9-99.9-9.9 9913.5 67 11.3 -99-99.9-9.9-9.9
5285020171113 27.8 10.3  0.009999-99.9-99.9-99.9-99.9-9.9 9912.5 55 10.0 -99-99.9-9.9-9.9
5285020171114 20.8  3.8  1.019999-99.9-99.9-99.9-99.9-9.9 99 7.9 49  3.6 -99-99.9-9.9-9.9
5285020171115 17.7  3.8  0.519999-99.9-99.9-99.9-99.9-9.9 99 8.8 66  5.0 -99-99.9-9.9-9.9
5285020171116 22.0  9.0  3.019999-99.9-99.9-99.9-99.9-9.9 9910.4 79  7.3 -99-99.9-9.9-9.9
5285020171117 17.2  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 62  1.8 -99-99.9-9.9-9.9
5285020171118 19.6  1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 69  5.0 -99-99.9-9.9-9.9
5285020171119 17.4  1.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.2 55  2.2 -99-99.9-9.9-9.9
5285020171120 21.4 -0.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.2 48  2.1 -99-99.9-9.9-9.9
5285020171121 22.1  1.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 56  4.9 -99-99.9-9.9-9.9
5285020171122 23.8  3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 53  4.4 -99-99.9-9.9-9.9
5285020171123 21.9  2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 45  2.4 -99-99.9-9.9-9.9
5285020171124 23.6  1.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 47  3.1 -99-99.9-9.9-9.9
5285020171125 27.9  4.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.9 51  6.8 -99-99.9-9.9-9.9
5285020171126 23.4  5.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 49  5.0 -99-99.9-9.9-9.9
5285020171127 29.2  2.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 45  3.9 -99-99.9-9.9-9.9
5285020171128 33.0  6.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.5 47  6.0 -99-99.9-9.9-9.9
5285020171129 24.5  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 44  4.4 -99-99.9-9.9-9.9
5285020171130 26.1  4.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 49  5.2 -99-99.9-9.9-9.9
5285020171201 29.8  4.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 46  6.3 -99-99.9-9.9-9.9
5285020171202 31.4  8.0  0.009999-99.9-99.9-99.9-99.9-9.9 9912.5 52 10.1 -99-99.9-9.9-9.9
5285020171203 26.0 11.0  0.009999-99.9-99.9-99.9-99.9-9.9 9912.7 58 10.2 -99-99.9-9.9-9.9
5285020171204 31.3  6.5  0.009999-99.9-99.9-99.9-99.9-9.9 9910.4 41  7.4 -99-99.9-9.9-9.9
5285020171205 33.4  9.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8 45  9.3 -99-99.9-9.9-9.9
5285020171206 30.3  7.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.5 42  6.2 -99-99.9-9.9-9.9
5285020171207 27.6  6.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 47  5.8 -99-99.9-9.9-9.9
5285020171208 25.4  6.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.5 50  6.2 -99-99.9-9.9-9.9
5285020171209 23.0  7.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 57  7.1 -99-99.9-9.9-9.9
5285020171210 32.3  7.5  0.009999-99.9-99.9-99.9-99.9-9.9 9912.6 59 10.3 -99-99.9-9.9-9.9
5285020171211 29.6 10.1-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9 61-99.9 -99-99.9-9.9-9.9
5285020171218-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020171219 26.8  5.2  0.219999-99.9-99.9-99.9-99.9-9.9 9910.7 51  7.9 -99-99.9-9.9-9.9
5285020171220 22.6 10.2  0.009999-99.9-99.9-99.9-99.9-9.9 9910.9 48  7.6 -99-99.9-9.9-9.9
5285020171221 18.2  4.5  4.019999-99.9-99.9-99.9-99.9-9.9 99 8.7 54  4.8 -99-99.9-9.9-9.9
5285020171222 16.3  7.1  0.519999-99.9-99.9-99.9-99.9-9.9 99 9.6 78  6.2 -99-99.9-9.9-9.9
5285020171223 22.2  0.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 59  3.5 -99-99.9-9.9-9.9
5285020171224 20.7  6.0  0.819999-99.9-99.9-99.9-99.9-9.9 9911.9 74  9.3 -99-99.9-9.9-9.9
5285020171225 24.2 12.3  0.819999-99.9-99.9-99.9-99.9-9.9 9914.7 73 12.7 -99-99.9-9.9-9.9
5285020171226 23.9  8.9  0.009999-99.9-99.9-99.9-99.9-9.9 9911.3 62  8.6 -99-99.9-9.9-9.9
5285020171227 27.6  7.2  0.009999-99.9-99.9-99.9-99.9-9.9 9911.3 58  8.5 -99-99.9-9.9-9.9
5285020171228 20.6 14.2  1.219999-99.9-99.9-99.9-99.9-9.9 9916.7 83 14.7 -99-99.9-9.9-9.9
5285020171229 18.5 12.9 12.219999-99.9-99.9-99.9-99.9-9.9 9915.6 84 13.3 -99-99.9-9.9-9.9
5285020171230 22.0  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 52  5.4 -99-99.9-9.9-9.9
5285020171231 24.5  2.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 56  5.1 -99-99.9-9.9-9.9
5285020180101 22.7  4.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 56  5.6 -99-99.9-9.9-9.9
5285020180102 23.6  7.6 10.519999-99.9-99.9-99.9-99.9-9.9 9912.1 68  9.7 -99-99.9-9.9-9.9
5285020180103 25.0 12.0 20.519999-99.9-99.9-99.9-99.9-9.9 9914.4 86 12.3 -99-99.9-9.9-9.9
5285020180104 20.1 10.1  7.519999-99.9-99.9-99.9-99.9-9.9 9910.6 77  7.7 -99-99.9-9.9-9.9
5285020180105 21.7  6.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.7 65  6.4 -99-99.9-9.9-9.9
5285020180106 21.7  6.9  0.009999-99.9-99.9-99.9-99.9-9.9 9913.1 78 10.8 -99-99.9-9.9-9.9
5285020180107 29.8 12.5  0.009999-99.9-99.9-99.9-99.9-9.9 9914.7 67 12.6 -99-99.9-9.9-9.9
5285020180108 35.8  8.5  0.009999-99.9-99.9-99.9-99.9-9.9 9912.3 52  9.9 -99-99.9-9.9-9.9
5285020180109 29.9 11.2  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 59 12.4 -99-99.9-9.9-9.9
5285020180110 34.1 11.7  0.009999-99.9-99.9-99.9-99.9-9.9 9915.1 55 13.0 -99-99.9-9.9-9.9
5285020180111 33.1  8.9  0.009999-99.9-99.9-99.9-99.9-9.9 9911.5 47  8.9 -99-99.9-9.9-9.9
5285020180112 25.3 10.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 45  6.2 -99-99.9-9.9-9.9
5285020180113 28.3  2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.3 45  4.2 -99-99.9-9.9-9.9
5285020180114 32.5  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 53  7.2 -99-99.9-9.9-9.9
5285020180115 29.6  7.6  0.009999-99.9-99.9-99.9-99.9-9.9 9910.6 54  7.7 -99-99.9-9.9-9.9
5285020180116 27.2  6.2  0.009999-99.9-99.9-99.9-99.9-9.9 9910.0 55  7.0 -99-99.9-9.9-9.9
5285020180117 27.3 10.7  0.009999-99.9-99.9-99.9-99.9-9.9 9912.1 61  9.8 -99-99.9-9.9-9.9
5285020180118 29.9  9.3  0.009999-99.9-99.9-99.9-99.9-9.9 9912.1 54  9.7 -99-99.9-9.9-9.9
5285020180119 32.4  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 9913.4 53 11.2 -99-99.9-9.9-9.9
5285020180120 34.8 12.1  0.009999-99.9-99.9-99.9-99.9-9.9 9915.9 60 13.9 -99-99.9-9.9-9.9
5285020180121 34.9 14.5  0.009999-99.9-99.9-99.9-99.9-9.9 9913.2 48 10.6 -99-99.9-9.9-9.9
5285020180122 30.1  7.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.2 44  5.7 -99-99.9-9.9-9.9
5285020180123 27.1  6.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 52  5.2 -99-99.9-9.9-9.9
5285020180124 32.2  4.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 57  6.6 -99-99.9-9.9-9.9
5285020180125 33.5  9.1  0.009999-99.9-99.9-99.9-99.9-9.9 9911.7 51  9.3 -99-99.9-9.9-9.9
5285020180126 28.9  9.5-99.999999-99.9-99.9-99.9-99.9-9.9 9910.9 62  7.7 -99-99.9-9.9-9.9
5285020180127 25.5  5.9-99.999999-99.9-99.9-99.9-99.9-9.9 9910.3 63  7.3 -99-99.9-9.9-9.9
5285020180128 28.3  5.5-99.999999-99.9-99.9-99.9-99.9-9.9 99 9.8 59  6.7 -99-99.9-9.9-9.9
5285020180129 32.5  6.0-99.999999-99.9-99.9-99.9-99.9-9.9 9910.4 56  7.5 -99-99.9-9.9-9.9
5285020180130 23.3 10.5-99.999999-99.9-99.9-99.9-99.9-9.9 99 8.5 46  4.3 -99-99.9-9.9-9.9
5285020180131 30.3  3.2-99.999999-99.9-99.9-99.9-99.9-9.9 99 7.8 48  3.4 -99-99.9-9.9-9.9
5285020180201 34.6  9.3-99.999999-99.9-99.9-99.9-99.9-9.9 9911.6 50  8.8 -99-99.9-9.9-9.9
5285020180202 38.8 12.8  0.009999-99.9-99.9-99.9-99.9-9.9 9914.1 53 12.0 -99-99.9-9.9-9.9
5285020180203 35.8 12.1  0.009999-99.9-99.9-99.9-99.9-9.9 9913.1 53 10.8 -99-99.9-9.9-9.9
5285020180204 35.6 10.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.6 52  9.1 -99-99.9-9.9-9.9
5285020180205 37.6 10.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.8 49  8.1 -99-99.9-9.9-9.9
5285020180206 26.6 13.6-99.999999-99.9-99.9-99.9-99.9-9.9 9911.2 58  8.5 -99-99.9-9.9-9.9
5285020180207 28.6  8.4-99.999999-99.9-99.9-99.9-99.9-9.9 9910.3 54  7.3 -99-99.9-9.9-9.9
5285020180208 23.2 11.8-99.999999-99.9-99.9-99.9-99.9-9.9 99 9.8 52  6.6 -99-99.9-9.9-9.9
5285020180209 20.5  7.6-99.999999-99.9-99.9-99.9-99.9-9.9 99 9.3 63  5.8 -99-99.9-9.9-9.9
5285020180210 23.2  5.0-99.999999-99.9-99.9-99.9-99.9-9.9 99 8.2 58  4.1 -99-99.9-9.9-9.9
5285020180211 27.3  2.6-99.999999-99.9-99.9-99.9-99.9-9.9 99 8.3 57  4.2 -99-99.9-9.9-9.9
5285020180212 31.4  7.1-99.999999-99.9-99.9-99.9-99.9-9.9 99 9.7 51  6.5 -99-99.9-9.9-9.9
5285020180213 36.8  8.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.5 52  7.6 -99-99.9-9.9-9.9
5285020180214 33.0  9.2  0.009999-99.9-99.9-99.9-99.9-9.9 9910.7 45  7.6 -99-99.9-9.9-9.9
5285020180215 35.7 12.2  0.009999-99.9-99.9-99.9-99.9-9.9 9913.0 54 10.7 -99-99.9-9.9-9.9
5285020180216 33.5 11.0  0.009999-99.9-99.9-99.9-99.9-9.9 9912.4 49  9.9 -99-99.9-9.9-9.9
5285020180217 33.2 15.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.3 55 12.1 -99-99.9-9.9-9.9
5285020180218 26.5 12.3  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 50  8.5 -99-99.9-9.9-9.9
5285020180219 25.0  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 56  4.5 -99-99.9-9.9-9.9
5285020180220 27.3  4.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.6 56  4.7 -99-99.9-9.9-9.9
5285020180221 24.7  9.4-99.999999-99.9-99.9-99.9-99.9-9.9 9912.9 81 10.4 -99-99.9-9.9-9.9
5285020180222 20.7  8.1-99.999999-99.9-99.9-99.9-99.9-9.9 9912.6 76 10.4 -99-99.9-9.9-9.9
5285020180223 30.3  7.9-99.999999-99.9-99.9-99.9-99.9-9.9 9912.0 58  9.6 -99-99.9-9.9-9.9
5285020180224 32.0  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 9912.3 59 10.0 -99-99.9-9.9-9.9
5285020180225 31.4 10.0  0.009999-99.9-99.9-99.9-99.9-9.9 9913.1 60 11.0 -99-99.9-9.9-9.9
5285020180226 30.9 11.4  0.009999-99.9-99.9-99.9-99.9-9.9 9913.0 57 10.9 -99-99.9-9.9-9.9
5285020180227 31.8  9.7-99.999999-99.9-99.9-99.9-99.9-9.9 9913.6 58 11.0 -99-99.9-9.9-9.9
5285020180228-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020180301 29.9 20.7-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9 26-99.9 -99-99.9-9.9-9.9
5285020180302 29.6  8.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.5 60  9.0 -99-99.9-9.9-9.9
5285020180303 29.1  6.9  1.819999-99.9-99.9-99.9-99.9-9.9 9910.8 58  8.0 -99-99.9-9.9-9.9
5285020180304 23.5 11.1  0.009999-99.9-99.9-99.9-99.9-9.9 9910.4 58  6.8 -99-99.9-9.9-9.9
5285020180305 26.9  5.5-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9 41-99.9 -99-99.9-9.9-9.9
5285020180306-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020180307 33.3 21.4-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9 26-99.9 -99-99.9-9.9-9.9
5285020180308 28.8 14.4 12.819999-99.9-99.9-99.9-99.9-9.9 9914.3 62 12.2 -99-99.9-9.9-9.9
5285020180309 15.0  8.7  2.219999-99.9-99.9-99.9-99.9-9.9 9911.9 88  9.5 -99-99.9-9.9-9.9
5285020180310 19.9  2.2  4.519999-99.9-99.9-99.9-99.9-9.9 99 8.9 72  5.2 -99-99.9-9.9-9.9
5285020180311 23.3  6.3  5.819999-99.9-99.9-99.9-99.9-9.9 9910.9 68  8.2 -99-99.9-9.9-9.9
5285020180312 16.1  8.4  3.019999-99.9-99.9-99.9-99.9-9.9 9910.3 84  7.3 -99-99.9-9.9-9.9
5285020180313 15.9  4.6  5.519999-99.9-99.9-99.9-99.9-9.9 99 9.8 73  6.6 -99-99.9-9.9-9.9
5285020180314 17.1  6.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 71  4.5 -99-99.9-9.9-9.9
5285020180315 20.1  3.1  7.819999-99.9-99.9-99.9-99.9-9.9 99 8.5 49  4.4 -99-99.9-9.9-9.9
5285020180316 15.9  8.1  6.819999-99.9-99.9-99.9-99.9-9.9 9911.1 77  8.4 -99-99.9-9.9-9.9
5285020180317 18.6  4.8  0.819999-99.9-99.9-99.9-99.9-9.9 99 9.7 80  6.5 -99-99.9-9.9-9.9
5285020180318 20.0  3.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 74  4.8 -99-99.9-9.9-9.9
5285020180319 19.6  6.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.9 74  6.8 -99-99.9-9.9-9.9
5285020180320 20.3  4.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 66  3.5 -99-99.9-9.9-9.9
5285020180321 17.3  2.5-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9 33-99.9 -99-99.9-9.9-9.9
5285020180322-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020180323-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020180324-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020180325-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020180326-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020180327-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020180328-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020180329-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020180330-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020180331-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020180401-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020180402-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5285020180403 19.4 14.5-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9 58-99.9 -99-99.9-9.9-9.9
5285020180404 15.7  6.1  0.519999-99.9-99.9-99.9-99.9-9.9 9910.9 87  7.6 -99-99.9-9.9-9.9
5285020180405 12.6  3.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 77  2.8 -99-99.9-9.9-9.9
5285020180406 13.1 -2.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.8 83  1.2 -99-99.9-9.9-9.9
5285020180407 13.5 -0.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 81  3.8 -99-99.9-9.9-9.9
5285020180408 18.9  3.8  7.819999-99.9-99.9-99.9-99.9-9.9 99 9.8 78  6.6 -99-99.9-9.9-9.9
5285020180409 15.4  9.8 27.819999-99.9-99.9-99.9-99.9-9.9 9913.4 91 11.2 -99-99.9-9.9-9.9
5285020180410 11.4  5.6 14.019999-99.9-99.9-99.9-99.9-9.9 9910.2100  7.1 -99-99.9-9.9-9.9
5285020180411 11.0  3.4  2.819999-99.9-99.9-99.9-99.9-9.9 99 8.4 91  4.4 -99-99.9-9.9-9.9
5285020180412 14.3  1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.8 84  3.3 -99-99.9-9.9-9.9
5285020180413 14.0 -1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 87  4.1 -99-99.9-9.9-9.9
5285020180414 15.8  2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.7 93  6.5 -99-99.9-9.9-9.9
5285020180415 20.1  4.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.2 85  8.5 -99-99.9-9.9-9.9
5285020180416 19.3  7.1  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 62  7.0 -99-99.9-9.9-9.9
5285020180417 15.7  1.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.8 78  3.3 -99-99.9-9.9-9.9
5285020180418 16.3  1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.9 88  6.5 -99-99.9-9.9-9.9
5285020180419 20.0  8.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8 70  9.4 -99-99.9-9.9-9.9
5285020180420 20.0 11.3  0.819999-99.9-99.9-99.9-99.9-9.9 9912.7 84 10.2 -99-99.9-9.9-9.9
5285020180421 18.8  2.4 15.519999-99.9-99.9-99.9-99.9-9.9 99 9.5 75  6.0 -99-99.9-9.9-9.9
5285020180422 14.5  4.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.6 79  4.5 -99-99.9-9.9-9.9
5285020180423 12.3 -1.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 88  1.7 -99-99.9-9.9-9.9
5285020180424 13.0 -1.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 86  2.2 -99-99.9-9.9-9.9
5285020180425 17.4 -0.4  6.519999-99.9-99.9-99.9-99.9-9.9 99 8.7 72  4.6 -99-99.9-9.9-9.9
5285020180426 18.8  6.6 22.219999-99.9-99.9-99.9-99.9-9.9 9910.8100  8.1 -99-99.9-9.9-9.9
5285020180427 10.7  3.1  0.219999-99.9-99.9-99.9-99.9-9.9 99 8.6 90  4.7 -99-99.9-9.9-9.9
5285020180428  8.9  0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 94  2.9 -99-99.9-9.9-9.9
5285020180429 11.4 -1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.1 89  1.9 -99-99.9-9.9-9.9
5285020180430 10.5 -2.4  4.519999-99.9-99.9-99.9-99.9-9.9 99 7.0 81  1.6 -99-99.9-9.9-9.9
5285020180501  8.9  4.5  4.019999-99.9-99.9-99.9-99.9-9.9 99 9.9100  6.7 -99-99.9-9.9-9.9
5285020180502 11.4  6.7 10.519999-99.9-99.9-99.9-99.9-9.9 9911.1 99  8.4 -99-99.9-9.9-9.9
5285020180503 12.0  3.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 90  5.3 -99-99.9-9.9-9.9
5285020180504  9.9 -1.7  0.219999-99.9-99.9-99.9-99.9-9.9 99 6.7 89  1.1 -99-99.9-9.9-9.9
5285020180505  9.7 -1.7  0.219999-99.9-99.9-99.9-99.9-9.9 99 7.2 89  2.0 -99-99.9-9.9-9.9
5285020180506-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9 93-99.9 -99-99.9-9.9-9.9
5285020180507 14.0  2.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 91  6.8 -99-99.9-9.9-9.9
5285020180508 17.2  6.8  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8 92  9.3 -99-99.9-9.9-9.9
5285020180509 13.5  3.8  0.009999-99.9-99.9-99.9-99.9-9.9 9911.0 96  8.2 -99-99.9-9.9-9.9
5285020180510 13.0  7.2  0.219999-99.9-99.9-99.9-99.9-9.9 9911.8 97  9.4 -99-99.9-9.9-9.9
5285020180511 17.2  5.2  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 81  7.3 -99-99.9-9.9-9.9
5285020180512 13.1  6.5  0.519999-99.9-99.9-99.9-99.9-9.9 9910.3 89  7.3 -99-99.9-9.9-9.9
5285020180513 15.1  6.1  8.019999-99.9-99.9-99.9-99.9-9.9 9910.7 91  7.9 -99-99.9-9.9-9.9
5285020180514-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99 8.4 87  4.4 -99-99.9-9.9-9.9
5285020180515-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99 7.4 89  2.5 -99-99.9-9.9-9.9
5285020180516  8.4 -0.8  4.519999-99.9-99.9-99.9-99.9-9.9 99 7.7 92  3.0 -99-99.9-9.9-9.9
5285020180517  9.3  2.9  1.019999-99.9-99.9-99.9-99.9-9.9 99 9.4100  5.9 -99-99.9-9.9-9.9
5285020180518 14.2  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 9910.0 95  6.8 -99-99.9-9.9-9.9
5285020180519 11.2  2.8  1.519999-99.9-99.9-99.9-99.9-9.9 99 9.5 95  6.1 -99-99.9-9.9-9.9
5285020180520 13.5  2.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 85  4.3 -99-99.9-9.9-9.9
5285020180521  8.9 -1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 90  1.7 -99-99.9-9.9-9.9
5285020180522  8.6 -1.1  0.519999-99.9-99.9-99.9-99.9-9.9 99 7.1 92  1.9 -99-99.9-9.9-9.9
5285020180523 10.7  1.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.2 92  4.0 -99-99.9-9.9-9.9
5285020180524 16.9  3.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.6 89  7.6 -99-99.9-9.9-9.9
5285020180525 19.2  4.6  9.819999-99.9-99.9-99.9-99.9-9.9 9911.1 86  8.3 -99-99.9-9.9-9.9
5285020180526 10.2  3.2  0.009999-99.9-99.9-99.9-99.9-9.9 9910.0100  6.9 -99-99.9-9.9-9.9
5285020180527  8.9  2.2 16.519999-99.9-99.9-99.9-99.9-9.9 99 8.9 98  5.2 -99-99.9-9.9-9.9
5285020180528 12.2  3.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 94  5.2 -99-99.9-9.9-9.9
5285020180529 12.2  2.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.8 86  3.4 -99-99.9-9.9-9.9
5285020180530  6.8  1.6  1.019999-99.9-99.9-99.9-99.9-9.9 99 7.8 98  3.3 -99-99.9-9.9-9.9
5285020180531  7.0 -1.8  0.219999-99.9-99.9-99.9-99.9-9.9 99 6.3 92  0.4 -99-99.9-9.9-9.9
5285020180601  3.7 -2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 95 -1.0 -99-99.9-9.9-9.9
5285020180602  6.4 -4.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.4 90 -1.7 -99-99.9-9.9-9.9
5285020180603  8.5 -4.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.5 87 -1.4 -99-99.9-9.9-9.9
5285020180604  4.5 -3.6  1.219999-99.9-99.9-99.9-99.9-9.9 99 5.9 97 -0.5 -99-99.9-9.9-9.9
