5292320061107-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320061109-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320061219-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320130828-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320130829 17.2-11.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.8 61 -2.8   6  4.5-9.9-9.9
5292320131010 24.5  1.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 38 -1.8  10  8.0-9.9-9.9
5292320131011 24.5 -0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.0 19-10.0  10  7.7-9.9-9.9
5292320131012 23.9 -8.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.2 10-99.9  10  8.1-9.9-9.9
5292320131013 24.2-10.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.2 12-16.1   8  6.1-9.9-9.9
5292320131014 20.3  3.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.5 24 -5.7   6  4.6-9.9-9.9
5292320131015 19.2  5.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.4 36 -2.8   9  7.6-9.9-9.9
5292320131016 21.1 -8.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.1 15-14.0   5  4.1-9.9-9.9
5292320131017 21.5 -6.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.9 16-15.6   7  5.3-9.9-9.9
5292320131018 22.5 -7.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.7 23-14.1   6  5.2-9.9-9.9
5292320131019 25.7 -1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.4 30 -6.5   5  4.2-9.9-9.9
5292320131020 27.5 -8.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.0  6-99.9  10  7.8-9.9-9.9
5292320131021 26.5 -9.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.2  8-17.6   8  6.2-9.9-9.9
5292320131022 26.7  2.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.8 23 -7.2   9  7.5-9.9-9.9
5292320131023 25.6 -4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.4 15-13.5   9  7.3-9.9-9.9
5292320131024 21.2  1.7  1.019999-99.9-99.9-99.9-99.9-9.9 99 7.3 52  2.1  12  9.7-9.9-9.9
5292320131025 22.3  7.0  4.519999-99.9-99.9-99.9-99.9-9.9 99 8.2 51  3.2   9  6.8-9.9-9.9
5292320131026 25.4 -3.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.7 26 -7.9   8  6.6-9.9-9.9
5292320131027 24.7  2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 39  1.2  11  9.1-9.9-9.9
5292320131028 24.2  2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 49  3.0   9  7.1-9.9-9.9
5292320131029 26.1 -1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.7 29 -6.2   9  6.8-9.9-9.9
5292320131030 24.1 -0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.1 36 -0.2   8  6.0-9.9-9.9
5292320131031 26.1  5.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.1 26 -4.8   9  7.6-9.9-9.9
5292320131101 25.8 -2.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.3 12-13.3   9  6.9-9.9-9.9
5292320131102 24.4 -3.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.7 17-13.3   9  7.0-9.9-9.9
5292320131103 23.9  0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.3 46  0.1   9  7.2-9.9-9.9
5292320131104 23.2  2.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.5 35 -2.0   9  7.1-9.9-9.9
5292320131105 24.6 -0.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.4 26 -4.9   7  5.7-9.9-9.9
5292320131106 26.4 -0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.5 36 -1.8  10  8.4-9.9-9.9
5292320131107 27.2 -0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.4 30 -2.1   8  6.7-9.9-9.9
5292320131108 27.9  2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.5 29 -2.3   6  5.1-9.9-9.9
5292320131109 30.2  0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.3 10-11.3  10  8.2-9.9-9.9
5292320131110 27.8 -2.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.6 11-18.9  11  8.9-9.9-9.9
5292320131111 25.2 -6.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 0.8  5-99.9  12  9.5-9.9-9.9
5292320131112 23.9 -8.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.4 19-15.8   8  6.5-9.9-9.9
5292320131113 25.7  1.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.6 30 -1.7  13 10.3-9.9-9.9
5292320131114 28.1  4.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.5 26 -2.8   8  6.8-9.9-9.9
5292320131115 27.7 -0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.0 28 -5.8   9  7.0-9.9-9.9
5292320131116 27.0  8.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.8 43  3.3  14 11.3-9.9-9.9
5292320131117 28.0  1.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.4 32 -2.6   8  6.4-9.9-9.9
5292320131118 28.4  1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.8 33 -2.4  10  8.1-9.9-9.9
5292320131119 25.5  4.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.2 30 -9.6  13 10.4-9.9-9.9
5292320131120 24.6 -0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.3 15-10.7  10  8.0-9.9-9.9
5292320131121 22.5  0.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.2 38 -2.9  10  8.4-9.9-9.9
5292320131122 21.4  5.0 13.519999-99.9-99.9-99.9-99.9-9.9 99 6.2 38 -0.1  10  8.0-9.9-9.9
5292320131123 21.3  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.2 49  2.0   7  6.0-9.9-9.9
