5284220061107-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5284220151130-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5284220160201 28.5  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 9916.1 64 14.0 -99-99.9-9.9-9.9
5284220160202 33.0 14.3  0.009999-99.9-99.9-99.9-99.9-9.9 9917.0 53 14.8 -99-99.9-9.9-9.9
5284220160203 34.9 15.9  0.009999-99.9-99.9-99.9-99.9-9.9 9917.4 59 15.2 -99-99.9-9.9-9.9
5284220160204 32.9 17.6  0.009999-99.9-99.9-99.9-99.9-9.9 9922.1 68 19.1 -99-99.9-9.9-9.9
5284220160205 22.4 17.5  0.009999-99.9-99.9-99.9-99.9-9.9 9919.9 87 17.4 -99-99.9-9.9-9.9
5284220160206 21.8 16.8  0.009999-99.9-99.9-99.9-99.9-9.9 9920.2 92 17.6 -99-99.9-9.9-9.9
5284220160207 28.5 16.8  0.009999-99.9-99.9-99.9-99.9-9.9 9922.0 86 19.0 -99-99.9-9.9-9.9
5284220160208 33.7 17.0  0.009999-99.9-99.9-99.9-99.9-9.9 9920.0 75 17.3 -99-99.9-9.9-9.9
5284220160209 30.5 12.2  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 56 12.5 -99-99.9-9.9-9.9
5284220160210 33.9 11.9  0.009999-99.9-99.9-99.9-99.9-9.9 9918.2 58 15.8 -99-99.9-9.9-9.9
5284220160211 32.8 19.1  0.009999-99.9-99.9-99.9-99.9-9.9 9923.2 85 19.9 -99-99.9-9.9-9.9
5284220160212 35.8 18.3  0.009999-99.9-99.9-99.9-99.9-9.9 9918.6 52 16.0 -99-99.9-9.9-9.9
5284220160213 26.5 15.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.5 45  7.5 -99-99.9-9.9-9.9
5284220160214 30.9 13.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8 39  9.3 -99-99.9-9.9-9.9
5284220160215 36.1 13.7  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 43 12.4 -99-99.9-9.9-9.9
5284220160216 37.7 18.2  0.009999-99.9-99.9-99.9-99.9-9.9 9921.6 57 18.6 -99-99.9-9.9-9.9
5284220160217 26.6 17.4  0.009999-99.9-99.9-99.9-99.9-9.9 9917.3 67 15.0 -99-99.9-9.9-9.9
5284220160218 34.1 13.2  0.009999-99.9-99.9-99.9-99.9-9.9 9917.2 65 15.0 -99-99.9-9.9-9.9
5284220160219 28.0  8.2  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8 59  9.3 -99-99.9-9.9-9.9
5284220160220 33.5 13.3  0.009999-99.9-99.9-99.9-99.9-9.9 9916.5 51 14.3 -99-99.9-9.9-9.9
5284220160221 37.4 19.5  0.009999-99.9-99.9-99.9-99.9-9.9 9921.4 53 18.5 -99-99.9-9.9-9.9
5284220160222 38.8 20.6  0.009999-99.9-99.9-99.9-99.9-9.9 9925.2 69 21.2 -99-99.9-9.9-9.9
5284220160223 30.4 19.0  0.009999-99.9-99.9-99.9-99.9-9.9 9925.5 85 21.4 -99-99.9-9.9-9.9
5284220160224 24.8 14.5  0.009999-99.9-99.9-99.9-99.9-9.9 9917.1 69 14.2 -99-99.9-9.9-9.9
5284220160225 30.7  9.8  0.009999-99.9-99.9-99.9-99.9-9.9 9913.1 52 10.7 -99-99.9-9.9-9.9
5284220160226 22.9 12.3  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 44  6.6 -99-99.9-9.9-9.9
5284220160227 25.3  9.0  0.009999-99.9-99.9-99.9-99.9-9.9 9911.2 61  8.5 -99-99.9-9.9-9.9
5284220160228 25.2 11.2  0.009999-99.9-99.9-99.9-99.9-9.9 9912.8 62 10.5 -99-99.9-9.9-9.9
5284220160229 26.6  9.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.3 69 12.2 -99-99.9-9.9-9.9
5284220160301 30.5 11.8  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 54 12.5 -99-99.9-9.9-9.9
5284220160302 29.5 12.5  0.009999-99.9-99.9-99.9-99.9-9.9 9914.6 55 12.5 -99-99.9-9.9-9.9
5284220160303 30.2 13.7  0.009999-99.9-99.9-99.9-99.9-9.9 9916.7 64 14.5 -99-99.9-9.9-9.9
5284220160304 25.7 16.4  0.009999-99.9-99.9-99.9-99.9-9.9 9916.7 71 14.6 -99-99.9-9.9-9.9
5284220160305 22.7  9.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.6 64  9.1 -99-99.9-9.9-9.9
5284220160306 31.4  7.3  0.009999-99.9-99.9-99.9-99.9-9.9 9913.2 57 11.0 -99-99.9-9.9-9.9
5284220160307 32.4 14.6  0.009999-99.9-99.9-99.9-99.9-9.9 9917.5 63 15.4 -99-99.9-9.9-9.9
5284220160308 30.8 15.8  0.009999-99.9-99.9-99.9-99.9-9.9 9915.1 59 12.8 -99-99.9-9.9-9.9
5284220160309 19.8  8.9  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 77  8.4 -99-99.9-9.9-9.9
5284220160310 24.6  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 54  6.6 -99-99.9-9.9-9.9
5284220160311 23.0 10.6  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 57  7.2 -99-99.9-9.9-9.9
5284220160312 27.0  3.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 52  6.7 -99-99.9-9.9-9.9
5284220160313 31.3 11.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.6 51 12.5 -99-99.9-9.9-9.9
5284220160314 32.4 16.7  0.009999-99.9-99.9-99.9-99.9-9.9 9917.9 63 15.8 -99-99.9-9.9-9.9
5284220160315 33.6 16.3  0.009999-99.9-99.9-99.9-99.9-9.9 9920.3 72 17.7 -99-99.9-9.9-9.9
5284220160316 32.6 17.7  0.009999-99.9-99.9-99.9-99.9-9.9 9921.3 76 18.5 -99-99.9-9.9-9.9
5284220160317 31.4 19.7  0.009999-99.9-99.9-99.9-99.9-9.9 9918.4 59 15.7 -99-99.9-9.9-9.9
5284220160318 22.7  9.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 45  2.7 -99-99.9-9.9-9.9
5284220160319 26.7  4.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.2 32  0.2 -99-99.9-9.9-9.9
5284220160320 26.8  5.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 36  2.8 -99-99.9-9.9-9.9
5284220160321 29.7 10.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.9 51  9.5 -99-99.9-9.9-9.9
5284220160322 30.1  9.7  0.009999-99.9-99.9-99.9-99.9-9.9 9914.6 67 12.6 -99-99.9-9.9-9.9
5284220160323 36.7 12.4  0.009999-99.9-99.9-99.9-99.9-9.9 9913.5 53 10.9 -99-99.9-9.9-9.9
5284220160324 22.7  7.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.0 49  3.7 -99-99.9-9.9-9.9
5284220160325 24.0  5.1  0.009999-99.9-99.9-99.9-99.9-9.9 9910.6 60  7.7 -99-99.9-9.9-9.9
5284220160326 25.4  9.4  0.009999-99.9-99.9-99.9-99.9-9.9 9913.8 69 11.6 -99-99.9-9.9-9.9
5284220160327 29.0 10.9  0.009999-99.9-99.9-99.9-99.9-9.9 9915.2 69 13.1 -99-99.9-9.9-9.9
5284220160328 33.7 13.7  0.009999-99.9-99.9-99.9-99.9-9.9 9916.5 62 14.4 -99-99.9-9.9-9.9
5284220160329 35.1 12.5  0.009999-99.9-99.9-99.9-99.9-9.9 9915.4 52 13.3 -99-99.9-9.9-9.9
5284220160330 35.9 17.8  0.009999-99.9-99.9-99.9-99.9-9.9 9916.9 48 14.8 -99-99.9-9.9-9.9
5284220160331 27.3 15.2  0.009999-99.9-99.9-99.9-99.9-9.9 9915.0 72 12.9 -99-99.9-9.9-9.9
5284220160401 22.4 12.2  0.009999-99.9-99.9-99.9-99.9-9.9 9913.6 72 11.4 -99-99.9-9.9-9.9
5284220160402 27.1  6.9  0.009999-99.9-99.9-99.9-99.9-9.9 9912.9 76 10.5 -99-99.9-9.9-9.9
5284220160403 23.5  9.9  0.009999-99.9-99.9-99.9-99.9-9.9 9911.0 58  8.2 -99-99.9-9.9-9.9
5284220160404 18.1  8.6  0.009999-99.9-99.9-99.9-99.9-9.9 9913.1 85 10.9 -99-99.9-9.9-9.9
5284220160405 23.3  6.4  0.009999-99.9-99.9-99.9-99.9-9.9 9912.7 82 10.4 -99-99.9-9.9-9.9
5284220160406 27.5  6.7  0.009999-99.9-99.9-99.9-99.9-9.9 9914.4 75 12.3 -99-99.9-9.9-9.9
5284220160407 26.6 13.2  0.009999-99.9-99.9-99.9-99.9-9.9 9913.6 62 11.0 -99-99.9-9.9-9.9
5284220160408 20.8  8.5  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 72  8.5 -99-99.9-9.9-9.9
5284220160409 21.7  6.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.7 68  6.4 -99-99.9-9.9-9.9
5284220160410 20.3  2.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 58  3.5 -99-99.9-9.9-9.9
5284220160411 22.4  3.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 68  5.8 -99-99.9-9.9-9.9
5284220160412 23.7  3.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.6 66  7.7 -99-99.9-9.9-9.9
5284220160413 18.8 14.4  0.009999-99.9-99.9-99.9-99.9-9.9 9917.5 97 15.4 -99-99.9-9.9-9.9
5284220160414 28.4 12.0  0.009999-99.9-99.9-99.9-99.9-9.9 9916.0 71 14.0 -99-99.9-9.9-9.9
5284220160415 25.6 13.7  0.009999-99.9-99.9-99.9-99.9-9.9 9914.7 69 12.5 -99-99.9-9.9-9.9
5284220160416 18.0  4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.6 50  0.6 -99-99.9-9.9-9.9
5284220160417 17.8  1.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.1 62  2.0 -99-99.9-9.9-9.9
5284220160418 22.3 -1.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 65  4.2 -99-99.9-9.9-9.9
5284220160419 23.6  9.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 44  5.2 -99-99.9-9.9-9.9
5284220160420 26.7 11.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 31  1.6 -99-99.9-9.9-9.9
5284220160421 20.4  6.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.0 46 -0.2 -99-99.9-9.9-9.9
5284220160422 13.9  2.1  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 82  6.7 -99-99.9-9.9-9.9
5284220160423 21.3  9.3  0.009999-99.9-99.9-99.9-99.9-9.9 9913.3 82 11.1 -99-99.9-9.9-9.9
5284220160424 13.7  6.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 83  7.1 -99-99.9-9.9-9.9
5284220160425 14.8  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 81  5.6 -99-99.9-9.9-9.9
5284220160426 12.6  5.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 91  6.7 -99-99.9-9.9-9.9
5284220160427 15.0  4.5  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 91  7.0 -99-99.9-9.9-9.9
5284220160428 17.6  2.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 77  5.0 -99-99.9-9.9-9.9
5284220160429 15.1  3.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 82  6.1 -99-99.9-9.9-9.9
5284220160430 16.7  0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.0 77  3.6 -99-99.9-9.9-9.9
5284220160501 19.3  5.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.9 76  6.7 -99-99.9-9.9-9.9
5284220160502 16.8  1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.0 78  3.7 -99-99.9-9.9-9.9
5284220160503 18.9 -1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 69  3.4 -99-99.9-9.9-9.9
5284220160504 17.4  6.2  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 79  7.2 -99-99.9-9.9-9.9
5284220160505 15.8  2.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 83  5.9 -99-99.9-9.9-9.9
5284220160506 14.7  5.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.5 76  6.2 -99-99.9-9.9-9.9
5284220160507 12.4  8.4  0.009999-99.9-99.9-99.9-99.9-9.9 9912.1 96  9.7 -99-99.9-9.9-9.9
5284220160508 12.0  9.4  0.009999-99.9-99.9-99.9-99.9-9.9 9912.7 99 10.4 -99-99.9-9.9-9.9
5284220160509 17.3 10.6  0.009999-99.9-99.9-99.9-99.9-9.9 9913.2 88 11.1 -99-99.9-9.9-9.9
5284220160510 15.2  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 80  7.3 -99-99.9-9.9-9.9
5284220160511 14.5  5.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 80  6.3 -99-99.9-9.9-9.9
5284220160512 17.3  0.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.2 84  5.6 -99-99.9-9.9-9.9
5284220160513 15.4  5.1  0.009999-99.9-99.9-99.9-99.9-9.9 9911.5 90  9.0 -99-99.9-9.9-9.9
5284220160514 17.5  8.9-99.999999-99.9-99.9-99.9-99.9-9.9 9913.5 91 11.1 -99-99.9-9.9-9.9
5284220160515 12.1  8.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.6 87  9.0 -99-99.9-9.9-9.9
5284220160516 12.7  1.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 91  5.3 -99-99.9-9.9-9.9
5284220160517 13.9  0.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.1 90  5.5 -99-99.9-9.9-9.9
5284220160518 14.2 -1.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 83  3.4 -99-99.9-9.9-9.9
5284220160519  8.6  1.1  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1100  7.0 -99-99.9-9.9-9.9
5284220160520 15.2  4.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.7 89  8.0 -99-99.9-9.9-9.9
5284220160521 16.1  2.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 88  6.0 -99-99.9-9.9-9.9
5284220160522 16.8  1.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.2 87  5.5 -99-99.9-9.9-9.9
5284220160523 14.3  2.6  0.009999-99.9-99.9-99.9-99.9-9.9 9910.6 93  7.7 -99-99.9-9.9-9.9
5284220160524 15.7  6.1  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 88  8.4 -99-99.9-9.9-9.9
5284220160525 16.6  3.1  0.009999-99.9-99.9-99.9-99.9-9.9 9911.6 94  9.0 -99-99.9-9.9-9.9
5284220160526 12.8  6.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 84  7.1 -99-99.9-9.9-9.9
5284220160527 15.2  1.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 84  5.1 -99-99.9-9.9-9.9
5284220160528 15.6  3.1  0.009999-99.9-99.9-99.9-99.9-9.9 9911.0 91  8.2 -99-99.9-9.9-9.9
5284220160529 14.5  7.5  0.009999-99.9-99.9-99.9-99.9-9.9 9911.9 96  9.4 -99-99.9-9.9-9.9
5284220160530 11.3  5.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8100  9.4 -99-99.9-9.9-9.9
5284220160531 10.2  9.4  0.009999-99.9-99.9-99.9-99.9-9.9 9912.2100  9.9 -99-99.9-9.9-9.9
5284220160601 12.5  9.9  0.009999-99.9-99.9-99.9-99.9-9.9 9913.6100 11.6 -99-99.9-9.9-9.9
5284220160602 14.1  5.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8 95  9.3 -99-99.9-9.9-9.9
5284220160603 12.2  3.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 91  7.4 -99-99.9-9.9-9.9
5284220160604 13.9  5.7  0.009999-99.9-99.9-99.9-99.9-9.9 9910.4 94  7.5 -99-99.9-9.9-9.9
5284220160605 13.2  3.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.5 92  6.1 -99-99.9-9.9-9.9
5284220160606 14.3  2.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.2 92  5.5 -99-99.9-9.9-9.9
5284220160607 12.1  1.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.8 78  3.3 -99-99.9-9.9-9.9
5284220160608 12.5  0.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.2 85  2.2 -99-99.9-9.9-9.9
5284220160609 10.6  0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 93  4.4 -99-99.9-9.9-9.9
5284220160610 10.7 -0.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.4 80  0.6 -99-99.9-9.9-9.9
5284220160611 16.5 -2.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 82  2.4 -99-99.9-9.9-9.9
5284220160612 17.2 -0.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 77  3.3 -99-99.9-9.9-9.9
5284220160613 15.7  3.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.2 85  5.7 -99-99.9-9.9-9.9
5284220160614 16.8 -1.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.3 85  4.1 -99-99.9-9.9-9.9
5284220160615 16.6  0.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 88  5.8 -99-99.9-9.9-9.9
5284220160616 18.1 -1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 83  4.2 -99-99.9-9.9-9.9
5284220160617 17.2 -0.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 79  3.6 -99-99.9-9.9-9.9
5284220160618 17.1 -0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.5 83  4.3 -99-99.9-9.9-9.9
5284220160619 12.9 -0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.2 86  2.1 -99-99.9-9.9-9.9
5284220160620 14.2 -2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 83  3.3 -99-99.9-9.9-9.9
5284220160621 15.1  2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 89  5.3 -99-99.9-9.9-9.9
5284220160622 14.5 -1.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 86  4.6 -99-99.9-9.9-9.9
5284220160623 15.8  2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 88  5.2 -99-99.9-9.9-9.9
5284220160624 14.2 -0.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 84  2.7 -99-99.9-9.9-9.9
5284220160625 15.1 -3.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.2 79  0.1 -99-99.9-9.9-9.9
