5291020130824-99.9-99.9 28.819999-99.9-99.9-99.9-99.9-9.9 9910.7100  7.9 -99-99.9-9.9-9.9
5291020131030 30.6 19.1  0.009999-99.9-99.9-99.9-99.9-9.9 9918.6 55 16.3 -99-99.9-9.9-9.9
5291020131031 31.0 21.2  0.009999-99.9-99.9-99.9-99.9-9.9 9920.7 61 18.0 -99-99.9-9.9-9.9
5291020131101 30.6 20.2  0.009999-99.9-99.9-99.9-99.9-9.9 9920.1 60 17.6 -99-99.9-9.9-9.9
5291020131102 27.6 20.3 14.519999-99.9-99.9-99.9-99.9-9.9 9922.1 89 19.0 -99-99.9-9.9-9.9
5291020131103 26.2 16.0  0.519999-99.9-99.9-99.9-99.9-9.9 9919.7 80 17.1 -99-99.9-9.9-9.9
5291020131104 25.4 13.3  0.009999-99.9-99.9-99.9-99.9-9.9 9914.3 60 12.1 -99-99.9-9.9-9.9
5291020131105 28.0 12.6  0.009999-99.9-99.9-99.9-99.9-9.9 9914.3 56 12.2 -99-99.9-9.9-9.9
5291020131106 29.7 15.0  0.009999-99.9-99.9-99.9-99.9-9.9 9917.2 60 15.0 -99-99.9-9.9-9.9
5291020131107 29.6 15.0  0.009999-99.9-99.9-99.9-99.9-9.9 9916.5 58 14.5 -99-99.9-9.9-9.9
5291020131108 31.0 17.6  0.219999-99.9-99.9-99.9-99.9-9.9 9917.7 56 15.5 -99-99.9-9.9-9.9
5291020131109 33.4 18.9  0.009999-99.9-99.9-99.9-99.9-9.9 9920.0 51 17.5 -99-99.9-9.9-9.9
5291020131110 33.9 24.4  0.009999-99.9-99.9-99.9-99.9-9.9 9922.7 53 19.5 -99-99.9-9.9-9.9
5291020131111 32.8 18.9  1.019999-99.9-99.9-99.9-99.9-9.9 9923.5 81 20.0 -99-99.9-9.9-9.9
5291020131112 26.7 14.8  0.219999-99.9-99.9-99.9-99.9-9.9 9915.4 59 13.3 -99-99.9-9.9-9.9
5291020131113 30.0 14.5  0.009999-99.9-99.9-99.9-99.9-9.9 9913.4 45 11.2 -99-99.9-9.9-9.9
5291020131114 33.0 18.9  0.009999-99.9-99.9-99.9-99.9-9.9 9911.2 31  8.5 -99-99.9-9.9-9.9
5291020131115 34.9 18.3  6.019999-99.9-99.9-99.9-99.9-9.9 9918.7 62 16.1 -99-99.9-9.9-9.9
5291020131116 25.7 16.5  0.009999-99.9-99.9-99.9-99.9-9.9 9917.1 72 14.8 -99-99.9-9.9-9.9
5291020131117 30.5 12.5  0.219999-99.9-99.9-99.9-99.9-9.9 9917.3 60 15.0 -99-99.9-9.9-9.9
5291020131118 32.0 19.4  0.009999-99.9-99.9-99.9-99.9-9.9 9922.3 62 19.2 -99-99.9-9.9-9.9
5291020131119 29.6 19.3  2.219999-99.9-99.9-99.9-99.9-9.9 9923.5 79 20.0 -99-99.9-9.9-9.9
5291020131120 25.6 18.8  0.009999-99.9-99.9-99.9-99.9-9.9 9924.3 91 20.6 -99-99.9-9.9-9.9
5291020131121 28.7 20.7  0.219999-99.9-99.9-99.9-99.9-9.9 9924.2 85 20.5 -99-99.9-9.9-9.9
5291020131122 26.8 17.6  0.009999-99.9-99.9-99.9-99.9-9.9 9920.5 77 17.9 -99-99.9-9.9-9.9
5291020131123 30.5 16.1  0.009999-99.9-99.9-99.9-99.9-9.9 9919.3 64 16.9 -99-99.9-9.9-9.9
5291020131124 30.5 18.1  0.009999-99.9-99.9-99.9-99.9-9.9 9919.2 59 16.8 -99-99.9-9.9-9.9
5291020131125 32.2 18.7  0.009999-99.9-99.9-99.9-99.9-9.9 9920.3 63 17.7 -99-99.9-9.9-9.9
5291020131126 30.9 21.0  0.009999-99.9-99.9-99.9-99.9-9.9 9922.8 69 19.5 -99-99.9-9.9-9.9
5291020131127 32.7 20.5  0.009999-99.9-99.9-99.9-99.9-9.9 9923.3 71 19.9 -99-99.9-9.9-9.9
5291020131128 27.7 18.8  2.519999-99.9-99.9-99.9-99.9-9.9 9924.6 93 20.8 -99-99.9-9.9-9.9
5291020131129 28.4 18.8  0.219999-99.9-99.9-99.9-99.9-9.9 9924.5 93 20.7 -99-99.9-9.9-9.9
5291020131130 28.6 19.8  0.009999-99.9-99.9-99.9-99.9-9.9 9924.7 83 20.9 -99-99.9-9.9-9.9
5291020131201 26.4 18.2  2.019999-99.9-99.9-99.9-99.9-9.9 9923.6 91 20.1 -99-99.9-9.9-9.9
5291020131202 28.8 17.2-99.999999-99.9-99.9-99.9-99.9-9.9 9923.9 81 20.3 -99-99.9-9.9-9.9
5291020131203-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 9923.4 76 20.0 -99-99.9-9.9-9.9
5291020131204 31.9 19.3  0.009999-99.9-99.9-99.9-99.9-9.9 9924.4 69 20.6 -99-99.9-9.9-9.9
5291020131205 27.6 18.8  6.519999-99.9-99.9-99.9-99.9-9.9 9925.1 94 21.1 -99-99.9-9.9-9.9
5291020131206 23.8 17.3  0.519999-99.9-99.9-99.9-99.9-9.9 9923.2 96 19.8 -99-99.9-9.9-9.9
5291020131207 32.9 19.8  0.219999-99.9-99.9-99.9-99.9-9.9 9923.4 70 20.0 -99-99.9-9.9-9.9
5291020131208 32.9 19.0  0.009999-99.9-99.9-99.9-99.9-9.9 9923.8 65 20.3 -99-99.9-9.9-9.9
