5281419991231-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5281420061107-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5281420101012-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5281420101013 18.6 14.0 92.219999-99.9-99.9-99.9-99.9-9.9 9916.6 88 14.4 -99-99.9-9.9-9.9
5281420110206 27.6 13.1 46.319999-99.9-99.9-99.9-99.9-9.9 9913.4 54 11.2 -99-99.9-9.9-9.9
5281420110207 20.5 16.4 55.219999-99.9-99.9-99.9-99.9-9.9 9920.8100 18.0 -99-99.9-9.9-9.9
5281420110208 26.5 17.0  0.319999-99.9-99.9-99.9-99.9-9.9 9920.8 83 18.1 -99-99.9-9.9-9.9
5281420110209 27.4 14.6  0.009999-99.9-99.9-99.9-99.9-9.9 9919.5 77 17.0 -99-99.9-9.9-9.9
5281420110210 27.0 15.0  0.009999-99.9-99.9-99.9-99.9-9.9 9918.4 75 16.1 -99-99.9-9.9-9.9
5281420110211 29.8 15.1  0.009999-99.9-99.9-99.9-99.9-9.9 9920.8 73 18.1 -99-99.9-9.9-9.9
5281420110212 30.7 18.0  6.319999-99.9-99.9-99.9-99.9-9.9 9922.3 76 19.2 -99-99.9-9.9-9.9
5281420110213 31.8 16.2  0.009999-99.9-99.9-99.9-99.9-9.9 9919.9 66 17.4 -99-99.9-9.9-9.9
5281420110214 31.6 14.5  0.009999-99.9-99.9-99.9-99.9-9.9 9919.4 71 16.9 -99-99.9-9.9-9.9
5281420110215 30.9 14.5  0.009999-99.9-99.9-99.9-99.9-9.9 9917.9 61 15.7 -99-99.9-9.9-9.9
5281420110216 31.4 14.2  0.009999-99.9-99.9-99.9-99.9-9.9 9920.2 67 17.5 -99-99.9-9.9-9.9
5281420110217 35.7 19.9 14.819999-99.9-99.9-99.9-99.9-9.9 9925.6 66 21.4 -99-99.9-9.9-9.9
5281420110218 27.1 19.2  0.009999-99.9-99.9-99.9-99.9-9.9 9924.1 85 20.4 -99-99.9-9.9-9.9
5281420110219 26.2 18.2  0.009999-99.9-99.9-99.9-99.9-9.9 9922.6 89 19.5 -99-99.9-9.9-9.9
5281420110220 29.9 18.9  0.009999-99.9-99.9-99.9-99.9-9.9 9923.9 85 20.3 -99-99.9-9.9-9.9
5281420110221 31.4 19.0  0.009999-99.9-99.9-99.9-99.9-9.9 9923.8 47 20.3 -99-99.9-9.9-9.9
5281420110222 30.6 18.9 41.619999-99.9-99.9-99.9-99.9-9.9 9925.0 88 21.1 -99-99.9-9.9-9.9
5281420110223 27.7 20.4  0.009999-99.9-99.9-99.9-99.9-9.9 9925.3 91 21.2 -99-99.9-9.9-9.9
5281420110224 27.1 18.4  0.009999-99.9-99.9-99.9-99.9-9.9 9922.2 84 19.2 -99-99.9-9.9-9.9
5281420110225 27.5 16.0  0.009999-99.9-99.9-99.9-99.9-9.9 9919.5 81 17.1 -99-99.9-9.9-9.9
5281420110226 31.0 14.5  0.009999-99.9-99.9-99.9-99.9-9.9 9919.8 72 17.3 -99-99.9-9.9-9.9
5281420110227 31.9 16.3  0.009999-99.9-99.9-99.9-99.9-9.9 9920.4 65 17.7 -99-99.9-9.9-9.9
5281420110228 31.6 16.2  0.009999-99.9-99.9-99.9-99.9-9.9 9919.5 67 17.1 -99-99.9-9.9-9.9
5281420110301 30.1 16.1  0.009999-99.9-99.9-99.9-99.9-9.9 9919.8 69 17.3 -99-99.9-9.9-9.9
5281420110302 30.4 15.8  0.009999-99.9-99.9-99.9-99.9-9.9 9919.8 71 17.3 -99-99.9-9.9-9.9
5281420110303 32.0 16.1  0.009999-99.9-99.9-99.9-99.9-9.9 9921.2 71 18.4 -99-99.9-9.9-9.9
5281420110304 31.5 16.8  0.009999-99.9-99.9-99.9-99.9-9.9 9919.7 65 17.2 -99-99.9-9.9-9.9
5281420110305 30.6 17.1  0.009999-99.9-99.9-99.9-99.9-9.9 9920.8 70 18.1 -99-99.9-9.9-9.9
5281420110306 32.2 18.4  0.009999-99.9-99.9-99.9-99.9-9.9 9922.1 66 19.1 -99-99.9-9.9-9.9
5281420110307 34.1 18.7  5.919999-99.9-99.9-99.9-99.9-9.9 9922.9 78 19.6 -99-99.9-9.9-9.9
5281420110308 34.8 17.4  0.009999-99.9-99.9-99.9-99.9-9.9 9924.0 69 20.4 -99-99.9-9.9-9.9
5281420110309 35.4 18.8  0.009999-99.9-99.9-99.9-99.9-9.9 9923.3 65 19.9 -99-99.9-9.9-9.9
5281420110310 35.0 19.1  0.009999-99.9-99.9-99.9-99.9-9.9 9922.8 64 19.6 -99-99.9-9.9-9.9
5281420110311 34.4 18.6  4.319999-99.9-99.9-99.9-99.9-9.9 9923.9 75 20.3 -99-99.9-9.9-9.9
5281420110312 22.2 13.6 40.219999-99.9-99.9-99.9-99.9-9.9 9921.1 95 17.9 -99-99.9-9.9-9.9
5281420110313 22.6  8.3  0.009999-99.9-99.9-99.9-99.9-9.9 9911.3 67  8.7 -99-99.9-9.9-9.9
5281420110314 24.9  5.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.2 57  8.5 -99-99.9-9.9-9.9
5281420110315 25.4 10.9  0.619999-99.9-99.9-99.9-99.9-9.9 9914.0 59 12.0 -99-99.9-9.9-9.9
5281420110316 29.4 14.2  0.619999-99.9-99.9-99.9-99.9-9.9 9916.1 59 14.1 -99-99.9-9.9-9.9
5281420110317 29.7 16.7  0.009999-99.9-99.9-99.9-99.9-9.9 9918.2 74 15.8 -99-99.9-9.9-9.9
5281420110318 28.2  7.3  0.009999-99.9-99.9-99.9-99.9-9.9 9910.7 53  7.8 -99-99.9-9.9-9.9
5281420110319 29.9  7.8  0.009999-99.9-99.9-99.9-99.9-9.9 9911.7 57  9.2 -99-99.9-9.9-9.9
