5272120101213-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5272120101214 32.2  9.6  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 39  7.3 -99-99.9-9.9-9.9
5272120101215 34.4  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 9911.7 36  9.3 -99-99.9-9.9-9.9
5272120110314 25.4  5.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.2 63  8.5 -99-99.9-9.9-9.9
5272120110315 28.0  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 9913.5 60 11.4 -99-99.9-9.9-9.9
5272120110316 30.7 13.9  0.009999-99.9-99.9-99.9-99.9-9.9 9916.3 55 14.2 -99-99.9-9.9-9.9
5272120110317 23.9 14.9  3.819999-99.9-99.9-99.9-99.9-9.9 9920.3 94 17.7 -99-99.9-9.9-9.9
5272120110318 28.2 12.1  0.009999-99.9-99.9-99.9-99.9-9.9 9913.0 60 10.2 -99-99.9-9.9-9.9
5272120110319 29.5  4.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.6 54  7.6 -99-99.9-9.9-9.9
5272120110320 31.8  5.7  0.009999-99.9-99.9-99.9-99.9-9.9 9912.4 60 10.0 -99-99.9-9.9-9.9
5272120110321 34.0 13.4  0.009999-99.9-99.9-99.9-99.9-9.9 9919.8 65 17.2 -99-99.9-9.9-9.9
5272120110322 33.5 15.3  0.009999-99.9-99.9-99.9-99.9-9.9 9922.6 72 19.4 -99-99.9-9.9-9.9
5272120110323 27.8 18.2 11.819999-99.9-99.9-99.9-99.9-9.9 9922.8 86 19.5 -99-99.9-9.9-9.9
5272120110324 27.0 15.1  1.119999-99.9-99.9-99.9-99.9-9.9 9919.3 79 16.9 -99-99.9-9.9-9.9
5272120110325 21.0 17.8 26.519999-99.9-99.9-99.9-99.9-9.9 9921.1 99 18.3 -99-99.9-9.9-9.9
5272120110326 27.0 18.5  0.009999-99.9-99.9-99.9-99.9-9.9 9920.2 79 17.5 -99-99.9-9.9-9.9
5272120110327 24.8  9.6  0.009999-99.9-99.9-99.9-99.9-9.9 9914.7 64 12.7 -99-99.9-9.9-9.9
5272120110328 25.8 10.3  0.009999-99.9-99.9-99.9-99.9-9.9 9914.1 72 12.1 -99-99.9-9.9-9.9
5272120110329 27.0  6.8  0.009999-99.9-99.9-99.9-99.9-9.9 9913.8 75 11.6 -99-99.9-9.9-9.9
5272120110330 28.8  9.7  0.009999-99.9-99.9-99.9-99.9-9.9 9916.6 74 14.4 -99-99.9-9.9-9.9
5272120110331 31.3 12.2  0.009999-99.9-99.9-99.9-99.9-9.9 9919.2 75 16.7 -99-99.9-9.9-9.9
5272120110401 32.3 15.7  0.009999-99.9-99.9-99.9-99.9-9.9 9918.1 63 15.8 -99-99.9-9.9-9.9
5272120110402 30.7 13.1  0.009999-99.9-99.9-99.9-99.9-9.9 9918.8 67 16.5 -99-99.9-9.9-9.9
5272120110403 32.2 11.5  0.009999-99.9-99.9-99.9-99.9-9.9 9918.8 70 16.4 -99-99.9-9.9-9.9
5272120110404 28.1 14.2  0.009999-99.9-99.9-99.9-99.9-9.9 9915.9 71 13.5 -99-99.9-9.9-9.9
5272120110405 29.1  5.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.6 61  9.0 -99-99.9-9.9-9.9
5272120110406 31.3  8.2  0.009999-99.9-99.9-99.9-99.9-9.9 9913.3 60 11.1 -99-99.9-9.9-9.9
5272120110407 32.3  8.7  0.009999-99.9-99.9-99.9-99.9-9.9 9915.4 58 13.2 -99-99.9-9.9-9.9
5272120110408 28.8 15.7  0.009999-99.9-99.9-99.9-99.9-9.9 9916.5 60 14.2 -99-99.9-9.9-9.9
5272120110409 26.2  9.2  0.009999-99.9-99.9-99.9-99.9-9.9 9913.5 77 11.3 -99-99.9-9.9-9.9
5272120110410 28.3  7.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.6 73 12.4 -99-99.9-9.9-9.9
5272120110411 30.7  9.1  0.009999-99.9-99.9-99.9-99.9-9.9 9916.2 72 14.0 -99-99.9-9.9-9.9
5272120110412 31.2 10.9  0.009999-99.9-99.9-99.9-99.9-9.9 9916.5 68 14.4 -99-99.9-9.9-9.9
5272120110413 30.7 14.2  0.009999-99.9-99.9-99.9-99.9-9.9 9918.0 70 15.8 -99-99.9-9.9-9.9
5272120110414 25.7 14.7  2.819999-99.9-99.9-99.9-99.9-9.9 9915.2 60 13.1 -99-99.9-9.9-9.9
5272120110415 22.4 14.8  7.419999-99.9-99.9-99.9-99.9-9.9 9913.7 60 11.6 -99-99.9-9.9-9.9
5272120110416 23.8 13.0 24.219999-99.9-99.9-99.9-99.9-9.9 9916.8 79 14.7 -99-99.9-9.9-9.9
5272120110417 25.4 15.0  3.019999-99.9-99.9-99.9-99.9-9.9 9916.5 73 14.1 -99-99.9-9.9-9.9
5272120110418 24.4  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.5 66  6.1 -99-99.9-9.9-9.9
5272120110419 24.7  4.2 58.919999-99.9-99.9-99.9-99.9-9.9 9912.1 72  9.5 -99-99.9-9.9-9.9
