5291120061108-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291120061109 17.3  0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 83  6.0 -99-99.9-9.9-9.9
5291120061110 21.2  2.1  0.009999-99.9-99.9-99.9-99.9 2.0 1513.0 86 10.1   2  1.411.0 2.1
5291120061111 18.2 12.4 18.019999-99.9-99.9-99.9-99.9-9.9 9918.0100 15.7   2  1.9 1.6-9.9
5291120061112 19.5 16.6-99.999999-99.9-99.9-99.9-99.9-9.9 9919.6100 17.2   3  2.3 1.1-9.9
5291120130910 35.1 16.4  0.009999-99.9-99.9-99.9-99.9-9.9 9918.8 50 16.5 -99-99.9-9.9-9.9
5291120130911 35.7 15.0  0.009999-99.9-99.9-99.9-99.9-9.9 9916.1 41 14.0 -99-99.9-9.9-9.9
5291120130912 35.6 14.4  0.009999-99.9-99.9-99.9-99.9-9.9 9915.1 40 13.1 -99-99.9-9.9-9.9
5291120130913 35.4 15.3  0.009999-99.9-99.9-99.9-99.9-9.9 9915.9 42 13.8 -99-99.9-9.9-9.9
5291120130914 34.6 15.1  0.009999-99.9-99.9-99.9-99.9-9.9 9918.1 60 15.8 -99-99.9-9.9-9.9
5291120130915 23.1 15.4  0.219999-99.9-99.9-99.9-99.9-9.9 9920.3100 17.7 -99-99.9-9.9-9.9
5291120130916 15.5 12.6  0.009999-99.9-99.9-99.9-99.9-9.9 9915.3100 13.3 -99-99.9-9.9-9.9
5291120130917 16.8  7.0  0.009999-99.9-99.9-99.9-99.9-9.9 9911.2 85  8.6 -99-99.9-9.9-9.9
5291120130918 19.9  1.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 68  4.4 -99-99.9-9.9-9.9
5291120130919 26.0  3.5  0.009999-99.9-99.9-99.9-99.9-9.9 9912.2 61  9.2 -99-99.9-9.9-9.9
5291120130920 31.8 15.2  0.009999-99.9-99.9-99.9-99.9-9.9 9922.6 86 19.3 -99-99.9-9.9-9.9
5291120130921 23.1 16.3  0.219999-99.9-99.9-99.9-99.9-9.9 9918.1 78 15.9 -99-99.9-9.9-9.9
5291120130922 20.3 15.6  0.009999-99.9-99.9-99.9-99.9-9.9 9918.8100 16.5 -99-99.9-9.9-9.9
5291120130923 16.4 11.7  0.009999-99.9-99.9-99.9-99.9-9.9 9915.3 99 13.3 -99-99.9-9.9-9.9
5291120130924 16.8  4.7  0.219999-99.9-99.9-99.9-99.9-9.9 99 9.2 67  5.6 -99-99.9-9.9-9.9
5291120130925 23.6  4.8  0.009999-99.9-99.9-99.9-99.9-9.9 9910.7 65  7.8 -99-99.9-9.9-9.9
5291120130926 27.8  7.3  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8 53  9.4 -99-99.9-9.9-9.9
5291120130927 26.7 13.1 11.219999-99.9-99.9-99.9-99.9-9.9 9913.3 54 11.1 -99-99.9-9.9-9.9
5291120130928 23.8 14.7  2.819999-99.9-99.9-99.9-99.9-9.9 9918.0 92 15.7 -99-99.9-9.9-9.9
5291120130929 27.2 11.9  0.009999-99.9-99.9-99.9-99.9-9.9 9918.2 78 15.9 -99-99.9-9.9-9.9
