5289820190312-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289820191109 26.9  2.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.0 25 -3.0 -99-99.9-9.9-9.9
5289820191110 28.2 10.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 36  2.5 -99-99.9-9.9-9.9
5289820191111 29.3 11.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 46  8.5 -99-99.9-9.9-9.9
5289820191112 31.7  7.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 34  4.9 -99-99.9-9.9-9.9
5289820191113 25.5  7.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.1 30 -0.3 -99-99.9-9.9-9.9
5289820191114 24.9  2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.1 37  1.9 -99-99.9-9.9-9.9
5289820191115 22.5  9.7  0.219999-99.9-99.9-99.9-99.9-9.9 99 9.1 43  5.3 -99-99.9-9.9-9.9
5289820191116 22.4  4.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 32 -1.1 -99-99.9-9.9-9.9
5289820191117 20.8  3.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 43  1.7 -99-99.9-9.9-9.9
5289820191118 22.7  4.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 37  1.9 -99-99.9-9.9-9.9
5289820191119 29.8  6.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.1 35  2.1 -99-99.9-9.9-9.9
5289820191120 26.8  1.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.5 22 -4.2 -99-99.9-9.9-9.9
5289820191121 24.7  4.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.5 18 -7.4 -99-99.9-9.9-9.9
5289820191122 29.5  1.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.1 23 -3.1 -99-99.9-9.9-9.9
5289820191123 23.7 15.4  0.819999-99.9-99.9-99.9-99.9-9.9 99 9.5 55  5.3 -99-99.9-9.9-9.9
5289820191124 25.4  4.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 44  5.2 -99-99.9-9.9-9.9
5289820191125 18.1  3.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.8 40 -0.7 -99-99.9-9.9-9.9
5289820191126 16.9  1.3  0.219999-99.9-99.9-99.9-99.9-9.9 99 5.6 44 -1.3 -99-99.9-9.9-9.9
5289820191127 21.3  3.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.6 42  0.9 -99-99.9-9.9-9.9
5289820191128 22.2  5.2  0.219999-99.9-99.9-99.9-99.9-9.9 99 7.1 45  2.0 -99-99.9-9.9-9.9
5289820191129 18.4  5.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.6 47  1.1 -99-99.9-9.9-9.9
5289820191130 21.1  4.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.4 39  0.5 -99-99.9-9.9-9.9
5289820191201 30.7  1.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.2 27  0.1 -99-99.9-9.9-9.9
5289820191202 27.5  6.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 26 -1.1 -99-99.9-9.9-9.9
5289820191203 18.6  3.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 40 -0.9 -99-99.9-9.9-9.9
5289820191204 27.6  2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.2 30  0.1 -99-99.9-9.9-9.9
5289820191205 27.9 10.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.2 26  0.2 -99-99.9-9.9-9.9
5289820191206 31.5  6.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.8 21 -0.8 -99-99.9-9.9-9.9
5289820191207 29.6  9.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 21 -0.6 -99-99.9-9.9-9.9
5289820191208 31.6  9.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 20 -0.7 -99-99.9-9.9-9.9
5289820191209 31.1  7.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.2 24  0.2 -99-99.9-9.9-9.9
5289820191210 30.0 11.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 27  1.1 -99-99.9-9.9-9.9
5289820191211 22.7  9.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.9 33 -0.6 -99-99.9-9.9-9.9
5289820191212 22.6  2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.6 26 -4.0 -99-99.9-9.9-9.9
5289820191213 23.9 10.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.1 37  2.0 -99-99.9-9.9-9.9
5289820191214 27.8  7.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 37  2.8 -99-99.9-9.9-9.9
5289820191215 25.4  5.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.4 31  0.7 -99-99.9-9.9-9.9
5289820191216 25.6  8.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.1 29 -0.1 -99-99.9-9.9-9.9
5289820191217 29.5  4.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.0 35  3.4 -99-99.9-9.9-9.9
5289820191218 26.2 13.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.5 39  6.1 -99-99.9-9.9-9.9
5289820191219 21.9  5.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.8 28 -1.0 -99-99.9-9.9-9.9
5289820191220 27.1  4.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.4 23 -1.8 -99-99.9-9.9-9.9
5289820191221 30.2  5.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.1 24  0.0 -99-99.9-9.9-9.9
5289820191222 31.8  6.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 28  2.7 -99-99.9-9.9-9.9
5289820191223 26.8 12.9  2.219999-99.9-99.9-99.9-99.9-9.9 99 9.5 40  6.1 -99-99.9-9.9-9.9
5289820191224 20.4  7.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.8 43  1.1 -99-99.9-9.9-9.9
5289820191225 25.6  2.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 28 -0.9 -99-99.9-9.9-9.9
5289820191226 27.9  9.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 31  1.6 -99-99.9-9.9-9.9
5289820191227 29.8  9.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.4 38  6.1 -99-99.9-9.9-9.9
5289820191228 32.2  9.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 25  2.8 -99-99.9-9.9-9.9
5289820191229 35.4  9.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 25  3.7 -99-99.9-9.9-9.9
5289820191230 31.6 12.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.4 21  0.4 -99-99.9-9.9-9.9
5289820191231 35.0  8.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 24  2.9 -99-99.9-9.9-9.9
5289820200101 35.2 13.1  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 30  6.7 -99-99.9-9.9-9.9
5289820200102 36.4 13.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.5 30  8.8 -99-99.9-9.9-9.9
5289820200103 36.5 14.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 23  4.9 -99-99.9-9.9-9.9
5289820200104 31.4 11.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.2 19 -0.4 -99-99.9-9.9-9.9
5289820200105 22.9  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.3 39  0.3 -99-99.9-9.9-9.9
5289820200106 23.5  6.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 39  1.7 -99-99.9-9.9-9.9
5289820200107 23.9  7.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 38  3.0 -99-99.9-9.9-9.9
5289820200108 18.7  7.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.5 42  0.7 -99-99.9-9.9-9.9
5289820200109 20.7  5.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.5 39  0.8 -99-99.9-9.9-9.9
5289820200110 28.8  4.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 32  1.8 -99-99.9-9.9-9.9
5289820200111 29.1  6.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.0 31  3.7 -99-99.9-9.9-9.9
5289820200112 36.0  7.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 22  2.7 -99-99.9-9.9-9.9
