5273920150926 26.3 15.5  0.009999-99.9-99.9-99.9-99.9 7.1 5817.2 74 15.1   8  6.417.2 9.5
5273920150927 26.4 12.6  0.009999-99.9-99.9-99.9-99.9 7.4 6115.4 67 13.4   6  4.917.8 8.8
5273920150928 28.7  9.7  0.009999-99.9-99.9-99.9-99.9 9.9 8114.6 59 12.6   5  3.821.8 9.1
5273920150929 30.5 13.5  0.009999-99.9-99.9-99.9-99.910.0 8216.0 57 13.9   8  6.222.014.1
5273920150930 28.5 14.5  0.009999-99.9-99.9-99.9-99.9 9.4 7615.8 57 13.8  11  8.421.116.7
5273920151001 32.5 17.6  0.819999-99.9-99.9-99.9-99.9 5.6 4521.1 64 18.2  10  7.815.213.2
5273920151002 26.7 16.9 10.019999-99.9-99.9-99.9-99.9-9.9 9920.7 94 18.0  12  9.2 3.7-9.9
5273920151003 17.4 13.1  0.009999-99.9-99.9-99.9-99.9-9.9 9913.5 83 11.4  11  8.8 4.7-9.9
5273920151004 24.7  9.0  0.009999-99.9-99.9-99.9-99.9 9.8 7912.9 62 10.6   8  6.122.110.2
5273920151005 30.4 16.0  0.009999-99.9-99.9-99.9-99.9 5.2 4219.2 63 16.6   6  4.714.9 8.6
5273920151006 36.7 20.1  0.009999-99.9-99.9-99.9-99.9 6.9 5525.4 58 21.3  10  7.717.615.7
5273920151007 36.6 21.6  0.219999-99.9-99.9-99.9-99.9 7.4 5926.5 71 22.0  16 12.618.5-9.9
5273920151008 21.8 16.8 16.519999-99.9-99.9-99.9-99.9-9.9 9920.0100 17.5  12  9.5 2.7-9.9
5273920151009 17.4 15.0  7.019999-99.9-99.9-99.9-99.9-9.9 9917.9100 15.7  15 12.0 2.5-9.9
5273920151010 15.4 13.6  5.019999-99.9-99.9-99.9-99.9-9.9 9916.2100 14.2  17 13.6 3.4-9.9
5273920151011 17.6 13.4  0.219999-99.9-99.9-99.9-99.9 0.1  116.4 96 14.3  13 10.1 6.8 2.3
5273920151012 22.6 10.6  0.009999-99.9-99.9-99.9-99.9 8.9 7015.0 79 13.0   6  4.921.2 7.2
5273920151013 25.5 10.8  0.009999-99.9-99.9-99.9-99.9 8.5 6816.6 72 14.5   7  6.020.8 8.4
5273920151014 34.8 16.6  0.009999-99.9-99.9-99.9-99.9 6.0 4724.0 72 20.3  11  8.816.711.7
