5283020130320-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5283020130321-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5283020130322 30.1 14.8  0.009999-99.9 13.6-99.9-99.9-9.9 9918.6 71 16.4   3  2.2-9.9-9.9
5283020130323 30.4 15.0  0.009999-99.9 14.4-99.9-99.9-9.9 9920.9 78 18.2   3  2.2-9.9-9.9
5283020130324 29.3 14.6  0.009999-99.9 13.7-99.9-99.9 9.5 8018.4 73 16.2   4  2.919.5 7.4
5283020130325 29.5 11.6  0.009999-99.9 10.7-99.9-99.9 7.5 6317.4 78 15.2   2  1.916.5 5.3
5283020130326 27.2 12.0  0.009999-99.9 11.3-99.9-99.9 9.1 7615.4 65 13.3   5  3.718.6 7.5
5283020130327 26.1  8.4  0.009999-99.9  7.3-99.9-99.910.7 9013.9 73 11.7   3  2.620.8 6.6
5283020130328 27.7  6.9  0.009999-99.9  5.7-99.9-99.910.8 9113.6 72 11.3   3  2.420.9 6.0
5283020130329 29.8  9.6  0.009999-99.9  8.6-99.9-99.910.3 8815.8 70 13.6   5  3.920.1 7.8
5283020130330 31.3 11.9  0.009999-99.9 11.2-99.9-99.9 8.8 7519.6 69 17.1   4  3.317.8 6.9
5283020130331 32.9 15.6  0.009999-99.9 15.0-99.9-99.9 9.3 7920.7 66 18.0   4  3.318.4 8.1
5283020130401 25.2 19.0  1.519999-99.9 18.4-99.9-99.9-9.9 9922.4 93 19.3   3  2.7 4.4-9.9
5283020130402 27.5 16.6  0.009999-99.9 15.5-99.9-99.9 2.2 1922.9 89 19.6   2  1.5 8.3 2.6
5283020130403 25.3 15.6  0.009999-99.9 13.8-99.9-99.9 1.7 1520.4 90 17.8   4  2.9 7.6 3.0
5283020130404 24.6 11.4  0.009999-99.9 10.1-99.9-99.9 2.3 2017.2 88 15.0   2  1.8 8.3 2.8
5283020130405 30.5 12.3  0.009999-99.9 11.4-99.9-99.9 9.9 8615.2 64 13.1   4  3.618.6 8.2
5283020130406 26.3  9.4  0.009999-99.9  8.1-99.9-99.9 9.2 8012.2 66  9.6   5  4.217.6 8.3
5283020130407 25.2  1.4  0.009999-99.9  0.0-99.9-99.9 9.9 86 8.6 58  4.6   2  1.318.3 4.3
5283020130408 26.8  3.4  0.009999-99.9  2.2-99.9-99.9 9.5 8310.3 57  7.2   2  1.617.8 4.6
5283020130409 26.6  4.7  0.009999-99.9  3.3-99.9-99.910.1 8811.6 57  9.0   6  4.818.4 8.5
5283020130410 26.4  9.6 44.519999-99.9  8.2-99.9-99.9 5.7 5016.9 75 14.7   7  5.812.5 6.6
5283020130411 20.9 16.4  9.819999-99.9 15.8-99.9-99.9-9.9 9920.2100 17.6   6  5.1 1.3-9.9
5283020130412 22.9 11.8  0.009999-99.9 11.1-99.9-99.9 7.2 6414.1 74 11.8   6  4.614.3 6.6
