5271020140416-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5271020140904 20.0 14.7  0.819999-99.9-99.9-99.9-99.9-9.9 9916.3 78 14.3   7  5.2-9.9-9.9
5271020140905 21.1 14.9 19.219999-99.9-99.9-99.9-99.9-9.9 9919.1 96 16.7   4  3.3-9.9-9.9
5271020140906 19.9 11.8  0.009999-99.9-99.9-99.9-99.9-9.9 9915.6 78 13.3   6  5.0-9.9-9.9
5271020140907 23.5  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 9911.9 72  9.4   2  1.8-9.9-9.9
5271020140908 26.3  7.9 42.019999-99.9-99.9-99.9-99.9-9.9 9917.7 77 15.1   4  3.0-9.9-9.9
5271020140909 22.6 12.7  4.019999-99.9-99.9-99.9-99.9-9.9 9916.3 81 13.5   6  4.8-9.9-9.9
5271020140910 19.5  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 72  7.3   3  2.7-9.9-9.9
5271020140911 22.3  4.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 69  6.2   2  1.3-9.9-9.9
5271020140912 21.9  4.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.5 70  7.6   3  2.3-9.9-9.9
5271020140913 20.6  9.0 24.819999-99.9-99.9-99.9-99.9-9.9 9916.0 95 13.9   5  3.9-9.9-9.9
5271020140914 17.4 14.8 25.019999-99.9-99.9-99.9-99.9-9.9 9917.7100 15.5   6  4.9-9.9-9.9
5271020140915 21.3  8.8  0.009999-99.9-99.9-99.9-99.9-9.9 9912.7 81 10.3   3  2.6-9.9-9.9
5271020140916 22.8  4.1  0.219999-99.9-99.9-99.9-99.9-9.9 9911.0 80  8.2   2  1.4-9.9-9.9
5271020140917 24.0  5.3  0.009999-99.9-99.9-99.9-99.9-9.9 9912.8 80 10.4   2  1.6-9.9-9.9
5271020140918 23.5  7.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.6 81 12.4   2  1.8-9.9-9.9
5271020140919 24.5 10.6  0.009999-99.9-99.9-99.9-99.9-9.9 9915.6 80 13.6   2  1.9-9.9-9.9
5271020140920 22.8 10.7  0.009999-99.9-99.9-99.9-99.9-9.9 9913.4 71 11.3   5  4.1-9.9-9.9
5271020140921 22.5  6.8  0.009999-99.9-99.9-99.9-99.9-9.9 9913.1 79 10.8   3  2.4-9.9-9.9
5271020140922 24.8  8.7  0.009999-99.9-99.9-99.9-99.9-9.9 9914.1 77 12.1   4  2.8-9.9-9.9
5271020140923 18.0 11.3  5.219999-99.9-99.9-99.9-99.9-9.9 9914.7 98 12.7   4  3.1-9.9-9.9
5271020140924 23.3  4.9  0.219999-99.9-99.9-99.9-99.9-9.9 9912.5 80 10.1   2  1.7-9.9-9.9
5271020140925 23.7  7.1  3.819999-99.9-99.9-99.9-99.9-9.9 9915.8 93 13.4   3  2.5-9.9-9.9
5271020140926 20.4  4.7  0.219999-99.9-99.9-99.9-99.9-9.9 99 9.7 67  6.4   2  1.9-9.9-9.9
5271020140927 21.8  3.6  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 61  7.1   3  2.2-9.9-9.9
5271020140928 19.5 11.3  1.019999-99.9-99.9-99.9-99.9-9.9 9916.1 92 13.9   2  1.2-9.9-9.9
5271020140929 24.2 10.9  0.009999-99.9-99.9-99.9-99.9-9.9 9914.9 83 12.8   3  2.4-9.9-9.9
5271020140930 23.5  9.8  0.009999-99.9-99.9-99.9-99.9-9.9 9913.9 67 11.8   2  1.7-9.9-9.9
5271020141001 18.3  9.7  0.009999-99.9-99.9-99.9-99.9-9.9 9913.7 91 11.5   3  2.7-9.9-9.9
5271020141002 18.1  5.2  0.009999-99.9-99.9-99.9-99.9-9.9 9912.2 81  9.6   5  3.6-9.9-9.9
5271020141003 17.1 13.4  0.219999-99.9-99.9-99.9-99.9-9.9 9914.0 77 11.9   7  5.6-9.9-9.9
5271020141004 21.8 14.1 13.819999-99.9-99.9-99.9-99.9-9.9 9916.4 87 14.4   7  6.0-9.9-9.9
5271020141005 18.9 15.2 38.519999-99.9-99.9-99.9-99.9-9.9 9919.0 98 16.7   4  3.0-9.9-9.9
5271020141006 22.9 13.1  0.009999-99.9-99.9-99.9-99.9-9.9 9917.2 87 15.1   3  2.3-9.9-9.9
5271020141007 30.7 11.5  0.009999-99.9-99.9-99.9-99.9-9.9 9918.2 73 15.8   1  0.9-9.9-9.9
5271020141008 28.6 12.6 13.519999-99.9-99.9-99.9-99.9-9.9 9920.6 80 17.8   2  1.8-9.9-9.9
5271020141009 23.4 15.7  5.819999-99.9-99.9-99.9-99.9-9.9 9921.3 99 18.3   4  3.5-9.9-9.9
5271020141010 17.9  8.3  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8 81  9.4   4  3.5-9.9-9.9
5271020141011 22.4  7.5  0.009999-99.9-99.9-99.9-99.9-9.9 9913.2 76 11.0   2  1.8-9.9-9.9
5271020141012 26.2  9.6  0.009999-99.9-99.9-99.9-99.9-9.9 9915.4 80 13.3   1  1.1-9.9-9.9
5271020141013 27.7 10.0  0.009999-99.9-99.9-99.9-99.9-9.9 9915.8 86 13.6   1  0.9-9.9-9.9
5271020141014 28.5  9.4  0.009999-99.9-99.9-99.9-99.9-9.9 9915.7 72 13.6   2  1.2-9.9-9.9
5271020141015 29.1 11.3  0.009999-99.9-99.9-99.9-99.9-9.9 9917.8 67 15.5   2  1.9-9.9-9.9
5271020141016 29.7 16.7  0.009999-99.9-99.9-99.9-99.9-9.9 9920.6 75 17.9   3  2.2-9.9-9.9
5271020141017 27.8 12.3  0.009999-99.9-99.9-99.9-99.9-9.9 9917.5 70 15.3   4  3.0-9.9-9.9
5271020141018 26.8 18.2  0.009999-99.9-99.9-99.9-99.9-9.9 9922.3 82 19.2   4  2.9-9.9-9.9
5271020141019 26.5 13.3  0.009999-99.9-99.9-99.9-99.9-9.9 9913.9 60 11.6   3  2.5-9.9-9.9
5271020141020 25.8 10.0  0.009999-99.9-99.9-99.9-99.9-9.9 9915.5 75 13.4   2  1.2-9.9-9.9
5271020141021 29.5 11.5  0.009999-99.9-99.9-99.9-99.9-9.9 9917.1 68 14.9   2  1.3-9.9-9.9
5271020141022 32.3 13.3  0.009999-99.9-99.9-99.9-99.9-9.9 9919.5 70 17.0   2  1.4-9.9-9.9
5271020141023 32.6 13.6  0.009999-99.9-99.9-99.9-99.9-9.9 9920.7 70 17.9   1  1.0-9.9-9.9
