5282420061107-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420061214-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420101110-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420110125 36.2 20.4-99.999999-99.9-99.9-99.9-99.9-9.9 9925.5 79 21.3 -99-99.9-9.9-9.9
5282420110126 29.8 20.0-99.999999-99.9-99.9-99.9-99.9-9.9 9926.8 91 22.2 -99-99.9-9.9-9.9
5282420110127 30.9 17.8-99.999999-99.9-99.9-99.9-99.9-9.9 9923.7 80 20.2 -99-99.9-9.9-9.9
5282420110128 26.4 16.3-99.999999-99.9-99.9-99.9-99.9-9.9 9916.1 51 13.6 -99-99.9-9.9-9.9
5282420110129 29.0 10.2-99.999999-99.9-99.9-99.9-99.9-9.9 9913.8 57 11.5 -99-99.9-9.9-9.9
5282420110130 32.5 10.4-99.999999-99.9-99.9-99.9-99.9-9.9 9919.9 69 17.2 -99-99.9-9.9-9.9
5282420110131 26.4 17.1-99.999999-99.9-99.9-99.9-99.9-9.9 9922.3100 19.2 -99-99.9-9.9-9.9
5282420110201 23.6 11.5-99.999999-99.9-99.9-99.9-99.9-9.9 9913.3 61 11.1 -99-99.9-9.9-9.9
5282420110202 27.4 13.1-99.999999-99.9-99.9-99.9-99.9-9.9 9916.0 61 13.7 -99-99.9-9.9-9.9
5282420110203 31.5 16.1-99.999999-99.9-99.9-99.9-99.9-9.9 9921.1 79 18.3 -99-99.9-9.9-9.9
5282420110204 26.6 11.9-99.999999-99.9-99.9-99.9-99.9-9.9 9915.0 56 12.8 -99-99.9-9.9-9.9
5282420110205 22.2 13.9-99.999999-99.9-99.9-99.9-99.9-9.9 9913.7 59 11.3 -99-99.9-9.9-9.9
5282420110206 24.4  7.3-99.999999-99.9-99.9-99.9-99.9-9.9 9912.0 60  9.5 -99-99.9-9.9-9.9
5282420110207 23.5 14.0-99.999999-99.9-99.9-99.9-99.9-9.9 9917.0 75 14.8 -99-99.9-9.9-9.9
5282420110208 25.7 14.8-99.999999-99.9-99.9-99.9-99.9-9.9 9918.0 85 15.7 -99-99.9-9.9-9.9
5282420110209 25.4 13.8-99.999999-99.9-99.9-99.9-99.9-9.9 9917.3 84 15.2 -99-99.9-9.9-9.9
5282420110210 27.4 12.9-99.999999-99.9-99.9-99.9-99.9-9.9 9916.1 73 14.0 -99-99.9-9.9-9.9
5282420110211 26.4 10.1-99.999999-99.9-99.9-99.9-99.9-9.9 9917.0 78 14.9 -99-99.9-9.9-9.9
5282420110212 27.8 12.5-99.999999-99.9-99.9-99.9-99.9-9.9 9918.3 70 16.1 -99-99.9-9.9-9.9
5282420110213 28.5 15.5-99.999999-99.9-99.9-99.9-99.9-9.9 9916.7 69 14.3 -99-99.9-9.9-9.9
5282420110214 29.3  7.4-99.999999-99.9-99.9-99.9-99.9-9.9 9913.0 53 10.7 -99-99.9-9.9-9.9
5282420110215 31.9 17.0-99.999999-99.9-99.9-99.9-99.9-9.9 9916.2 51 14.1 -99-99.9-9.9-9.9
5282420110216 31.6 14.7-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420110217-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420110222-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420110226-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420110302-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420110303-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420110304-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420110308-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420110309-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420110310-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420110311-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420110529-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5282420110531-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
