5011419560610-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.0 67 -0.2   9  7.2-9.9-9.9
5011419560611-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.2 67  0.2   9  7.2-9.9-9.9
5011419560612-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.3 68  0.4   4  3.2-9.9-9.9
5011419560613-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.6 81  4.8   4  3.2-9.9-9.9
5011419560614-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.6 65  1.1   6  4.8-9.9-9.9
5011419560615-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.0 73  3.8   4  3.2-9.9-9.9
5011419560616-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.2 73  4.1   4  3.2-9.9-9.9
5011419560617-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.1 69  5.6   4  3.2-9.9-9.9
5011419560618-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.5 72  4.6   4  3.2-9.9-9.9
5011419560619-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.7 82  6.5   7  5.6-9.9-9.9
5011419560620-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.8 82  6.7   6  4.8-9.9-9.9
5011419560621-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.7 74  5.0   4  3.2-9.9-9.9
5011419560622-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.7 77  5.0   6  4.8-9.9-9.9
5011419560623-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.4 81  6.1   4  3.2-9.9-9.9
5011419560624-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.6 83  6.4   7  5.6-9.9-9.9
5011419560625-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.3 94  7.4   4  3.2-9.9-9.9
5011419560626-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.8 89  6.7   4  3.2-9.9-9.9
5011419560627-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.5 83  4.6   7  5.6-9.9-9.9
5011419560628-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.1 55 -5.4   9  7.2-9.9-9.9
5011419560629-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 4.7 62 -3.6   9  7.2-9.9-9.9
5011419560630-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.2 77  0.2   6  4.8-9.9-9.9
5011419560701-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.6 74  1.1   6  4.8-9.9-9.9
5011419560702-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.1 78  2.1  11  8.8-9.9-9.9
5011419560703-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.2 73  2.3   9  7.2-9.9-9.9
