5044519681130 33.4 13.9  0.009999-99.9-99.9-99.9-99.9 0.0  013.6 48 11.5   6  4.8 7.9 3.4
5044519681201 33.8 18.4  0.009999-99.9-99.9-99.9-99.9 0.0  016.7 49 14.7   3  2.4 7.9 3.1
5044519681202 36.4 17.8  0.009999-99.9-99.9-99.9-99.9 0.0  016.6 45 14.6   7  5.6 8.0 3.8
5044519681203 36.3 22.0  0.009999-99.9-99.9-99.9-99.9 0.0  017.7 43 15.6   8  6.4 8.0 4.1
5044519681204 30.6 22.3  0.009999-99.9-99.9-99.9-99.9 0.0  010.2 30  7.3   9  7.2 8.0 4.6
5044519681205 33.0 13.4  0.009999-99.9-99.9-99.9-99.9 0.0  011.1 40  8.5   8  6.4 8.0 3.9
5044519681206 32.7 15.2  0.009999-99.9-99.9-99.9-99.9 0.0  014.9 48 12.9   8  6.4 8.0 3.6
5044519681207 33.9 18.2  0.009999-99.9-99.9-99.9-99.9 0.0  017.1 47 15.0  16 12.8 8.0 4.6
5044519681208 35.4 19.1  0.009999-99.9-99.9-99.9-99.9 0.0  018.6 48 16.4   5  4.0 8.0 3.4
5044519681209 40.8 21.4  0.009999-99.9-99.9-99.9-99.9 0.0  014.7 30 12.7  18 14.4 8.0 6.5
5044519681210 37.6 14.8  0.009999-99.9-99.9-99.9-99.9 0.0  011.6 37  9.2   8  6.4 8.0 4.3
5044519681211 39.3 15.1  0.009999-99.9-99.9-99.9-99.9 0.0  017.9 44 15.8  15 12.0 8.0 4.7
5044519681212 34.8 19.4  0.009999-99.9-99.9-99.9-99.9 0.0  011.2 35  8.6  11  8.8 8.0 5.0
5044519681213 30.4 10.7  0.009999-99.9-99.9-99.9-99.9 0.0  010.9 40  8.2   4  3.2 8.0 3.0
5044519681214 38.5 12.5  0.009999-99.9-99.9-99.9-99.9 0.0  014.6 38 12.6  12  9.6 8.1 4.4
5044519681215 34.5 15.0  0.009999-99.9-99.9-99.9-99.9 0.0  010.5 38  7.7   4  3.2 8.1 3.6
5044519681216 32.1  9.3  0.009999-99.9-99.9-99.9-99.9 0.0  012.4 41 10.1   4  3.2 8.1 2.9
