5047519710511 20.8  3.0  0.009900  0.4-99.9-99.9-99.9 7.4 6810.9 79  8.2  16 12.813.9 1.9
5047519710512 23.0  3.4  0.009900  1.8-99.9-99.9-99.9 8.8 8011.5 77  9.0   9  7.215.6 1.9
5047519710513 23.7  6.2  0.009900  3.7-99.9-99.9-99.9 9.8 9012.3 71 10.0   6  4.816.7 2.0
5047519710514 25.9  7.4  0.009900  5.4-99.9-99.9-99.9 9.9 9114.0 75 12.0  13 10.416.8 2.4
5047519710515 19.5  8.8  0.009900  5.7-99.9-99.9-99.9 8.3 7611.7 73  9.3  11  8.814.7 2.0
5047519710516 20.5  7.8  0.009900  4.5-99.9-99.9-99.9 9.7 8910.9 72  8.2   9  7.216.4 2.1
5047519710517 20.5  4.4  0.009900  1.5-99.9-99.9-99.9 9.7 8911.8 80  9.4   7  5.616.3 1.6
5047519710518 25.4  5.8  0.009900  4.2-99.9-99.9-99.9 9.6 8911.8 70  9.4   9  7.216.1 2.2
5047519710519 24.9  5.8  0.009900  3.2-99.9-99.9-99.9 9.9 9211.6 69  9.2   6  4.816.4 2.0
5047519710520 24.1  6.9  0.009900  3.7-99.9-99.9-99.9 9.6 8913.6 73 11.5  11  8.816.0 2.0
5047519710521 25.6  8.6  0.009900  5.4-99.9-99.9-99.9 9.6 8914.6 73 12.6   9  7.215.9 2.1
5047519710522 29.0  9.1  0.009900  6.7-99.9-99.9-99.9 9.8 9111.4 60  8.9   9  7.216.1 2.6
5047519710523 27.1  8.5  0.009900  5.6-99.9-99.9-99.9 9.8 9112.2 61  9.9   8  6.416.0 2.3
5047519710524 30.6  8.7  0.009900  6.2-99.9-99.9-99.9 9.4 8711.2 58  8.6  21 16.815.5 3.9
5047519710525 15.4  9.8  0.009900 10.2-99.9-99.9-99.9 0.5  5 9.7 72  6.5  18 14.4 4.8 2.1
5047519710526 15.5  7.3  0.009900  7.6-99.9-99.9-99.9 2.0 19 7.9 63  3.6  11  8.8 6.5 1.9
5047519710527 10.5  8.1  0.009900  8.1-99.9-99.9-99.9 0.0  0 8.4 73  4.5   8  6.4 4.1 1.2
5047519710528 17.2  0.7  0.009900 -2.6-99.9-99.9-99.9 9.6 90 7.9 71  3.6   9  7.215.5 1.5
5047519710529 18.8  0.4  0.009900 -1.6-99.9-99.9-99.9 9.7 91 8.7 71  5.0  13 10.415.5 1.6
5047519710530 22.0  1.6  0.009900 -1.1-99.9-99.9-99.9 9.7 91 9.7 72  6.5   8  6.415.5 1.6
5047519710531 21.9  2.6  0.009900  0.2-99.9-99.9-99.9 9.7 91 9.5 69  6.2   9  7.215.4 1.7
5047519710601 25.8  3.9  0.009900  1.0-99.9-99.9-99.9 9.6 9010.7 66  8.0   9  7.215.3 1.9
5047519710602 19.0  7.7  0.009900  5.0-99.9-99.9-99.9 0.1  111.7 75  9.3   7  5.6 4.2 1.2
5047519710603 13.7  8.0  0.719900  9.0-99.9-99.9-99.9 0.1  110.7 92  8.0  11  8.8 4.2 1.1
5047519710604 11.2  5.0  0.009900  6.7-99.9-99.9-99.9 0.7  7 9.0 88  5.4  11  8.8 4.8 1.0
5047519710605  8.4  3.1  0.009900  3.4-99.9-99.9-99.9 0.0  0 7.6 83  3.0   6  4.8 4.0 0.8
