5048519681128-99.9 19.9  0.009900 10.4-99.9-99.9-99.9-9.9 9914.7 44 12.7  16 12.8-9.9-9.9
5048519681129 29.6 15.2  0.009900 14.6-99.9-99.9-99.9-9.9 99 9.8 35  6.7   6  4.8-9.9-9.9
5048519681130 34.3 11.0  0.009900  7.8-99.9-99.9-99.9-9.9 9914.0 42 12.0   6  4.8-9.9-9.9
5048519681201 34.4 16.8  0.009900 13.7-99.9-99.9-99.9-9.9 9915.6 43 13.6   9  7.2-9.9-9.9
5048519681202 36.3 16.2 15.019900 12.5-99.9-99.9-99.9-9.9 9915.8 39 13.8   4  3.2-9.9-9.9
5048519681203 33.1 16.6  2.019900 13.5-99.9-99.9-99.9-9.9 9921.1 59 18.4   2  1.6-9.9-9.9
5048519681204 29.7 15.7  0.009900 10.8-99.9-99.9-99.9-9.9 9911.0 39  8.4  10  8.0-9.9-9.9
5048519681205 31.8 12.4  0.009900 13.5-99.9-99.9-99.9-9.9 9912.4 42 10.1   6  4.8-9.9-9.9
5048519681206 32.1 16.3  0.009900 12.0-99.9-99.9-99.9-9.9 9916.0 46 14.0   6  4.8-9.9-9.9
5048519681207 30.0 17.9  0.009900 13.5-99.9-99.9-99.9-9.9 9917.5 56 15.4  16 12.8-9.9-9.9
5048519681208 35.2 16.7  0.009900 13.7-99.9-99.9-99.9-9.9 9919.7 54 17.3   3  2.4-9.9-9.9
5048519681209 39.8 18.7  0.009900 15.3-99.9-99.9-99.9-9.9 9917.5 40 15.4   6  4.8-9.9-9.9
5048519681210 32.9 16.3  0.009900 13.3-99.9-99.9-99.9-9.9 9912.4 42 10.1  13 10.4-9.9-9.9
5048519681211 37.4 15.4  0.009900 12.0-99.9-99.9-99.9-9.9 9917.7 48 15.6   6  4.8-9.9-9.9
5048519681212 29.4 13.3  0.009900 12.5-99.9-99.9-99.9-9.9 99 6.9 31  1.7  13 10.4-9.9-9.9
5048519681213 30.1  8.1  0.009900  4.0-99.9-99.9-99.9-9.9 99 9.9 37  6.8   4  3.2-9.9-9.9
5048519681214 37.4 12.6  0.009900  8.5-99.9-99.9-99.9-9.9 9910.2 29  7.3   9  7.2-9.9-9.9
5048519681215 28.5  9.1  0.009900  4.0-99.9-99.9-99.9-9.9 99 8.7 36  5.0   3  2.4-9.9-9.9
5048519681216 32.3  9.3  0.009900  4.6-99.9-99.9-99.9-9.9 9910.3 36  7.4   2  1.6-9.9-9.9
5048519681217 34.8 12.9  0.009900  8.0-99.9-99.9-99.9-9.9 9912.7 38 10.5   3  2.4-9.9-9.9
5048519681218 32.1 16.8  0.009900 11.5-99.9-99.9-99.9-9.9 9915.0 50 13.0   8  6.4-9.9-9.9
5048519681219 31.4 17.1  0.009900 12.5-99.9-99.9-99.9-9.9 9913.8 43 11.8  13 10.4-9.9-9.9
5048519681220 28.5 16.4  0.009900 11.4-99.9-99.9-99.9-9.9 9912.1 45  9.8  13 10.4-9.9-9.9
5048519681221 24.4 14.3  0.009900 12.0-99.9-99.9-99.9-9.9 99 7.6 35  3.0   9  7.2-9.9-9.9
5048519681222 30.9 10.5  0.009900 10.0-99.9-99.9-99.9-9.9 9914.2 46 12.2   1  0.8-9.9-9.9
5048519681223 26.4 14.0  0.009900  9.5-99.9-99.9-99.9-9.9 9912.3 42 10.0  18 14.4-9.9-9.9
5048519681224 32.3  9.5  0.009900  7.1-99.9-99.9-99.9-9.9 9910.4 36  7.5   6  4.8-9.9-9.9
5048519681225 32.0 11.3  0.009900  7.0-99.9-99.9-99.9-9.9 9912.8 44 10.6   6  4.8-9.9-9.9
5048519681226 27.3 14.8  0.009900 10.3-99.9-99.9-99.9-9.9 9913.7 55 11.6  11  8.8-9.9-9.9
5048519681227 29.5 11.4  0.009900  6.0-99.9-99.9-99.9-9.9 9911.6 42  9.2   4  3.2-9.9-9.9
5048519681228 33.5 10.7  0.009900  5.5-99.9-99.9-99.9-9.9 9913.0 38 10.9   4  3.2-9.9-9.9
5048519681229 34.1 15.2  0.009900 10.0-99.9-99.9-99.9-9.9 9915.6 44 13.6   6  4.8-9.9-9.9
5048519681230 27.4 14.7  1.019900 10.0-99.9-99.9-99.9-9.9 9913.2 50 11.1   8  6.4-9.9-9.9
