5055719710627 10.6 -1.1  1.019999 -3.1-99.9-99.9-99.9 0.3  2 6.9 74  1.6  12  9.7 2.1 0.6
5055719710628  9.3 -3.3  0.009999 -5.5-99.9-99.9-99.9 6.7 66 5.2 71 -2.0   6  5.1 6.0 0.6
5055719710629  9.5 -3.2  5.119999 -5.1-99.9-99.9-99.9 1.8 17 6.2 80  0.0  19 15.9 3.0 0.7
5055719710630  5.1  2.3  0.009999  1.2-99.9-99.9-99.9 8.2 81 5.7 68 -0.9  45 36.7 7.0 2.1
5055719710701  3.0 -2.6  0.009999 -3.1-99.9-99.9-99.9 2.4 23 5.1 77 -2.3   2  2.0 3.4 0.2
5055719710702  6.0  0.2  2.719999 -0.6-99.9-99.9-99.9 0.0  0 7.0 90  1.8   1  1.3 2.0 0.2
5055719710703  4.5  1.7  0.009999 -1.1-99.9-99.9-99.9 6.6 64-9.9-99-99.9   5  4.2 6.0-9.9
5055719710704 14.1  4.9  0.009999 -1.6-99.9-99.9-99.9 0.0  0-9.9-99-99.9   9  7.9 2.0-9.9
5055719710705 12.1  0.8  0.009999 -1.5-99.9-99.9-99.9 7.9 77 5.9 65 -0.7   6  5.6 6.9 0.9
5055719710706 13.0 -1.7  0.009999 -5.1-99.9-99.9-99.9 6.9 60 5.7 65 -1.0  12  9.6 5.8 1.1
5055719710707 16.1  3.9  0.009999 -5.1-99.9-99.9-99.9 5.7 55 8.6 70  4.7   5  4.5 5.6 0.7
5055719710708 14.5  4.8  0.009999  2.5-99.9-99.9-99.9 6.5 63-9.9-99-99.9   8  6.4 6.1-9.9
5055719710709  8.6  0.8  0.009999 -4.7-99.9-99.9-99.9 8.2 79-9.9-99-99.9  11  9.4 7.2-9.9
5055719710710 11.0  1.3  0.009999 -1.1-99.9-99.9-99.9 0.0  0-9.9-99-99.9  12 10.4 2.1-9.9
5055719710711 10.6  0.3  0.009999 -2.7-99.9-99.9-99.9 4.0 38 7.5 74  3.2   6  4.9 4.6 0.3
5055719710712  9.2 -3.7  0.009999 -8.1-99.9-99.9-99.9 7.1 78 4.7 64 -3.6   5  4.3 7.2 0.6
5055719710713 15.0 -1.1  0.009999 -5.1-99.9-99.9-99.9 8.1 78 6.3 64  0.4   7  5.9 7.3 0.9
5055719710714 20.2  3.3  0.009999 -0.5-99.9-99.9-99.9 6.8 65 8.9 73  5.1   9  7.8 6.5 1.1
5055719710715 17.5  8.1  0.009999  8.3-99.9-99.9-99.9 0.4  310.1 70  7.1   2  2.2 2.4 0.8
5055719710716 18.5  1.0  0.009999 -2.0-99.9-99.9-99.9 4.3 41 7.9 74  3.5   6  5.1 5.0 0.9
5055719710717 16.0  0.3  0.009999 -2.5-99.9-99.9-99.9 5.3 50 7.4 68  2.5   6  5.1 5.6 0.7
5055719710718 13.5 -0.2  0.009999 -3.5-99.9-99.9-99.9 0.0  0 7.1 80  2.1   4  3.5 2.3 0.7
5055719710719 11.1  3.2  0.219999 -0.4-99.9-99.9-99.9 0.9  8 8.3 88  4.2   4  3.9 2.8 0.5
5055719710720 11.0  3.3  0.519999 -0.1-99.9-99.9-99.9 7.0 66 8.6 90  4.4   9  7.9 6.9 0.4
5055719710721 11.2  5.8  5.419999  3.9-99.9-99.9-99.9 2.7 25 9.1 92  5.6   4  3.5 4.1 0.4
