5042119611031-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9927.8 86 22.8   2  1.6-9.9-9.9
5042119611101-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   3  2.4-9.9-9.9
5042119611102-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   6  4.8-9.9-9.9
5042119611103-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  15 12.0-9.9-9.9
5042119611104-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9915.0 99 13.0   3  2.4-9.9-9.9
5042119611105-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   8  6.4-9.9-9.9
5042119611106-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  13 10.4-9.9-9.9
5042119611107-99.9-99.9 14.519900-99.9-99.9-99.9-99.9-9.9 9912.5 97 10.3  21 16.8-9.9-9.9
5042119611108-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   6  4.8-9.9-9.9
5042119611109-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9919.7 95 17.3   4  3.2-9.9-9.9
5042119611110-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9917.5 85 15.4   6  4.8-9.9-9.9
5042119611111-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9927.3 98 22.5   6  4.8-9.9-9.9
5042119611112-99.9-99.9  3.519910-99.9-99.9-99.9-99.9-9.9 9929.4 96 23.8   8  6.4-9.9-9.9
5042119611113-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9926.1 97 21.8   7  5.6-9.9-9.9
5042119611114-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9925.8 97 21.6  13 10.4-9.9-9.9
5042119611115-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9926.4 94 22.0   4  3.2-9.9-9.9
5042119611116-99.9-99.9 16.519900-99.9-99.9-99.9-99.9-9.9 9926.8 94 22.2   6  4.8-9.9-9.9
5042119611117-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9917.1 85 15.0  11  8.8-9.9-9.9
